"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Taylor Rogers","Twins","1","1","10","1","3.21","0","20","20.0","18","7","2","23","5","1.14","10.14","2.41","3.23","0.5","13449"
"Chad Green","Yankees","1","1","0","4","3.18","0","17","17.0","14","6","2","22","4","1.08","11.43","2.33","3.26","0.3","15552"
"Chris Martin","Braves","1","1","1","4","3.33","0","18","18.0","17","7","2","19","3","1.13","9.60","1.71","3.28","0.3","11847"
"Walker Buehler","Dodgers","4","2","0","0","3.27","9","9","51.0","43","18","6","59","13","1.11","10.53","2.32","3.31","1.2","19374"
"Keone Kela","Pirates","1","1","0","3","3.38","0","16","16.0","13","6","2","20","6","1.18","11.33","3.33","3.31","0.2","14696"
"Roberto Osuna","Astros","1","1","10","1","3.33","0","20","20.0","17","7","2","22","4","1.09","9.84","1.89","3.34","0.5","13764"
"Noah Syndergaard","Mets","4","3","0","0","3.54","10","10","60.0","56","24","6","62","16","1.20","9.28","2.36","3.35","1.5","11762"
"Blake Snell","Rays","1","1","0","0","3.22","2","2","14.0","11","5","2","18","5","1.18","11.15","3.39","3.35","0.4","13543"
"Austin Adams","Mariners","0","0","0","0","3.17","0","7","7.0","5","3","1","11","4","1.28","13.19","5.36","3.36","0.0","13801"
"Stephen Strasburg","Nationals","5","3","0","0","3.46","10","10","59.0","52","23","7","69","16","1.14","10.43","2.38","3.36","1.4","10131"
"Clayton Kershaw","Dodgers","4","2","0","0","3.27","9","9","58.0","52","21","7","59","12","1.10","9.16","1.79","3.39","1.4","2036"
"Jose Alvarado","Rays","1","0","0","1","3.23","0","9","9.0","7","3","1","11","5","1.31","11.25","4.72","3.40","0.0","17780"
"Craig Kimbrel","Cubs","1","1","11","1","3.36","0","20","20.0","14","8","2","30","10","1.18","13.37","4.26","3.40","0.4","6655"
"Nick Anderson","Rays","1","1","0","6","3.40","0","20","20.0","16","7","3","27","7","1.15","12.33","3.23","3.41","0.3","18337"
"Charlie Morton","Rays","4","2","0","0","3.32","9","9","54.0","46","20","5","62","19","1.20","10.40","3.14","3.41","1.3","4676"
"Kenley Jansen","Dodgers","1","1","10","1","3.28","0","19","19.0","15","7","3","24","5","1.05","11.37","2.25","3.43","0.4","3096"
"Justin Verlander","Astros","5","2","0","0","3.34","10","10","62.0","49","23","9","78","15","1.03","11.38","2.13","3.44","1.6","8700"
"Tommy Kahnle","Yankees","1","1","0","4","3.50","0","19","19.0","15","7","2","25","8","1.24","12.04","3.91","3.44","0.3","11384"
"Corey Kluber","Indians","2","1","0","0","3.49","4","4","25.0","23","10","3","27","6","1.13","9.47","2.00","3.44","0.6","2429"
"Shane Bieber","Indians","4","2","0","0","3.61","9","9","56.0","54","22","7","58","11","1.15","9.36","1.70","3.45","1.4","19427"
"Joakim Soria","Athletics","1","1","0","4","3.50","0","18","18.0","16","7","2","20","6","1.21","9.87","2.87","3.46","0.3","6941"
"Sean Doolittle","Nationals","1","1","10","2","3.30","0","19","19.0","16","7","3","23","5","1.06","10.85","2.16","3.46","0.5","1581"
"Jose Leclerc","Rangers","1","1","11","0","3.40","0","20","20.0","15","8","2","29","12","1.28","12.70","5.06","3.46","0.5","14524"
"Patrick Corbin","Nationals","4","3","0","0","3.57","10","10","58.0","53","23","7","65","17","1.22","10.10","2.72","3.47","1.3","9323"
"Andrew Miller","Cardinals","1","1","0","6","3.38","0","19","19.0","15","7","2","26","7","1.18","12.10","3.48","3.47","0.3","6785"
"Reyes Moronta","Giants","1","1","0","6","3.38","0","20","20.0","15","8","2","26","11","1.30","11.58","4.80","3.47","0.3","14966"
"Colin Poche","Rays","1","1","0","4","3.30","0","17","17.0","13","6","3","24","6","1.12","13.03","3.20","3.48","0.2","19403"
"Ray Black","Brewers","0","0","0","0","3.69","0","8","8.0","5","3","1","12","4","1.30","14.13","5.31","3.49","0.0","14244"
"Carlos Carrasco","Indians","1","1","0","0","3.61","2","2","12.0","11","5","2","14","3","1.13","10.17","1.94","3.51","0.3","6632"
"Trevor Gott","Giants","1","1","0","4","3.54","0","19","19.0","17","7","2","19","7","1.29","9.12","3.40","3.53","0.2","15046"
"Aaron Loup","Padres","0","0","0","0","3.43","0","2","2.0","1","1","0","2","1","1.30","9.83","3.48","3.53","0.0","10343"
"Joe Kelly","Dodgers","1","1","0","5","3.51","0","18","18.0","15","7","2","20","7","1.27","10.12","3.72","3.54","0.2","9761"
"Will Harris","Astros","1","1","1","4","3.63","0","20","20.0","18","8","2","20","6","1.20","9.05","2.56","3.54","0.4","3192"
"Diego Castillo","Rays","1","1","1","5","3.43","0","20","20.0","17","7","2","23","7","1.22","10.45","3.35","3.55","0.4","17496"
"Archie Bradley","Diamondbacks","1","1","11","0","3.62","0","20","20.0","18","8","2","23","8","1.28","10.34","3.63","3.55","0.3","12918"
"Seranthony Dominguez","Phillies","0","0","0","0","3.48","0","2","2.0","1","1","0","2","1","1.26","11.31","4.05","3.56","0.0","19249"
"Jake Diekman","Athletics","1","1","0","5","3.34","0","20","20.0","15","7","2","25","10","1.29","11.45","4.73","3.57","0.3","5003"
"Blake Treinen","Athletics","1","1","2","4","3.45","0","20","20.0","17","8","2","20","8","1.30","9.36","3.88","3.59","0.4","12572"
"Luke Jackson","Braves","1","1","0","5","3.61","0","18","18.0","16","7","2","21","8","1.32","10.64","4.06","3.59","0.2","11752"
"Ty Buttrey","Angels","1","1","1","4","3.56","0","20","20.0","17","8","2","22","8","1.26","10.10","3.46","3.59","0.4","14719"
"Andrew Chafin","Diamondbacks","1","1","0","4","3.53","0","19","19.0","16","7","2","21","8","1.29","10.02","3.79","3.60","0.3","12988"
"Hyun-Jin Ryu","Dodgers","3","2","0","0","3.43","8","8","47.0","46","18","6","44","9","1.17","8.39","1.74","3.60","0.9","14444"
"Mark Melancon","Braves","1","1","0","4","3.58","0","15","15.0","15","6","1","13","5","1.28","7.95","2.69","3.61","0.1","4264"
"Garrett Richards","Padres","1","1","0","0","3.57","3","3","18.0","16","7","2","19","7","1.27","9.65","3.33","3.64","0.4","9784"
"Justin Wilson","Mets","1","1","0","4","3.57","0","17","17.0","14","7","2","21","9","1.33","10.95","4.51","3.66","0.1","4301"
"Ryne Stanek","Marlins","1","1","0","6","3.60","0","18","18.0","15","7","2","22","7","1.24","11.12","3.72","3.66","0.2","15947"
"Oliver Drake","Rays","1","1","0","3","3.71","0","15","15.0","13","6","2","18","6","1.28","10.51","3.66","3.67","0.1","8823"
"Andrew Kittredge","Rays","1","1","0","2","3.69","0","12","12.0","11","5","1","13","4","1.23","9.35","2.75","3.67","0.0","12828"
"Jose Castillo","Padres","0","0","0","0","3.50","0","5","5.0","4","2","1","6","2","1.23","11.49","3.89","3.67","0.0","17169"
"Aaron Nola","Phillies","4","3","0","0","3.65","10","10","59.0","53","24","7","65","19","1.21","9.93","2.86","3.68","1.2","16149"
"Trevor Bauer","Reds","4","3","0","0","3.62","10","10","65.0","55","26","8","79","25","1.23","10.99","3.48","3.68","1.5","12703"
"Tyler Glasnow","Rays","0","0","0","0","3.70","1","1","6.0","5","2","1","7","2","1.28","10.95","3.91","3.69","0.1","14374"
"Jace Fry","White Sox","1","1","0","4","3.69","0","20","20.0","16","8","2","24","11","1.38","10.85","4.98","3.71","0.2","16159"
"Mike Clevinger","Indians","4","3","0","0","3.68","10","10","60.0","52","25","8","71","23","1.23","10.56","3.38","3.72","1.3","12808"
"Mike Soroka","Braves","3","2","0","0","3.72","8","8","45.0","45","18","4","38","12","1.27","7.69","2.42","3.72","0.9","18383"
"Luis Severino","Yankees","1","1","0","0","3.63","3","3","18.0","16","7","3","21","5","1.15","10.36","2.54","3.72","0.4","15890"
"Julio Urias","Dodgers","1","1","0","2","3.56","1","14","19.0","16","7","2","21","7","1.25","10.13","3.45","3.73","0.2","14765"
"Marcus Stroman","Mets","4","3","0","0","3.68","10","10","57.0","56","23","5","46","18","1.30","7.31","2.83","3.73","1.1","13431"
"Zack Wheeler","Mets","3","3","0","0","3.71","9","9","56.0","51","23","7","57","17","1.22","9.26","2.72","3.73","1.1","10310"
"Nathan Eovaldi","Red Sox","1","1","0","6","3.85","0","18","18.0","18","8","2","18","4","1.24","8.92","2.20","3.74","0.2","9132"
"Zack Britton","Yankees","1","1","0","5","3.44","0","19","19.0","17","7","1","17","9","1.37","8.23","4.12","3.74","0.3","3240"
"James Paxton","Yankees","4","3","0","0","3.80","10","10","55.0","49","23","8","65","17","1.19","10.53","2.76","3.74","1.4","11828"
"Carlos Martinez","Cardinals","2","1","10","2","3.61","1","22","27.0","25","11","3","27","10","1.30","9.10","3.46","3.76","0.4","11682"
"Seth Lugo","Mets","1","1","1","4","3.73","0","20","20.0","19","8","3","22","5","1.19","9.74","2.40","3.77","0.3","12447"
"Brandon Morrow","Cubs","0","0","0","0","3.75","0","3","3.0","3","1","0","3","1","1.25","9.57","3.03","3.77","0.0","9346"
"John Brebbia","Cardinals","1","1","0","4","3.66","0","16","16.0","14","7","2","19","5","1.18","10.40","2.85","3.77","0.1","12777"
"A.J. Minter","Braves","1","1","0","3","3.74","0","14","14.0","12","6","1","16","6","1.34","10.46","4.25","3.77","0.1","18655"
"Tony Watson","Giants","1","1","1","5","3.55","0","20","20.0","19","8","2","18","5","1.19","8.27","2.21","3.77","0.2","3132"
"Shane Greene","Braves","1","1","10","1","3.92","0","18","18.0","17","8","2","20","6","1.27","9.84","3.04","3.78","0.3","10756"
"Oliver Perez","Indians","1","1","0","4","3.56","0","17","17.0","15","7","2","20","6","1.20","10.37","2.96","3.78","0.2","1514"
"Richard Lovelady","Royals","1","1","0","3","3.73","0","14","14.0","13","6","1","12","5","1.33","8.07","3.35","3.79","0.1","19337"
"Jeurys Familia","Mets","1","1","0","5","3.76","0","19","19.0","16","8","2","21","9","1.37","9.79","4.45","3.80","0.2","5114"
"Jeremy Jeffress","Brewers","1","1","1","4","3.66","0","20","20.0","18","8","2","19","7","1.30","8.84","3.31","3.80","0.2","9490"
"Joshua James","Astros","0","0","0","0","3.76","0","8","8.0","6","3","1","10","4","1.30","11.62","4.38","3.81","0.0","16794"
"German Marquez","Rockies","4","3","0","0","3.99","10","10","57.0","56","25","8","61","15","1.24","9.55","2.32","3.82","1.2","15038"
"Tony Barnette","Cubs","0","0","0","0","3.89","0","2","2.0","2","1","0","2","1","1.28","8.75","2.92","3.82","0.0","3555"
"Scott Oberg","Rockies","1","1","10","0","3.93","0","22","22.0","21","9","2","22","8","1.33","8.96","3.39","3.82","0.4","13911"
"Brandon Woodruff","Brewers","1","1","0","0","3.89","3","3","17.0","16","7","2","18","6","1.26","9.63","2.98","3.82","0.3","16162"
"Hector Neris","Phillies","1","1","11","1","3.71","0","20","20.0","17","8","3","27","8","1.19","12.06","3.30","3.83","0.3","11804"
"JT Chargois","Dodgers","1","1","0","3","3.73","0","13","13.0","12","6","1","15","6","1.32","10.05","4.01","3.84","0.1","13767"
"Adam Ottavino","Yankees","1","1","9","0","3.77","0","20","20.0","15","9","2","28","11","1.30","12.24","4.89","3.84","0.4","1247"
"Aaron Bummer","White Sox","1","1","1","4","3.67","0","21","21.0","20","9","2","21","9","1.36","8.76","3.87","3.85","0.3","16258"
"Scott Alexander","Dodgers","0","0","0","0","3.66","0","3","3.0","3","1","0","2","1","1.37","7.52","3.54","3.85","0.0","10591"
"Raisel Iglesias","Reds","1","1","11","1","3.64","0","21","21.0","18","8","3","25","8","1.21","10.83","3.27","3.86","0.4","17130"
"Caleb Ferguson","Dodgers","0","0","0","0","3.65","0","7","7.0","6","3","1","9","3","1.30","10.51","3.87","3.86","0.0","19349"
"Sonny Gray","Reds","3","3","0","0","3.89","10","10","55.0","50","24","7","58","21","1.29","9.42","3.36","3.86","1.1","12768"
"Brad Peacock","Astros","1","1","0","0","3.86","1","10","15.0","13","6","2","17","5","1.23","10.62","3.12","3.87","0.1","5401"
"Joe Jimenez","Tigers","1","1","11","0","3.96","0","22","22.0","19","10","3","27","8","1.25","11.07","3.53","3.88","0.4","15761"
"Mychal Givens","Orioles","1","1","11","0","3.84","0","20","20.0","17","9","3","24","8","1.25","10.69","3.66","3.88","0.4","10430"
"Craig Stammen","Padres","1","1","1","5","3.98","0","20","20.0","20","9","3","20","5","1.25","8.63","2.40","3.89","0.2","7274"
"Emilio Pagan","Rays","1","1","10","1","3.79","0","20","20.0","17","8","3","24","6","1.17","10.90","2.86","3.90","0.3","14771"
"Brandon Workman","Red Sox","1","1","1","5","3.93","0","19","19.0","17","8","2","22","9","1.36","10.25","4.28","3.90","0.2","11428"
"David Price","Red Sox","4","2","0","0","3.94","9","9","48.0","46","21","7","50","13","1.23","9.33","2.49","3.90","0.9","3184"
"Dallas Keuchel","Braves","4","3","0","0","3.94","9","9","57.0","59","25","6","44","17","1.33","7.06","2.62","3.90","0.9","9434"
"Lance Lynn","Rangers","4","3","0","0","3.87","10","10","57.0","55","25","7","59","20","1.31","9.24","3.15","3.90","1.3","2520"
"Anthony Banda","Rays","0","0","0","0","3.71","0","5","5.0","4","2","1","5","2","1.24","10.14","3.37","3.91","0.0","14706"
"Juan Nicasio","Phillies","1","1","0","5","3.95","0","19","19.0","18","8","2","20","7","1.30","9.61","3.14","3.91","0.2","7731"
"Grant Dayton","Braves","0","0","0","0","3.87","0","2","2.0","1","1","0","2","1","1.23","10.72","3.17","3.92","0.0","11203"
"Steven Okert","Giants","0","0","0","0","3.74","0","5","5.0","4","2","1","5","2","1.20","9.95","3.06","3.93","0.0","13580"
"Adam Kolarek","Dodgers","1","1","0","4","3.69","0","16","16.0","16","7","1","14","6","1.33","7.47","3.07","3.94","0.1","10843"
"Chaz Roe","Rays","1","1","0","4","3.92","0","18","18.0","16","8","2","20","8","1.33","9.91","4.12","3.94","0.1","9866"
"Brad Brach","Cubs","0","0","0","0","3.88","0","2","2.0","1","1","0","2","1","1.37","9.48","4.42","3.94","0.0","6627"
"Collin McHugh","Astros","1","1","0","2","3.85","0","15","15.0","14","6","2","16","5","1.22","9.53","2.70","3.94","0.0","7531"
"Jack Flaherty","Cardinals","3","3","0","0","3.83","9","9","54.0","47","23","8","62","19","1.23","10.40","3.18","3.94","1.0","17479"
"Alex Colome","White Sox","1","1","11","0","3.88","0","21","21.0","20","9","3","21","7","1.29","8.81","3.09","3.94","0.3","6661"
"Chris Paddack","Padres","3","3","0","0","4.01","8","8","44.0","41","19","7","47","11","1.19","9.73","2.23","3.95","0.8","20099"
"Rich Hill","Dodgers","1","1","0","0","3.76","2","2","14.0","12","6","2","16","4","1.17","10.31","2.81","3.95","0.2","4806"
"Luis Castillo","Reds","3","3","0","0","3.84","9","9","50.0","45","21","7","55","18","1.25","9.80","3.25","3.95","0.9","15689"
"Sean Newcomb","Braves","1","1","0","4","3.93","0","17","17.0","15","7","2","18","7","1.30","9.55","3.75","3.96","0.1","16943"
"Freddy Peralta","Brewers","1","1","0","3","3.92","0","14","16.0","13","7","2","22","8","1.27","12.00","4.19","3.96","0.1","18679"
"Chris Devenski","Astros","1","1","0","5","3.91","0","18","18.0","16","8","3","20","6","1.19","10.10","2.85","3.96","0.2","12763"
"Marcus Walden","Red Sox","1","1","0","3","4.05","0","15","15.0","15","7","1","13","6","1.36","8.15","3.42","3.96","0.1","8004"
"Jay Jackson","Brewers","0","0","0","0","3.96","0","3","3.0","3","1","0","4","1","1.28","10.80","3.62","3.97","0.0","7432"
"Alex Claudio","Brewers","1","1","0","4","3.85","0","17","17.0","17","7","2","12","5","1.32","6.47","2.47","3.97","0.1","12890"
"Jimmie Sherfy","Diamondbacks","0","0","0","0","3.88","0","9","9.0","8","4","1","11","4","1.35","10.48","4.34","3.97","0.0","15118"
"Joe Smith","Astros","1","1","0","1","3.80","0","12","12.0","12","5","1","11","4","1.26","8.05","2.63","3.98","0.0","3281"
"Robbie Ray","Diamondbacks","3","3","0","0","4.00","9","9","52.0","44","23","7","67","24","1.31","11.61","4.10","3.98","0.9","11486"
"Parker Markel","Pirates","0","0","0","0","3.89","0","8","8.0","7","3","1","9","4","1.35","10.66","4.54","3.99","0.0","12106"
"Peter Fairbanks","Rays","1","0","0","0","3.83","0","11","11.0","9","5","1","12","5","1.30","10.48","4.06","3.99","0.0","17998"
"Trey Wingenter","Padres","1","1","0","1","3.96","0","13","13.0","10","6","2","16","7","1.35","11.72","4.79","3.99","0.0","17793"
"Kevin Quackenbush","Dodgers","0","0","0","0","3.94","0","1","1.0","1","1","0","2","0","1.22","10.00","2.87","3.99","0.0","12360"
"Wander Suero","Nationals","1","1","0","4","3.98","0","17","17.0","16","8","2","17","6","1.30","9.09","3.23","3.99","0.1","15855"
"Robbie Erlin","Padres","1","1","0","0","4.04","1","7","12.0","12","5","2","11","3","1.24","7.81","2.01","3.99","0.1","10354"
"Tyler Duffey","Twins","1","1","0","3","4.12","0","16","16.0","15","7","2","16","5","1.26","9.32","2.64","3.99","0.1","13758"
"Adrian Morejon","Padres","1","1","0","0","3.78","2","13","20.0","18","8","2","22","8","1.29","9.91","3.73","4.00","0.2","20039"
"Ross Stripling","Dodgers","2","2","0","0","3.95","5","9","32.0","32","14","5","31","8","1.24","8.78","2.27","4.00","0.5","13273"
"Kyle Hendricks","Cubs","4","3","0","0","3.90","10","10","58.0","57","25","8","50","14","1.23","7.88","2.16","4.00","1.1","12049"
"Brendan McKay","Rays","2","2","0","0","3.86","6","6","33.0","30","14","5","35","9","1.20","9.53","2.62","4.01","0.6","20186"
"Donnie Hart","Mets","0","0","0","0","3.86","0","9","9.0","10","4","1","7","3","1.37","6.96","3.26","4.01","0.0","15306"
"J.B. Wendelken","Athletics","0","0","0","1","3.97","0","11","11.0","10","5","1","11","4","1.32","9.33","3.48","4.02","0.0","14506"
"Kenta Maeda","Dodgers","3","3","0","0","3.99","8","8","47.0","44","21","7","51","15","1.24","9.69","2.87","4.02","0.8","18498"
"Zack Greinke","Astros","4","3","0","0","3.88","9","9","58.0","55","25","9","54","13","1.18","8.36","1.99","4.02","1.0","1943"
"Madison Bumgarner","Giants","3","3","0","0","3.91","10","10","62.0","59","27","9","59","15","1.20","8.66","2.20","4.02","0.9","5524"
"Cam Bedrosian","Angels","1","1","0","5","3.93","0","20","20.0","19","9","2","20","7","1.32","9.16","3.38","4.02","0.2","13360"
"Framber Valdez","Astros","0","0","0","0","3.81","0","3","3.0","3","1","0","3","1","1.37","9.20","4.22","4.02","0.0","17295"
"Miles Mikolas","Cardinals","4","3","0","0","3.99","10","10","59.0","62","26","7","45","12","1.25","6.91","1.77","4.03","0.9","9803"
"Jon Gray","Rockies","3","3","0","0","4.37","9","9","51.0","51","25","7","53","18","1.34","9.36","3.10","4.03","1.0","14916"
"Amir Garrett","Reds","1","1","1","4","3.83","0","19","19.0","16","8","3","24","9","1.29","11.19","4.11","4.03","0.2","14375"
"Sam Dyson","Twins","1","1","0","2","4.00","0","14","14.0","14","6","1","12","4","1.33","7.37","2.79","4.03","0.0","11710"
"Lou Trivino","Athletics","1","1","0","4","3.91","0","18","18.0","16","8","2","18","8","1.35","8.92","4.04","4.03","0.1","15043"
"Ryne Harper","Twins","1","1","0","5","4.05","0","20","20.0","20","9","3","20","6","1.27","8.77","2.60","4.03","0.3","12680"
"Pedro Baez","Dodgers","1","1","1","4","3.89","0","19","19.0","17","8","3","20","7","1.26","9.43","3.28","4.03","0.2","5420"
"Matt Strahm","Padres","1","1","0","5","3.96","0","19","19.0","17","8","3","21","5","1.20","10.09","2.54","4.04","0.1","13799"
"David Hernandez","Reds","1","1","0","2","3.94","0","13","13.0","12","6","2","14","4","1.25","9.75","3.02","4.04","0.0","4259"
"Brandon Kintzler","Cubs","1","1","0","4","3.95","0","17","17.0","18","8","2","14","5","1.32","7.22","2.64","4.04","0.1","9939"
"Pablo Lopez","Marlins","3","3","0","0","3.91","9","9","52.0","52","23","6","44","14","1.26","7.69","2.43","4.04","0.8","17085"
"Frankie Montas","Athletics","0","0","0","0","4.01","1","1","6.0","6","3","1","5","2","1.32","8.20","2.98","4.04","0.1","14309"
"Jose Alvarez","Phillies","1","1","0","4","3.98","0","17","17.0","17","8","2","16","6","1.33","8.56","3.30","4.05","0.1","5358"
"Trevor May","Twins","1","1","1","4","4.01","0","19","19.0","17","8","2","22","8","1.33","10.30","3.86","4.05","0.2","6398"
"Xavier Cedeno","Cubs","0","0","0","0","3.92","0","2","2.0","1","1","0","1","1","1.42","8.23","4.19","4.05","0.0","36"
"Dillon Maples","Cubs","0","0","0","0","3.84","0","6","6.0","4","3","0","9","6","1.61","13.49","8.13","4.05","0.0","14672"
"Luis Avilan","Mets","1","1","0","2","3.93","0","13","13.0","12","6","1","13","6","1.37","9.07","3.96","4.05","0.1","2882"
"Tanner Scott","Orioles","1","1","0","0","4.02","0","11","11.0","9","5","1","14","7","1.48","11.13","5.78","4.05","0.0","17586"
"Josh Sborz","Dodgers","0","0","0","0","3.99","0","3","3.0","3","1","0","3","1","1.33","9.40","3.76","4.05","0.0","18323"
"Hector Rondon","Astros","1","1","0","3","4.08","0","17","17.0","16","8","2","17","6","1.30","9.05","3.13","4.05","0.1","2391"
"Yu Darvish","Cubs","3","3","0","0","4.06","9","9","52.0","46","24","8","62","20","1.26","10.59","3.40","4.06","0.9","13074"
"Max Fried","Braves","3","2","0","0","3.96","7","7","40.0","38","17","4","40","17","1.38","9.00","3.84","4.06","0.6","13743"
"Carl Edwards Jr.","Padres","1","1","0","4","4.00","0","17","17.0","13","8","2","22","10","1.37","11.59","5.34","4.06","0.1","13607"
"Dan Winkler","Giants","0","0","0","0","3.98","0","3","3.0","3","1","0","3","1","1.34","9.73","3.89","4.06","0.0","12237"
"Zac Rosscup","Cardinals","0","0","0","0","4.03","0","2","2.0","1","1","0","2","1","1.39","11.23","4.84","4.06","0.0","9419"
"Taylor Cole","Angels","1","1","0","2","3.83","0","15","15.0","14","6","2","15","6","1.34","9.12","3.79","4.06","0.0","11964"
"Cole Hamels","Cubs","3","3","0","0","3.87","9","9","54.0","50","23","7","52","19","1.27","8.71","3.16","4.06","0.9","4972"
"Luis Perdomo","Padres","1","1","0","3","4.19","0","16","16.0","17","7","2","13","5","1.39","7.61","2.93","4.07","0.1","14682"
"Jose Quintana","Cubs","4","3","0","0","4.03","10","10","56.0","55","25","7","51","18","1.30","8.20","2.82","4.08","1.0","11423"
"Austin Pruitt","Rays","0","0","0","0","4.16","0","6","6.0","6","3","1","5","1","1.28","7.58","2.15","4.08","0.0","15290"
"Pedro Strop","Cubs","1","1","0","3","3.93","0","16","16.0","14","7","2","16","6","1.29","9.41","3.58","4.09","0.1","4070"
"Yoshihisa Hirano","Diamondbacks","1","1","0","5","4.05","0","19","19.0","17","8","2","18","8","1.36","8.97","3.72","4.09","0.2","19756"
"Corbin Burnes","Brewers","0","0","0","0","4.01","0","5","5.0","4","2","1","5","2","1.27","10.08","3.23","4.09","0.0","19361"
"Joel Payamps","Diamondbacks","0","0","0","0","4.10","0","2","2.0","2","1","0","1","0","1.22","8.50","2.18","4.09","0.0","sa597219"
"Joey Lucchesi","Padres","3","4","0","0","4.10","10","10","56.0","55","25","8","56","19","1.33","8.97","3.08","4.09","0.8","19320"
"Steve Cishek","Cubs","1","1","1","5","3.82","0","20","20.0","18","9","2","21","8","1.30","9.30","3.62","4.09","0.2","6483"
"Brad Wieck","Cubs","0","0","0","0","4.03","0","3","3.0","3","1","0","4","2","1.32","11.69","4.35","4.10","0.0","16390"
"Chris Archer","Pirates","3","3","0","0","4.29","10","10","56.0","54","27","8","62","21","1.34","9.87","3.34","4.10","0.9","6345"
"Robert Stock","Padres","0","0","0","0","4.10","0","8","8.0","7","4","1","8","4","1.42","9.65","4.42","4.10","0.0","6576"
"Michael Feliz","Pirates","1","1","0","3","4.25","0","14","14.0","13","7","2","17","6","1.36","10.52","3.91","4.11","0.1","11903"
"James Karinchak","Indians","0","0","0","0","3.95","0","5","5.0","4","2","1","6","3","1.39","12.05","5.43","4.11","0.0","sa915662"
"Jose Berrios","Twins","4","3","0","0","4.13","10","10","62.0","59","28","9","60","18","1.25","8.80","2.62","4.12","1.3","14168"
"Kevin Gausman","Braves","3","2","0","0","4.14","7","9","43.0","43","20","6","41","13","1.28","8.47","2.62","4.12","0.7","14107"
"Dinelson Lamet","Padres","3","3","0","0","4.11","9","9","49.0","44","23","7","58","22","1.33","10.58","3.93","4.12","0.9","17186"
"Matthew Boyd","Tigers","3","4","0","0","4.12","10","10","59.0","54","27","10","64","16","1.20","9.78","2.52","4.13","1.1","15440"
"Zac Grotz","Mariners","0","0","0","0","3.97","0","7","7.0","7","3","1","7","2","1.27","8.16","2.68","4.13","0.0","18256"
"Robert Gsellman","Mets","1","1","0","4","4.01","0","19","19.0","19","8","2","17","7","1.34","8.22","3.21","4.13","0.1","13696"
