"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Felipe Vazquez","Pirates","1","1","11","1","2.73","0","20","20.0","16","6","2","27","7","1.10","12.02","2.96","2.72","0.6","12076"
"Kirby Yates","Padres","1","1","11","1","2.78","0","20","20.0","15","6","2","30","6","1.05","12.99","2.71","2.78","0.6","9073"
"Will Smith","Giants","1","1","11","1","2.90","0","20","20.0","15","6","2","27","6","1.08","12.31","2.78","2.81","0.5","8048"
"Max Scherzer","Nationals","4","2","0","0","2.87","9","9","56.0","43","18","6","76","13","0.99","12.10","2.11","2.85","1.7","3137"
"Edwin Diaz","Mets","1","1","11","1","2.85","0","20","20.0","14","6","2","31","7","1.03","13.78","2.90","2.87","0.6","14710"
"Aroldis Chapman","Yankees","1","1","3","6","2.77","0","20","20.0","14","6","2","31","10","1.14","13.54","4.23","2.88","0.6","10233"
"Jacob deGrom","Mets","4","2","0","0","2.91","10","10","62.0","51","20","6","76","15","1.06","11.09","2.20","2.90","2.0","10954"
"Ken Giles","Blue Jays","1","1","8","0","3.21","0","15","15.0","12","5","2","19","5","1.14","11.84","2.75","2.90","0.5","12910"
"Josh Hader","Brewers","1","1","9","1","2.87","0","20","20.0","12","6","3","34","8","1.03","15.56","3.61","2.91","0.6","14212"
"Liam Hendriks","Athletics","1","1","10","1","3.03","0","21","21.0","17","7","2","27","7","1.12","11.30","2.90","2.93","0.7","3548"
"Chris Sale","Red Sox","5","2","0","0","3.05","10","10","59.0","47","20","7","78","13","1.01","11.94","1.99","2.98","1.7","10603"
"Dellin Betances","Yankees","1","0","0","1","3.02","0","11","11.0","7","4","1","17","5","1.13","13.48","4.06","3.06","0.1","6216"
"Giovanny Gallegos","Cardinals","1","1","1","5","3.10","0","21","21.0","17","7","2","27","6","1.09","11.80","2.55","3.08","0.5","14986"
"Matt Barnes","Red Sox","1","1","10","0","3.22","0","19","19.0","15","7","2","28","9","1.24","13.03","4.27","3.10","0.5","12863"
"Ryan Pressly","Astros","1","1","0","4","3.12","0","18","18.0","15","6","2","23","5","1.11","11.17","2.63","3.11","0.3","7005"
"Gerrit Cole","Astros","5","2","0","0","3.24","10","10","60.0","48","22","7","78","17","1.09","11.68","2.55","3.15","1.7","13125"
"Brad Hand","Indians","2","1","11","1","3.08","0","22","22.0","17","8","3","30","7","1.10","12.32","2.93","3.16","0.6","9111"
"Paul Sewald","Mets","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","13892"
"Darren O'Day","Braves","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","3321"
"R.J. Alvarez","Marlins","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","13401"
"Ruben Alaniz","Reds","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","10819"
