"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Aroldis Chapman","Yankees","2","1","5","9","2.52","0","32","32.0","21","9","3","49","13","1.07","13.82","3.77","2.61","1.1","10233"
"Edwin Diaz","Mets","2","1","16","2","2.69","0","30","30.0","21","9","3","47","10","1.00","13.91","2.83","2.70","0.9","14710"
"Will Smith","Giants","2","1","16","2","2.79","0","31","31.0","23","10","3","43","10","1.08","12.45","2.91","2.72","0.9","8048"
"Ken Giles","Blue Jays","1","1","15","1","3.10","0","28","28.0","23","10","3","37","8","1.11","11.96","2.62","2.78","0.9","12910"
"Josh Hader","Brewers","2","1","13","3","2.75","0","30","30.0","19","9","4","53","13","1.03","15.63","3.77","2.80","1.0","14212"
"Felipe Vazquez","Pirates","2","1","16","2","2.82","0","31","31.0","24","10","3","41","11","1.12","11.90","3.06","2.81","0.9","12076"
"Chris Sale","Red Sox","8","3","0","0","2.90","15","15","95.0","75","31","10","126","20","0.99","11.93","1.91","2.83","3.0","10603"
"Max Scherzer","Nationals","8","3","0","0","2.88","16","16","103.0","78","33","12","137","24","0.99","12.04","2.11","2.85","3.1","3137"
"Jacob deGrom","Mets","6","4","0","0","2.95","14","14","92.0","76","30","10","112","22","1.06","10.94","2.11","2.93","2.8","10954"
"Kirby Yates","Padres","2","1","16","2","2.95","0","31","31.0","23","10","3","44","10","1.09","12.88","2.96","2.95","0.8","9073"
"Dellin Betances","Yankees","1","1","0","2","3.00","0","17","17.0","11","6","2","26","8","1.13","13.47","4.10","3.04","0.2","6216"
"Liam Hendriks","Athletics","2","1","2","6","3.18","0","32","32.0","26","11","3","39","11","1.16","10.86","3.07","3.09","0.9","3548"
"Ryan Pressly","Astros","2","1","2","7","3.13","0","33","33.0","27","11","4","40","9","1.11","10.98","2.52","3.11","0.8","7005"
"Giovanny Gallegos","Cardinals","1","1","0","7","3.15","0","27","27.0","22","9","3","35","7","1.10","11.69","2.50","3.12","0.5","14986"
"Brad Hand","Indians","2","1","16","2","3.04","0","34","34.0","26","11","4","45","11","1.11","12.04","3.00","3.15","1.0","9111"
"Craig Kimbrel","Cubs","2","1","3","10","3.13","0","28","28.0","19","10","3","43","13","1.14","13.71","4.12","3.16","0.5","6655"
