"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Brad Hand","Indians","1","0","4","0","3.27","0","7","7.0","6","3","1","10","3","1.14","11.82","3.08","3.37","0.2","9111"
"Blake Snell","Rays","1","0","0","0","3.24","1","1","8.0","6","3","1","10","3","1.18","11.15","3.40","3.37","0.2","13543"
"Noah Syndergaard","Mets","1","1","0","0","3.58","4","4","22.0","21","9","2","23","6","1.20","9.29","2.30","3.39","0.5","11762"
"Mark Melancon","Braves","0","0","4","0","3.39","0","7","7.0","7","3","1","6","2","1.23","8.40","2.52","3.40","0.1","4264"
"Clayton Kershaw","Dodgers","2","1","0","0","3.33","3","3","21.0","19","8","3","23","4","1.10","9.50","1.85","3.44","0.5","2036"
"Shane Bieber","Indians","1","1","0","0","3.62","3","3","20.0","19","8","3","21","4","1.14","9.61","1.69","3.44","0.5","19427"
"Roberto Osuna","Astros","0","0","4","0","3.44","0","7","7.0","6","3","1","8","1","1.09","9.99","1.94","3.45","0.2","13764"
"Tommy Kahnle","Yankees","0","0","0","1","3.51","0","6","6.0","5","2","1","8","3","1.22","12.10","3.78","3.45","0.1","11384"
"Diego Castillo","Rays","0","0","0","1","3.34","0","5","5.0","4","2","1","6","2","1.19","10.57","3.17","3.45","0.0","17496"
"Will Harris","Astros","0","0","0","1","3.57","0","7","7.0","6","3","1","7","2","1.18","9.51","2.50","3.46","0.1","3192"
"Corey Kluber","Indians","0","0","0","0","3.53","1","1","3.0","3","1","0","3","1","1.13","9.45","2.03","3.47","0.1","2429"
"Patrick Corbin","Nationals","2","1","0","0","3.59","4","4","23.0","21","9","3","26","7","1.23","10.26","2.83","3.48","0.6","9323"
"Jose Leclerc","Rangers","0","0","4","0","3.46","0","7","7.0","5","3","1","10","4","1.30","12.71","5.19","3.52","0.2","14524"
"Andrew Chafin","Diamondbacks","0","0","0","2","3.46","0","7","7.0","6","3","1","8","3","1.27","10.19","3.74","3.53","0.1","12988"
"Craig Kimbrel","Cubs","0","0","3","1","3.49","0","5","5.0","4","2","1","8","3","1.19","13.34","4.28","3.53","0.1","6655"
"Aaron Loup","Padres","0","0","0","0","3.45","0","1","1.0","1","0","0","1","0","1.30","9.83","3.50","3.55","0.0","10343"
"Justin Wilson","Mets","0","0","0","2","3.49","0","7","7.0","6","3","1","9","3","1.29","11.26","4.26","3.55","0.1","4301"
"Colin Poche","Rays","0","0","0","2","3.35","0","7","7.0","5","3","1","10","3","1.15","13.10","3.61","3.56","0.1","19403"
"Kenley Jansen","Dodgers","0","0","4","0","3.42","0","7","7.0","6","3","1","8","2","1.07","11.21","2.27","3.57","0.1","3096"
"Joe Kelly","Dodgers","0","0","0","2","3.55","0","6","6.0","5","2","1","7","3","1.28","10.10","3.81","3.58","0.1","9761"
"Joakim Soria","Athletics","0","0","0","2","3.65","0","7","7.0","6","3","1","8","2","1.22","10.03","2.90","3.59","0.1","6941"
"Jose Alvarado","Rays","0","0","0","0","3.41","0","1","1.0","0","0","0","1","0","1.37","11.08","5.16","3.59","0.0","17780"
"Mike Clevinger","Indians","1","1","0","0","3.57","3","3","20.0","17","8","2","24","7","1.21","10.72","3.31","3.60","0.5","12808"
"Luke Jackson","Braves","0","0","0","2","3.64","0","6","6.0","5","3","1","8","3","1.32","10.78","4.03","3.61","0.1","11752"
"Carlos Martinez","Cardinals","1","0","4","0","3.47","0","8","8.0","7","3","1","8","3","1.27","9.38","3.36","3.61","0.1","11682"
"Kenta Maeda","Dodgers","1","0","0","1","3.64","1","6","9.0","8","4","1","10","3","1.17","10.39","2.64","3.63","0.1","18498"
"Oliver Drake","Rays","0","0","0","2","3.68","0","6","6.0","5","2","1","7","2","1.25","10.60","3.44","3.63","0.1","8823"
"Seth Lugo","Mets","0","0","0","2","3.62","0","8","8.0","7","3","1","8","2","1.17","9.93","2.35","3.66","0.1","12447"
"Tyler Glasnow","Rays","1","1","0","0","3.70","3","4","17.0","14","7","2","21","8","1.27","11.17","3.97","3.67","0.3","14374"
"Aaron Nola","Phillies","1","1","0","0","3.65","4","4","23.0","21","9","3","25","7","1.22","9.93","2.89","3.67","0.5","16149"
"Jesus Luzardo","Athletics","0","0","0","0","3.55","0","3","3.0","3","1","0","4","1","1.19","9.79","2.75","3.68","0.0","sa917981"
"James Karinchak","Indians","0","0","0","0","3.56","0","1","1.0","0","0","0","1","0","1.31","13.00","5.23","3.69","0.0","sa915662"
"Jake Diekman","Athletics","0","0","0","2","3.45","0","7","7.0","5","3","1","8","4","1.32","11.05","4.86","3.69","0.1","5003"
"Archie Bradley","Diamondbacks","0","0","4","0","3.76","0","7","7.0","6","3","1","8","3","1.30","10.20","3.74","3.69","0.1","12918"
"Brandon Workman","Red Sox","1","0","4","0","3.72","0","7","7.0","6","3","1","9","3","1.33","10.79","4.31","3.69","0.1","11428"
"Kevin Ginkel","Diamondbacks","0","0","0","2","3.81","0","7","7.0","6","3","1","8","3","1.31","10.96","4.11","3.70","0.1","19876"
"Brad Brach","Mets","0","0","0","1","3.48","0","5","5.0","4","2","0","5","2","1.28","9.65","4.09","3.71","0.0","6627"
"James Hoyt","Indians","0","0","0","0","3.67","0","2","2.0","2","1","0","2","1","1.28","10.43","3.40","3.71","0.0","14605"
"Darren O'Day","Braves","0","0","0","0","3.59","0","3","3.0","2","1","0","3","1","1.20","10.77","3.30","3.71","0.0","3321"
"James Paxton","Yankees","1","1","0","0","3.77","3","3","19.0","16","8","3","22","6","1.20","10.63","2.85","3.71","0.5","11828"
"Mychal Givens","Orioles","0","0","4","0","3.67","0","8","8.0","6","3","1","9","3","1.22","10.95","3.54","3.72","0.2","10430"
"Hyun-Jin Ryu","Dodgers","1","1","0","0","3.55","3","3","18.0","18","7","2","16","4","1.19","8.32","1.83","3.72","0.3","14444"
"Ty Buttrey","Angels","0","0","0","1","3.70","0","7","7.0","6","3","1","8","3","1.28","10.21","3.62","3.72","0.1","14719"
"Peter Fairbanks","Rays","0","0","0","0","3.61","0","4","4.0","3","2","1","5","2","1.24","11.04","3.77","3.72","0.0","17998"
"Andrew Kittredge","Rays","0","0","0","1","3.75","0","4","4.0","4","2","1","4","1","1.24","9.36","2.74","3.73","0.0","12828"
"Andrew Miller","Cardinals","0","0","0","2","3.63","0","7","7.0","6","3","1","9","3","1.24","11.71","3.77","3.74","0.1","6785"
"John Brebbia","Cardinals","0","0","0","1","3.64","0","6","6.0","5","2","1","7","2","1.19","10.39","2.88","3.74","0.1","12777"
"Garrett Richards","Padres","0","0","0","0","3.67","1","1","4.0","4","2","0","5","2","1.30","9.65","3.60","3.75","0.1","9784"
"Shane Greene","Braves","0","0","0","2","3.89","0","7","7.0","6","3","1","7","2","1.27","9.72","2.97","3.76","0.1","10756"
"Luis Severino","Yankees","1","0","0","0","3.67","1","1","8.0","7","3","1","9","2","1.16","10.36","2.56","3.76","0.2","15890"
"A.J. Minter","Braves","0","0","0","0","3.73","0","2","2.0","2","1","0","2","1","1.33","10.32","4.13","3.76","0.0","18655"
"Chaz Roe","Rays","0","0","0","2","3.75","0","6","6.0","5","3","1","7","3","1.30","10.20","4.02","3.76","0.1","9866"
"Oliver Perez","Indians","0","0","0","1","3.56","0","6","6.0","5","2","1","7","2","1.20","10.41","2.91","3.77","0.1","1514"
"Zack Britton","Yankees","0","0","0","2","3.48","0","6","6.0","6","2","0","6","3","1.39","8.30","4.38","3.77","0.1","3240"
"Jack Flaherty","Cardinals","1","1","0","0","3.67","4","4","21.0","18","9","3","25","7","1.20","10.58","3.02","3.78","0.4","17479"
"Tyler Duffey","Twins","0","0","0","1","3.92","0","6","6.0","6","3","1","7","2","1.23","9.81","2.62","3.78","0.1","13758"
"Joshua James","Astros","0","0","0","1","3.74","0","6","6.0","5","2","1","8","3","1.29","11.83","4.37","3.79","0.0","16794"
"Blake Treinen","Athletics","1","0","0","2","3.68","0","7","7.0","6","3","1","7","3","1.31","9.33","3.85","3.79","0.1","12572"
"Jeurys Familia","Mets","0","0","0","2","3.76","0","8","8.0","7","3","1","8","4","1.38","9.91","4.70","3.80","0.1","5114"
"Ross Stripling","Dodgers","0","0","0","0","3.77","0","3","5.0","5","2","1","5","1","1.20","9.08","2.12","3.80","0.0","13273"
"Trevor Bauer","Reds","1","1","0","0","3.75","4","4","22.0","19","9","3","27","9","1.24","10.94","3.48","3.81","0.5","12703"
"Emilio Pagan","Rays","0","0","4","0","3.71","0","7","7.0","6","3","1","8","2","1.14","11.20","2.68","3.81","0.1","14771"
"Marcus Stroman","Mets","1","1","0","0","3.75","4","4","21.0","21","9","2","17","7","1.30","7.45","2.86","3.81","0.4","13431"
"Hector Neris","Phillies","0","0","4","0","3.69","0","8","8.0","6","3","1","10","3","1.20","11.93","3.32","3.81","0.1","11804"
"Raisel Iglesias","Reds","0","0","4","0","3.60","0","7","7.0","6","3","1","9","3","1.19","10.98","3.14","3.82","0.1","17130"
"Craig Stammen","Padres","0","1","0","2","3.90","0","8","8.0","7","3","1","7","2","1.24","8.70","2.34","3.82","0.1","7274"
"Sonny Gray","Reds","1","1","0","0","3.84","3","3","19.0","17","8","2","21","7","1.28","9.66","3.46","3.82","0.4","12768"
"Brandon Woodruff","Brewers","0","0","0","0","3.90","1","1","8.0","7","3","1","8","3","1.26","9.64","2.99","3.83","0.1","16162"
"Caleb Ferguson","Dodgers","0","0","0","1","3.62","0","5","5.0","4","2","1","6","2","1.29","10.54","3.89","3.84","0.0","19349"
"Mike Soroka","Braves","1","1","0","0","3.87","3","3","18.0","18","8","2","15","5","1.28","7.53","2.35","3.85","0.3","18383"
"Luis Castillo","Reds","1","1","0","0","3.76","3","3","19.0","16","8","2","21","6","1.23","10.03","3.11","3.86","0.4","15689"
"JT Chargois","Dodgers","0","0","0","0","3.75","0","1","1.0","1","0","0","1","0","1.32","9.98","3.89","3.87","0.0","13767"
"Robbie Erlin","Padres","0","0","0","0","3.92","0","5","5.0","5","2","1","4","1","1.23","7.72","1.86","3.87","0.0","10354"
"Trevor May","Twins","0","0","0","1","3.85","0","7","7.0","6","3","1","8","3","1.29","10.80","3.70","3.87","0.1","6398"
"Zack Wheeler","Mets","1","1","0","0","3.85","3","3","21.0","20","9","3","20","6","1.25","8.76","2.77","3.87","0.4","10310"
"Max Fried","Braves","1","1","0","0","3.79","3","3","18.0","17","7","2","18","7","1.34","9.33","3.66","3.87","0.3","13743"
"Sean Doolittle","Nationals","1","0","4","0","3.71","0","7","7.0","6","3","1","9","2","1.11","10.36","2.22","3.88","0.1","1581"
"German Marquez","Rockies","0","0","0","0","4.06","1","1","3.0","3","1","0","3","1","1.24","9.56","2.29","3.88","0.1","15038"
"Wander Suero","Nationals","0","0","0","2","3.89","0","6","6.0","6","3","1","6","2","1.29","9.24","3.19","3.90","0.0","15855"
"Adam Kolarek","Dodgers","0","0","0","1","3.66","0","5","5.0","5","2","0","4","2","1.33","7.40","3.06","3.90","0.0","10843"
"Cole Sulser","Rays","0","0","0","0","3.86","0","4","4.0","3","2","0","4","1","1.27","10.34","3.59","3.90","0.0","15256"
"Grant Dayton","Braves","0","0","0","0","3.86","0","1","1.0","0","0","0","1","0","1.22","10.80","3.18","3.91","0.0","11203"
"Adam Ottavino","Yankees","0","0","3","0","3.83","0","7","7.0","5","3","1","9","4","1.31","11.99","4.84","3.91","0.1","1247"
"David Bednar","Padres","0","0","0","1","3.77","0","5","5.0","5","2","1","6","2","1.28","10.43","3.85","3.91","0.0","19569"
"Ray Black","Brewers","0","0","0","1","4.06","0","5","5.0","3","2","1","7","3","1.33","13.59","5.28","3.91","0.0","14244"
"Ryne Stanek","Marlins","0","0","4","0","3.80","0","8","8.0","6","3","1","9","3","1.29","10.72","4.10","3.91","0.1","15947"
"David Price","Red Sox","1","1","0","0","3.97","3","3","19.0","18","8","3","20","5","1.23","9.31","2.52","3.92","0.4","3184"
"Dallas Keuchel","Braves","1","1","0","0","3.94","3","3","20.0","20","9","2","16","6","1.33","7.13","2.67","3.92","0.3","9434"
"Zac Grotz","Mariners","0","0","0","0","3.79","0","2","2.0","2","1","0","2","1","1.25","8.57","2.72","3.92","0.0","18256"
"Brad Peacock","Astros","0","0","0","0","3.91","0","3","4.0","3","2","1","4","1","1.24","10.65","3.26","3.93","0.0","5401"
"Josh Taylor","Red Sox","0","0","0","1","3.91","0","6","6.0","5","2","1","6","2","1.36","9.42","3.88","3.93","0.0","17359"
"Jeremy Jeffress","","2","1","0","0","3.74","0","25","25.0","24","10","3","23","9","1.32","8.39","3.37","3.93","0.3","9490"
"Collin McHugh","Astros","0","0","0","0","3.85","0","3","3.0","3","1","0","3","1","1.23","9.59","2.81","3.93","0.0","7531"
"Aaron Bummer","White Sox","0","0","0","1","3.76","0","8","8.0","7","3","1","7","3","1.37","8.63","3.96","3.93","0.1","16258"
"Joe Smith","Astros","0","0","0","1","3.78","0","6","6.0","6","3","1","6","2","1.24","8.32","2.57","3.95","0.0","3281"
"Andres Munoz","Padres","0","0","0","2","3.76","0","6","6.0","5","3","1","8","4","1.48","11.61","6.09","3.95","0.0","20373"
"Rich Hill","Dodgers","1","1","0","0","3.77","3","3","15.0","13","6","2","17","5","1.17","10.32","2.81","3.95","0.3","4806"
"Kevin Gausman","Reds","0","0","0","2","3.91","0","7","9.0","8","4","1","9","2","1.22","9.43","2.52","3.96","0.1","14107"
"Matt Strahm","Padres","0","0","0","2","3.88","0","7","7.0","6","3","1","8","2","1.20","9.96","2.47","3.96","0.1","13799"
"Lance Lynn","Rangers","1","1","0","0","3.91","3","3","19.0","18","8","2","20","7","1.32","9.33","3.29","3.96","0.4","2520"
"Fernando Abad","Giants","0","0","0","1","3.81","0","6","6.0","6","3","1","6","2","1.26","8.80","2.89","3.96","0.0","4994"
"Juan Nicasio","Phillies","0","0","0","0","4.01","0","2","2.0","2","1","0","2","1","1.31","9.45","3.16","3.96","0.0","7731"
"Brendan McKay","Rays","0","0","0","0","3.85","1","1","3.0","3","1","0","3","1","1.21","10.10","2.91","3.97","0.1","20186"
"Michael Feliz","Pirates","0","0","0","1","4.11","0","5","5.0","4","2","1","6","2","1.32","11.05","3.86","3.97","0.0","11903"
"Richard Lovelady","Royals","0","0","0","0","3.92","0","2","2.0","2","1","0","1","1","1.35","7.77","3.42","3.97","0.0","19337"
"Pedro Baez","Dodgers","0","0","0","1","3.84","0","7","7.0","6","3","1","7","3","1.26","9.71","3.37","3.98","0.1","5420"
"Chris Archer","Pirates","1","1","0","0","4.18","3","3","14.0","14","7","2","16","5","1.32","10.08","3.27","3.98","0.3","6345"
"Chris Paddack","Padres","1","1","0","0","4.05","3","3","16.0","15","7","3","17","4","1.19","9.64","2.16","3.98","0.3","20099"
"Jimmie Sherfy","Diamondbacks","0","0","0","0","3.90","0","4","4.0","3","2","0","5","2","1.34","10.53","4.25","3.99","0.0","15118"
"Trey Wingenter","Padres","0","0","0","1","3.96","0","6","6.0","5","3","1","8","3","1.36","11.84","5.01","3.99","0.0","17793"
"Zack Greinke","Astros","2","1","0","0","3.73","3","3","20.0","19","8","3","18","4","1.15","8.24","1.91","3.99","0.4","1943"
"Tanner Scott","Orioles","0","0","0","0","3.95","0","1","1.0","0","0","0","1","0","1.46","11.20","5.63","3.99","0.0","17586"
"Jay Jackson","Brewers","0","0","0","1","3.98","0","5","5.0","5","2","1","6","2","1.27","10.94","3.66","3.99","0.0","7432"
"Miles Mikolas","Cardinals","1","1","0","0","3.96","4","4","21.0","22","9","3","17","4","1.24","7.18","1.76","4.00","0.3","9803"
"Robbie Ray","Diamondbacks","1","1","0","0","4.02","3","3","19.0","17","9","3","25","9","1.32","11.63","4.23","4.00","0.3","11486"
"Cam Bedrosian","Angels","0","0","0","0","3.92","0","1","1.0","0","0","0","1","0","1.32","9.18","3.34","4.01","0.0","13360"
"Alex Claudio","Brewers","0","0","0","2","3.89","0","7","7.0","7","3","1","5","2","1.33","6.53","2.57","4.01","0.1","12890"
"Jose Quintana","Cubs","1","1","0","0","3.97","4","4","21.0","20","9","3","19","6","1.29","8.34","2.78","4.02","0.4","11423"
"Tony Watson","Giants","0","0","0","0","3.79","0","1","1.0","1","0","0","0","0","1.23","8.09","2.42","4.02","0.0","3132"
"Yu Darvish","Cubs","1","1","0","0","4.05","4","4","20.0","18","9","3","24","7","1.23","10.73","3.16","4.03","0.3","13074"
"Jace Fry","White Sox","0","0","0","1","4.01","0","7","7.0","6","3","1","8","4","1.42","10.66","5.15","4.03","0.1","16159"
"A.J. Puk","Athletics","0","0","0","0","4.02","0","4","4.0","3","2","0","4","2","1.37","10.03","4.33","4.03","0.0","19343"
"Luis Perdomo","Padres","0","0","0","1","4.17","0","6","6.0","6","3","1","5","2","1.38","7.63","2.83","4.04","0.0","14682"
"Madison Bumgarner","Giants","1","1","0","0","3.94","4","4","22.0","21","10","3","21","5","1.20","8.68","2.20","4.04","0.3","5524"
"Dinelson Lamet","Padres","1","1","0","0","4.03","3","3","20.0","17","9","3","23","8","1.32","10.82","3.90","4.04","0.3","17186"
"Brandon Kintzler","Cubs","0","0","0","1","3.96","0","5","5.0","5","2","1","4","2","1.32","7.25","2.69","4.04","0.0","9939"
"Joe Jimenez","Tigers","0","1","4","0","4.15","0","8","8.0","7","4","1","10","3","1.28","10.97","3.64","4.04","0.1","15761"
"Alex Colome","White Sox","0","0","4","0","3.96","0","8","8.0","7","3","1","7","3","1.32","8.81","3.33","4.04","0.1","6661"
"Josh Sborz","Dodgers","0","0","0","0","3.99","0","2","2.0","1","1","0","2","1","1.33","9.45","3.83","4.05","0.0","18323"
"Frankie Montas","Athletics","0","0","0","0","4.03","0","0","2.0","2","1","0","2","1","1.32","8.23","2.99","4.05","0.0","14309"
"Ryne Harper","Twins","0","0","0","0","4.10","0","3","3.0","3","1","0","3","1","1.27","8.62","2.55","4.06","0.0","12680"
"Matt Andriese","Diamondbacks","0","0","0","1","4.19","0","5","5.0","5","2","1","5","2","1.29","9.04","2.78","4.06","0.0","12022"
"Freddy Peralta","Brewers","0","0","0","0","4.03","0","4","6.0","5","3","1","8","3","1.29","11.99","4.42","4.06","0.0","18679"
"Xavier Cedeno","Cubs","0","0","0","0","3.94","0","1","1.0","1","0","0","1","0","1.42","8.22","4.22","4.07","0.0","36"
"Kyle Hendricks","Cubs","1","1","0","0","3.97","4","4","21.0","21","9","3","18","5","1.23","7.76","2.11","4.07","0.4","12049"
"Brian Moran","Marlins","0","0","0","0","3.87","0","4","4.0","3","2","0","4","2","1.34","9.15","3.86","4.07","0.0","9646"
"Julio Urias","Dodgers","1","1","0","0","3.92","3","4","16.0","14","7","2","17","6","1.30","9.44","3.50","4.07","0.3","14765"
"Hansel Robles","Angels","0","0","4","0","3.94","0","7","7.0","6","3","1","7","3","1.28","9.46","3.32","4.07","0.1","11801"
"Eric Yardley","Padres","0","0","0","0","3.94","0","4","4.0","4","2","0","3","1","1.36","6.74","2.80","4.08","0.0","15538"
"J.B. Wendelken","Athletics","0","0","0","0","4.02","0","2","2.0","2","1","0","2","1","1.33","9.22","3.49","4.08","0.0","14506"
"Chris Devenski","Astros","0","0","0","2","4.02","0","6","6.0","6","3","1","7","2","1.20","10.02","2.78","4.08","0.1","12763"
"Jose Alvarez","Phillies","0","0","0","2","4.03","0","8","8.0","8","3","1","7","3","1.34","8.21","3.16","4.08","0.1","5358"
"Andrew Heaney","Angels","1","1","0","0","4.00","3","3","19.0","18","8","3","20","5","1.21","9.54","2.39","4.08","0.3","15423"
"JT Brubaker","Pirates","0","0","0","0","4.06","0","1","1.0","1","0","0","1","0","1.30","8.40","2.91","4.08","0.0","sa875176"
"Marcus Walden","Red Sox","0","0","0","1","4.16","0","6","6.0","6","3","1","5","2","1.39","7.95","3.61","4.09","0.0","8004"
"Parker Markel","Pirates","0","0","0","0","4.01","0","3","3.0","3","1","0","4","2","1.39","10.76","4.79","4.09","0.0","12106"
"Anthony Banda","Rays","0","0","0","0","4.02","0","2","2.0","2","1","0","2","1","1.32","8.89","3.44","4.10","0.0","14706"
"Amir Garrett","Reds","0","0","0","1","3.90","0","7","7.0","6","3","1","8","3","1.32","11.14","4.33","4.11","0.1","14375"
"Carl Edwards Jr.","Padres","0","0","0","0","4.02","0","2","2.0","1","1","0","2","1","1.39","11.47","5.53","4.11","0.0","13607"
"Sam Tuivailala","Mariners","0","0","0","2","4.06","0","7","7.0","6","3","1","6","3","1.36","8.53","3.55","4.11","0.1","13485"
"Luis Avilan","Mets","0","0","0","1","4.00","0","6","6.0","6","3","1","6","3","1.37","9.02","3.84","4.11","0.0","2882"
"Lou Trivino","Athletics","0","0","0","1","4.00","0","7","7.0","6","3","1","7","3","1.36","8.82","4.05","4.12","0.0","15043"
"Sean Newcomb","Braves","0","0","0","1","4.08","0","6","6.0","5","3","1","6","3","1.34","9.55","3.98","4.12","0.0","16943"
"Daniel Zamora","Mets","0","0","0","0","4.00","0","4","4.0","4","2","1","4","2","1.34","9.64","3.92","4.13","0.0","17811"
"Kyle Ryan","Cubs","0","0","0","1","3.97","0","6","6.0","6","3","1","5","3","1.39","8.21","3.93","4.13","0.0","11753"
"Joe Musgrove","Pirates","1","1","0","0","4.21","3","3","20.0","20","9","3","17","5","1.26","7.86","2.05","4.13","0.3","12970"
"Dylan Floro","Dodgers","0","0","0","0","4.02","0","2","2.0","2","1","0","2","1","1.33","7.32","2.79","4.14","0.0","13394"
"Brad Wieck","Cubs","0","0","0","0","4.12","0","4","4.0","3","2","1","5","2","1.32","11.93","4.29","4.14","0.0","16390"
"Corbin Burnes","Brewers","0","0","0","0","4.06","0","1","1.0","1","0","0","1","0","1.28","9.96","3.23","4.14","0.0","19361"
"Eduardo Rodriguez","Red Sox","1","1","0","0","4.26","4","4","21.0","20","10","3","21","8","1.32","9.28","3.27","4.14","0.3","13164"
"Pablo Lopez","Marlins","1","1","0","0","4.01","3","3","20.0","20","9","2","17","5","1.27","7.60","2.37","4.14","0.3","17085"
"Joey Lucchesi","Padres","1","1","0","0","4.16","4","4","21.0","20","10","3","21","7","1.34","8.93","3.18","4.15","0.3","19320"
"Tyler Rogers","Giants","0","0","0","2","4.09","0","7","7.0","7","3","1","5","3","1.45","6.72","3.90","4.15","0.0","15541"
"Matt Bowman","Reds","0","0","0","1","4.07","0","5","5.0","5","2","1","5","2","1.38","8.53","3.71","4.15","0.0","13528"
"Taylor Cole","Angels","0","0","0","0","3.91","0","2","2.0","2","1","0","2","1","1.35","8.92","3.78","4.16","0.0","11964"
"Sam Dyson","Twins","0","0","0","2","4.14","0","8","8.0","8","4","1","6","2","1.34","7.37","2.83","4.16","0.1","11710"
"Luke Weaver","Diamondbacks","0","0","0","0","4.27","1","1","7.0","7","3","1","7","2","1.31","8.95","2.82","4.16","0.1","16918"
"Steve Cishek","Cubs","0","0","0","2","3.88","0","8","8.0","7","3","1","8","3","1.30","9.35","3.64","4.16","0.1","6483"
"Dillon Maples","Cubs","0","0","0","0","4.00","0","2","2.0","2","1","0","4","2","1.61","13.48","8.06","4.19","0.0","14672"
"Hector Rondon","Astros","0","0","0","1","4.22","0","6","6.0","6","3","1","6","2","1.31","8.70","2.98","4.19","0.0","2391"
"Dan Otero","Indians","0","0","0","1","4.31","0","4","4.0","5","2","1","3","1","1.29","5.75","1.44","4.19","0.0","7385"
"D.J. Johnson","Rockies","0","0","0","0","4.24","0","3","3.0","3","2","0","4","2","1.45","9.45","4.57","4.20","0.0","12578"
"Michael Lorenzen","Reds","0","0","0","2","4.06","0","7","7.0","7","3","1","7","3","1.35","8.40","3.45","4.21","0.1","14843"
"Nathan Eovaldi","Red Sox","1","1","0","0","4.33","3","3","19.0","19","9","3","17","6","1.34","8.38","2.75","4.21","0.3","9132"
"Jonathan Holder","Yankees","0","0","0","0","4.16","0","1","1.0","1","0","0","1","0","1.24","9.09","2.60","4.22","0.0","16588"
