"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Felipe Vazquez","Pirates","0","0","4","0","2.70","0","7","7.0","6","2","1","10","2","1.08","12.22","2.79","2.68","0.2","12076"
"Kirby Yates","Padres","1","0","4","0","2.70","0","8","8.0","6","2","1","11","2","1.03","13.24","2.66","2.71","0.2","9073"
"Liam Hendriks","Athletics","1","0","4","0","2.86","0","8","8.0","6","2","1","10","2","1.06","11.91","2.64","2.72","0.3","3548"
"Aroldis Chapman","Yankees","0","0","1","2","2.74","0","7","7.0","5","2","1","10","3","1.13","13.77","4.21","2.84","0.2","10233"
"Josh Hader","Brewers","1","0","4","0","2.85","0","8","8.0","5","2","1","13","3","1.02","15.64","3.55","2.89","0.3","14212"
"Jacob deGrom","Mets","2","1","0","0","2.91","4","4","23.0","19","8","2","29","6","1.06","11.12","2.17","2.90","0.7","10954"
"Max Scherzer","Nationals","2","1","0","0","2.93","4","4","25.0","19","8","3","33","6","1.00","12.06","2.13","2.91","0.8","3137"
"Edwin Diaz","Mets","0","0","4","0","2.92","0","7","7.0","5","2","1","11","2","1.03","14.18","3.00","2.93","0.2","14710"
"Gerrit Cole","Astros","2","1","0","0","3.08","3","3","21.0","16","7","3","28","6","1.05","12.22","2.43","2.97","0.7","13125"
"Ken Giles","Blue Jays","0","0","4","0","3.28","0","6","6.0","5","2","1","8","2","1.14","11.95","2.79","2.98","0.2","12910"
"Will Smith","Giants","0","0","4","1","3.15","0","7","7.0","6","3","1","10","2","1.12","12.32","3.07","3.07","0.2","8048"
"Dellin Betances","Yankees","0","0","0","0","3.06","0","3","3.0","2","1","0","5","1","1.13","13.48","4.11","3.10","0.0","6216"
"Ryan Pressly","Astros","0","0","0","0","3.13","0","1","1.0","0","0","0","1","0","1.12","11.30","2.69","3.11","0.0","7005"
"Nick Anderson","Rays","0","0","0","2","3.17","0","7","7.0","5","2","1","10","2","1.09","12.88","2.98","3.14","0.2","18337"
"Giovanny Gallegos","Cardinals","0","0","0","2","3.21","0","8","8.0","6","3","1","10","2","1.10","11.54","2.49","3.19","0.2","14986"
"Keone Kela","Pirates","0","0","0","1","3.27","0","6","6.0","5","2","1","8","2","1.16","11.58","3.35","3.20","0.1","14696"
"Jimmy Yacabonis","Orioles","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.21","0.0","15157"
"Joey Krehbiel","Diamondbacks","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.21","0.0","13707"
"Matt Barnes","Red Sox","1","0","0","2","3.35","0","7","7.0","6","3","1","10","3","1.24","13.05","4.19","3.22","0.2","12863"
"Taylor Rogers","Twins","0","0","4","0","3.22","0","8","8.0","7","3","1","9","2","1.13","10.30","2.32","3.23","0.2","13449"
"Chris Martin","Braves","0","0","0","2","3.29","0","6","6.0","6","2","1","7","1","1.13","9.52","1.65","3.24","0.1","11847"
"Chad Green","Yankees","0","0","0","1","3.20","0","6","6.0","5","2","1","8","2","1.08","11.72","2.43","3.27","0.1","15552"
"Carlos Carrasco","Indians","0","0","0","0","3.42","0","3","5.0","5","2","1","6","1","1.09","10.68","1.74","3.29","0.0","6632"
"Walker Buehler","Dodgers","1","1","0","0","3.27","3","3","18.0","15","6","2","21","5","1.11","10.60","2.34","3.31","0.4","19374"
"Justin Verlander","Astros","2","1","0","0","3.24","3","3","22.0","17","8","3","28","5","1.01","11.55","2.01","3.32","0.6","8700"
"Stephen Strasburg","Nationals","2","1","0","0","3.45","4","4","23.0","20","9","3","27","6","1.14","10.54","2.41","3.36","0.6","10131"
"Austin Adams","Mariners","0","0","0","1","3.17","0","4","4.0","3","1","0","6","2","1.28","13.14","5.35","3.36","0.0","13801"
"Charlie Morton","Rays","1","1","0","0","3.27","3","3","19.0","16","7","2","22","6","1.18","10.51","3.01","3.36","0.5","4676"
