"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"George Springer","Astros","49","204","177","48","9","1","10","33","28","23","43","3","3","1",".271",".360",".499",".858",".360","-0.6","0.1","1.4","12856"
"Jose Ramirez","Indians","55","232","202","56","14","1","10","34","33","26","27","2","10","3",".278",".362",".504",".866",".360","1.1","1.4","1.7","13510"
"Paul Goldschmidt","Cardinals","56","234","200","54","9","1","11","33","32","31","57","2","3","1",".270",".370",".487",".858",".359","1.0","0.4","1.2","9218"
"Joey Votto","Reds","55","232","192","53","11","1","7","31","25","36","42","2","1","0",".275",".393",".447",".840",".359","0.5","-1.0","0.9","4314"
"Trevor Story","Rockies","53","223","201","55","13","2","12","33","34","18","62","2","7","2",".273",".335",".532",".867",".358","0.7","0.7","1.2","12564"
"Rafael Devers","Red Sox","48","202","184","54","13","1","9","30","32","15","40","1","3","2",".292",".346",".521",".867",".358","-1.0","0.2","1.2","17350"
"Edwin Encarnacion","Yankees","48","200","171","42","7","0","13","30","34","25","44","2","0","0",".244",".346",".513",".859",".357","0.0","-0.7","0.7","2151"
"Daniel Murphy","Rockies","44","186","170","52","12","1","7","25","29","13","25","1","1","0",".303",".355",".504",".859",".357","-0.6","-0.2","0.3","4316"
"Carlos Santana","Indians","55","229","190","49","11","1","10","31","31","36","35","1","1","0",".257",".376",".471",".847",".357","0.3","-0.1","0.9","2396"
"Jose Altuve","Astros","49","207","185","56","11","1","7","30","26","17","28","2","5","2",".302",".365",".478",".843",".355","-1.2","0.1","1.4","5417"
"Peter Alonso","Mets","53","222","192","48","10","1","13","31","33","23","56","5","1","1",".249",".341",".512",".853",".355","0.6","-0.1","1.1","19251"
"Joc Pederson","Dodgers","37","155","133","33","6","1","9","23","22","18","34","3","1","1",".246",".344",".509",".852",".354","-0.1","0.0","0.8","11899"
"Josh Bell","Pirates","56","234","204","56","13","2","9","31","34","27","45","1","1","1",".273",".359",".489",".849",".354","-1.8","-0.8","0.7","13145"
"Yasmani Grandal","Brewers","41","172","145","36","7","1","8","22","24","25","41","1","1","0",".247",".359",".480",".838",".353","0.0","-0.8","1.5","11368"
"Manny Machado","Padres","56","234","209","58","11","1","12","31","34","22","41","1","3","1",".276",".346",".508",".854",".353","1.4","-0.1","1.6","11493"
"Max Muncy","Dodgers","49","207","174","43","8","1","11","30","30","29","53","2","1","1",".248",".357",".481",".838",".352","-0.3","0.2","1.1","13301"
"Vladimir Guerrero Jr.","Blue Jays","50","209","187","53","11","0","8","28","28","19","32","2","1","1",".287",".355",".478",".834",".351","-1.5","-0.3","1.0","19611"
"Carlos Correa","Astros","48","200","175","47","10","1","9","27","32","22","45","1","1","0",".269",".351",".485",".836",".350","-0.7","0.3","1.4","14162"
"Matt Chapman","Athletics","52","219","193","49","12","1","11","32","30","22","54","2","1","1",".255",".336",".499",".835",".349","3.3","0.3","1.7","16505"
"Yordan Alvarez","Astros","48","202","180","48","10","0","11","27","32","19","54","1","2","1",".268",".340",".503",".843",".349","0.0","0.1","0.8","19556"
"Luke Voit","Yankees","49","207","179","47","8","1","9","28","29","23","52","3","0","0",".263",".353",".469",".822",".348","-0.9","-0.1","0.6","14811"
"Ketel Marte","Diamondbacks","53","223","201","58","11","3","7","29","26","18","31","1","3","1",".290",".351",".478",".829",".348","1.3","0.2","1.3","13613"
"Michael Brantley","Astros","48","200","180","53","11","1","6","27","27","16","22","1","3","1",".295",".356",".466",".823",".347","-0.2","0.2","1.0","4106"
"Eugenio Suarez","Reds","55","232","203","52","9","1","12","31","36","24","59","3","1","1",".257",".341",".492",".833",".347","0.0","-0.5","1.1","12552"
"Mike Moustakas","Brewers","44","183","166","44","9","0","11","24","30","14","30","2","1","0",".264",".327",".515",".842",".347","0.0","-0.4","0.9","4892"
"Michael Conforto","Mets","51","214","183","46","10","0","10","28","30","27","53","3","2","1",".249",".352",".475",".827",".347","-0.4","0.2","1.1","16376"
"Andrew Benintendi","Red Sox","49","204","179","50","12","2","6","29","26","21","39","2","5","2",".280",".359",".459",".817",".346","0.6","0.5","0.9","17901"
"Marcell Ozuna","Cardinals","46","192","175","49","8","1","9","25","31","15","38","1","2","1",".279",".337",".491",".829",".346","0.8","0.1","0.9","10324"
"Shin-Soo Choo","Rangers","47","198","169","44","8","1","7","28","20","24","47","4","3","1",".262",".363",".442",".805",".345","-1.1","0.0","0.5","3174"
"Tommy Pham","Rays","47","198","170","45","7","1","7","28","23","24","47","2","5","2",".262",".360",".448",".808",".345","1.5","0.5","1.1","2967"
"Yasiel Puig","Reds","50","212","190","51","9","1","11","27","32","18","44","2","6","3",".266",".332",".497",".828",".345","0.9","-0.2","0.8","14225"
"Matt Olson","Athletics","45","187","163","40","9","0","10","25","28","20","48","2","0","0",".245",".335",".492",".826",".344","1.8","-0.2","0.9","14344"
"Eloy Jimenez","White Sox","52","217","199","54","9","1","11","27","30","15","48","1","0","0",".274",".326",".500",".827",".343","-1.0","0.0","0.7","17484"
"Corey Seager","Dodgers","49","207","183","51","12","1","7","27","28","20","39","2","1","0",".279",".352",".462",".814",".343","0.8","0.4","1.4","13624"
"Gleyber Torres","Yankees","51","214","191","52","9","1","10","28","31","20","49","2","3","1",".270",".341",".476",".818",".343","-1.9","-0.2","1.0","16997"
"Kyle Schwarber","Cubs","46","195","166","40","7","1","11","28","27","25","55","1","1","1",".238",".340",".490",".830",".343","0.0","0.1","0.7","16478"
"Matt Carpenter","Cardinals","47","197","164","40","10","1","8","28","22","28","47","2","2","1",".242",".358",".450",".809",".342","-1.6","0.0","0.8","8090"
"Jesse Winker","Reds","42","176","153","42","8","1","6","22","20","20","28","2","1","1",".273",".361",".444",".804",".342","-1.0","-0.4","0.5","13590"
"Nicholas Castellanos","Tigers","58","244","222","62","16","2","9","30","31","18","55","2","1","1",".277",".333",".486",".819",".342","-3.1","-0.3","0.6","11737"
"David Dahl","Rockies","50","208","190","53","11","2","9","28","31","14","55","1","4","2",".278",".329",".494",".823",".342","0.3","0.1","0.5","13744"
"Max Kepler","Twins","52","217","191","49","12","1","10","30","29","21","37","2","2","1",".257",".335",".480",".815",".342","2.9","0.1","1.1","12144"
"Daniel Vogelbach","Mariners","49","204","172","42","7","0","9","26","28","29","47","1","0","0",".242",".353",".448",".801",".341","0.0","-0.2","0.7","14130"
"C.J. Cron","Twins","36","150","136","36","8","0","8","19","23","10","33","3","0","0",".265",".325",".495",".819",".341","0.0","-0.3","0.4","12546"
"Adam Eaton","Nationals","50","209","183","53","9","2","4","29","18","20","35","4","4","2",".288",".367",".422",".789",".340","1.7","0.5","0.9","11205"
"Justin Smoak","Blue Jays","52","219","186","44","9","0","11","27","30","30","53","2","0","0",".236",".344",".459",".804",".340","0.2","-0.8","0.6","9054"
"Miguel Sano","Twins","48","202","176","42","8","1","12","28","31","23","73","1","0","0",".236",".326",".489",".815",".340","-0.7","-0.3","0.8","12164"
"David Peralta","Diamondbacks","45","191","173","48","10","1","7","23","25","15","39","2","1","0",".280",".342",".469",".811",".340","0.7","0.1","0.7","2136"
"Eric Thames","Brewers","24","100","86","20","4","1","5","14","14","12","32","2","1","0",".236",".339",".476",".815",".340","-0.5","0.0","0.2","3711"
"Jorge Soler","Royals","50","212","185","46","10","0","10","25","29","22","60","3","1","0",".248",".334",".472",".806",".340","-0.3","-0.2","0.5","14221"
"Willson Contreras","Cubs","38","158","137","36","7","1","6","19","21","16","36","3","1","1",".261",".347",".454",".802",".339","-0.2","-0.5","0.6","11609"
"Javier Baez","Cubs","56","234","219","60","12","2","12","33","37","11","64","2","5","2",".275",".314",".514",".829",".339","0.5","0.6","1.3","12979"
"Alex Dickerson","Giants","39","162","147","41","9","2","5","21","22","12","33","2","1","0",".280",".342",".469",".811",".339","-0.6","0.0","0.5","12649"
"Gary Sanchez","Yankees","37","154","137","33","6","0","10","22","27","14","40","2","1","0",".241",".316",".501",".817",".339","-1.1","-0.1","0.8","11442"
"Aaron Hicks","Yankees","48","200","171","42","8","1","8","28","27","26","44","1","3","1",".247",".346",".450",".796",".339","0.3","0.3","1.1","5297"
"Jose Abreu","White Sox","55","232","213","58","12","0","11","28","35","13","48","4","1","0",".275",".327",".488",".815",".338","-0.8","-0.5","0.6","15676"
"Jeff McNeil","Mets","50","212","192","56","11","2","5","27","22","13","28","5","3","1",".292",".348",".448",".796",".337","-0.8","0.3","0.9","15362"
"Khris Davis","Athletics","53","222","197","48","8","0","13","30","37","21","62","3","0","0",".242",".320",".491",".812",".337","0.0","-0.5","0.5","9112"
"Yonder Alonso","Rockies","16","68","59","15","3","0","3","9","10","7","14","0","0","0",".260",".343",".453",".796",".336","-0.1","-0.2","0.1","2530"
"Ryan Braun","Brewers","38","159","145","39","8","1","7","21","23","12","33","1","3","1",".268",".327",".478",".806",".336","-0.5","-0.2","0.4","3410"
"Trea Turner","Nationals","52","217","196","55","11","2","6","32","22","17","43","1","14","3",".281",".342",".452",".794",".335","-0.4","1.9","1.2","16252"
"Franmil Reyes","Padres","48","200","179","45","7","0","11","26","28","18","53","1","0","0",".253",".321",".486",".807",".335","-0.5","-0.1","0.6","14566"
"Wilmer Flores","Diamondbacks","25","106","97","28","6","0","4","12","15","6","13","1","0","0",".283",".332",".467",".798",".335","-0.5","-0.3","0.3","5827"
"Brandon Belt","Giants","47","196","166","41","9","1","6","25","21","27","45","2","2","1",".248",".356",".429",".785",".335","1.4","0.0","0.6","10264"
"Eduardo Escobar","Diamondbacks","50","211","191","51","11","3","8","26","30","16","42","2","1","1",".267",".326",".480",".807",".335","0.2","0.1","0.9","6153"
"Jose Martinez","Cardinals","40","166","149","42","8","0","5","20","21","15","31","1","1","0",".283",".347",".438",".786",".335","-0.9","-0.1","0.4","7996"
"J.T. Realmuto","Phillies","45","189","172","47","10","1","8","25","27","12","41","2","2","1",".271",".326",".474",".801",".335","1.4","0.4","1.3","11739"
"Howie Kendrick","Nationals","32","135","123","36","7","0","4","17","17","9","23","2","2","1",".291",".344",".447",".790",".335","-0.6","-0.2","0.4","4229"
"Eddie Rosario","Twins","52","219","206","58","11","1","10","31","33","11","38","0","3","1",".281",".315",".491",".807",".334","1.0","0.6","0.8","12155"
"Derek Dietrich","Reds","50","210","182","44","9","1","9","27","27","15","52","10","1","0",".244",".335",".456",".790",".334","-1.4","0.0","0.5","10542"
"Trey Mancini","Orioles","53","222","202","54","10","1","10","28","28","16","53","2","0","0",".265",".322",".476",".798",".333","-1.6","0.0","0.5","15149"
"Miguel Cabrera","Tigers","46","192","169","47","9","0","6","20","24","20","38","1","0","0",".277",".354",".434",".788",".333","0.0","-1.1","0.3","1744"
"Mark Canha","Athletics","24","100","87","21","5","0","4","13","13","10","23","2","1","0",".244",".332",".457",".789",".333","-0.1","-0.1","0.3","11445"
"Jorge Polanco","Twins","52","219","198","56","12","2","6","29","26","17","36","1","3","2",".281",".339",".449",".788",".333","-1.4","0.0","1.0","13152"
"Ozzie Albies","Braves","54","225","206","57","12","2","7","30","27","15","38","2","5","1",".277",".329",".463",".793",".332","1.9","0.8","1.1","16556"
"Yuli Gurriel","Astros","50","209","195","56","13","1","7","26","30","10","25","2","2","1",".285",".324",".469",".793",".332","-0.8","-0.4","0.5","19198"
"Nathaniel Lowe","Rays","28","117","103","27","5","0","4","15","15","11","27","1","0","0",".264",".339",".445",".784",".332","0.0","0.0","0.3","19566"
"Mitch Haniger","Mariners","30","124","109","27","6","1","5","16","15","12","30","2","2","1",".251",".334",".453",".787",".332","0.1","0.0","0.6","14274"
"Jesus Aguilar","Brewers","31","130","115","28","5","0","6","16","20","13","33","1","0","0",".248",".328",".461",".789",".332","0.2","-0.2","0.3","11342"
"Starling Marte","Pirates","53","222","204","58","11","2","7","30","28","10","40","5","10","3",".282",".329",".459",".788",".331","0.6","0.6","1.0","9241"
"Jake Lamb","Diamondbacks","36","150","129","31","7","1","6","19","20","19","40","1","1","1",".239",".340",".442",".782",".331","0.2","0.2","0.5","13329"
"Corey Dickerson","Pirates","31","131","122","34","9","1","4","16","16","8","25","1","1","1",".281",".325",".476",".801",".331","0.6","-0.1","0.4","10762"
"Keston Hiura","Brewers","47","197","180","48","10","2","7","23","24","12","51","3","5","3",".269",".326",".462",".787",".330","-1.0","-0.2","0.6","20003"
"Brian Dozier","Nationals","46","195","170","42","10","1","8","25","24","21","42","2","3","1",".245",".332",".450",".782",".330","-0.6","0.4","0.7","9810"
"Austin Meadows","Rays","43","180","163","43","9","2","7","22","22","14","39","2","5","2",".266",".327",".463",".790",".330","0.1","0.3","0.6","15672"
"DJ LeMahieu","Yankees","50","212","191","55","9","1","5","30","23","17","32","1","3","1",".286",".345",".427",".771",".330","1.6","-0.2","1.0","9874"
"Nick Senzel","Reds","50","212","190","51","11","2","6","28","23","18","50","1","6","2",".269",".334",".446",".780",".330","0.1","0.2","0.8","19293"
"Yoan Moncada","White Sox","54","227","201","51","10","2","9","29","26","22","68","1","5","2",".254",".331",".448",".779",".329","0.0","0.5","1.1","17232"
"Justin Upton","Angels","49","207","182","44","8","0","10","27","30","22","63","2","3","1",".240",".325",".456",".781",".329","-0.4","0.3","0.7","5222"
"Ryan Zimmerman","Nationals","20","82","74","19","4","0","3","10","12","7","17","1","0","0",".260",".323",".460",".783",".329","-0.3","0.0","0.1","4220"
"Domingo Santana","Mariners","45","188","165","41","8","0","8","22","24","20","62","1","2","1",".248",".333",".441",".774",".328","-1.6","0.1","0.4","10348"
"Fernando Tatis Jr.","Padres","53","222","199","51","8","2","9","30","26","18","67","3","8","3",".257",".323",".459",".782",".328","-0.4","0.4","1.0","19709"
"Buster Posey","Giants","37","154","137","38","8","0","3","17","17","14","21","2","1","0",".281",".353",".414",".767",".328","1.7","-0.4","1.2","9166"
"Matt Adams","Nationals","36","151","138","34","7","0","9","19","26","11","40","1","0","0",".249",".305",".487",".793",".328","0.7","-0.1","0.3","9393"
"Ryan McMahon","Rockies","48","201","181","48","10","1","6","24","26","17","55","1","2","1",".268",".333",".443",".776",".327","0.0","0.2","0.3","15112"
"Nomar Mazara","Rangers","48","203","184","49","9","1","8","25","29","15","44","2","1","1",".264",".325",".456",".781",".327","-0.4","-0.2","0.3","14553"
"Evan Gattis","","33","140","127","31","6","0","8","17","21","10","31","1","1","0",".248",".308",".481",".789",".327","0.0","-0.5","0.1","11003"
"Hunter Renfroe","Padres","51","215","198","49","10","1","13","27","34","14","58","2","2","0",".246",".298",".497",".796",".327","0.9","0.0","0.7","15464"
"Mitch Garver","Twins","22","91","81","20","4","0","4","12","12","9","22","1","0","0",".251",".327",".446",".773",".327","-0.4","0.0","0.3","15161"
"Whit Merrifield","Royals","52","219","199","57","12","2","5","29","21","15","37","2","9","3",".284",".338",".434",".772",".327","0.9","0.8","0.8","11281"
"David Freese","Dodgers","20","83","73","19","4","0","3","10","11","8","21","2","0","0",".255",".338",".427",".765",".327","0.1","-0.3","0.2","9549"
"Marcus Semien","Athletics","50","212","189","49","10","1","7","29","23","21","37","0","4","2",".261",".333",".436",".769",".327","-0.2","0.2","1.1","12533"
"Stephen Piscotty","Athletics","40","168","150","38","9","0","6","20","21","15","35","2","1","1",".256",".329",".441",".770",".326","0.3","-0.3","0.5","13367"
"Paul DeJong","Cardinals","55","229","206","52","12","1","10","30","31","17","54","4","2","1",".254",".321",".456",".777",".326","1.3","0.0","1.2","18015"
"Asdrubal Cabrera","Rangers","48","203","183","48","11","0","7","24","26","17","41","2","1","0",".264",".330",".441",".772",".326","-0.9","-0.4","0.5","4962"
"Jay Bruce","Phillies","42","175","158","37","9","0","10","22","28","15","42","1","1","1",".237",".304",".485",".789",".326","-0.8","-0.2","0.3","9892"
"Didi Gregorius","Yankees","52","217","200","54","10","1","9","28","32","13","29","2","2","1",".271",".319",".460",".779",".326","0.3","0.3","1.1","6012"
"Willie Calhoun","Rangers","21","90","82","22","5","0","3","11","11","6","13","1","0","0",".269",".322",".455",".777",".326","-0.5","0.0","0.1","17838"
"Nick Markakis","Braves","14","60","54","15","3","0","1","7","7","6","8","0","0","0",".278",".352",".411",".762",".325","-0.4","-0.1","0.1","5930"
"Marwin Gonzalez","Twins","46","192","172","46","9","0","6","23","24","15","42","2","1","1",".265",".330",".438",".768",".325","0.8","-0.2","0.6","5497"
"Mitch Moreland","Red Sox","36","152","135","33","8","0","7","19","23","15","35","1","1","0",".243",".321",".454",".776",".325","0.6","-0.3","0.2","3086"
"Alex Verdugo","Dodgers","41","171","156","44","9","1","5","20","19","13","23","1","2","1",".280",".335",".433",".768",".325","0.5","0.2","0.6","17027"
"Logan Morrison","Phillies","3","11","9","2","0","0","1","1","2","1","3","0","0","0",".230",".314",".461",".775",".325","0.0","0.0","0.0","9205"
"Ramon Laureano","Athletics","49","205","185","48","11","1","8","27","25","15","56","3","6","2",".258",".322",".447",".769",".325","1.0","0.8","1.1","17128"
"Eric Hosmer","Padres","56","234","211","57","10","1","8","28","30","20","46","1","2","1",".271",".335",".435",".770",".325","0.1","-0.4","0.4","3516"
"Yandy Diaz","Rays","40","168","146","39","7","1","3","20","16","20","32","1","1","1",".270",".356",".392",".748",".325","-0.3","-0.2","0.6","16578"
"Matt Joyce","Braves","14","58","49","12","3","0","2","7","6","8","13","0","0","0",".237",".340",".416",".756",".324","-0.1","-0.1","0.1","3353"
"Brandon Nimmo","Mets","32","133","110","26","6","1","3","16","12","18","35","3","2","1",".233",".354",".389",".743",".324","-1.1","0.1","0.4","12927"
"Clint Frazier","Yankees","5","20","18","4","1","0","1","2","3","2","5","0","0","0",".251",".317",".454",".772",".324","-0.2","0.0","0.0","15983"
"Justin Bour","Angels","16","69","60","14","2","0","3","8","10","8","18","0","0","0",".235",".324",".447",".772",".324","0.0","-0.2","0.1","9744"
"Gregory Polanco","Pirates","33","140","125","32","7","1","5","18","18","13","32","1","3","1",".252",".325",".447",".772",".323","0.3","0.2","0.3","12907"
"Ian Desmond","Rockies","38","161","146","38","8","1","6","21","22","12","40","1","4","1",".262",".321",".445",".766",".323","-1.1","0.3","0.1","6885"
"Ji-Man Choi","Rays","32","135","117","29","6","0","4","15","16","16","33","1","1","1",".246",".339",".416",".755",".323","-0.3","-0.2","0.2","5452"
"Mark Trumbo","Orioles","24","99","90","22","4","0","5","12","14","7","26","1","0","0",".247",".305",".468",".773",".323","0.0","-0.2","0.1","6876"
"Lorenzo Cain","Brewers","49","207","184","51","10","1","4","27","18","18","35","2","7","2",".276",".346",".404",".750",".323","2.5","0.6","0.9","9077"
"Brandon Lowe","Rays","19","79","71","18","4","0","3","10","10","7","22","1","1","0",".249",".320",".444",".764",".323","0.0","0.1","0.3","18882"
"Jason Heyward","Cubs","50","212","188","50","9","1","6","25","24","21","34","1","3","1",".266",".340",".418",".758",".323","2.5","0.5","0.7","4940"
"Bryan Reynolds","Pirates","48","202","182","50","10","1","5","25","22","16","46","2","2","1",".273",".337",".418",".755",".322","-0.2","0.0","0.4","19326"
"Tyler O'Neill","Cardinals","18","77","71","17","3","0","4","10","12","5","24","1","1","0",".247",".305",".466",".772",".322","-0.1","0.2","0.2","15711"
"Travis Shaw","Brewers","36","153","133","31","6","0","7","18","21","18","37","1","1","0",".234",".327",".439",".765",".322","0.3","-0.1","0.3","11982"
"Christian Walker","Diamondbacks","48","201","181","45","10","1","8","25","27","16","56","2","2","1",".247",".314",".454",".768",".322","0.5","0.2","0.3","13419"
"Dexter Fowler","Cardinals","50","209","179","43","9","1","6","26","22","25","50","3","3","1",".242",".341",".406",".747",".322","-1.4","0.4","0.5","4062"
"Jean Segura","Phillies","50","209","194","55","10","1","5","28","21","11","27","2","5","2",".286",".329",".430",".759",".322","-0.9","0.4","0.8","5933"
"Jonathan Schoop","Twins","43","182","170","44","10","0","8","23","26","8","43","3","1","0",".262",".304",".468",".772",".322","-0.5","-0.2","0.6","11265"
"Chris Iannetta","Rockies","22","91","78","18","4","0","3","10","11","11","25","1","0","0",".233",".337",".420",".756",".322","-0.5","-0.3","0.1","8267"
"Enrique Hernandez","Dodgers","27","114","101","25","5","0","5","14","15","11","24","1","1","0",".244",".322",".443",".765",".321","0.0","0.3","0.4","10472"
"Mike Ford","Yankees","2","10","9","2","0","0","0","1","1","1","2","0","0","0",".242",".329",".429",".759",".321","0.0","0.0","0.0","15585"
"Omar Narvaez","Mariners","33","138","122","32","4","0","4","15","14","14","26","1","0","0",".265",".342",".404",".746",".321","-1.6","-0.2","0.3","13338"
"Tyler Naquin","Indians","44","185","169","46","10","1","6","22","23","12","47","1","3","1",".274",".324",".442",".765",".321","0.4","0.2","0.4","13359"
"Hunter Pence","Rangers","41","174","160","42","8","1","6","22","25","12","38","1","2","1",".265",".318",".444",".761",".321","-0.1","0.2","0.1","8252"
"Danny Valencia","","25","105","95","25","4","0","4","12","14","8","25","1","1","0",".260",".321",".439",".760",".321","-0.7","-0.7","0.0","6364"
"Tommy La Stella","Angels","20","83","75","20","3","0","3","11","9","6","10","1","0","0",".271",".333",".415",".749",".320","-0.4","-0.1","0.3","12371"
"Willians Astudillo","Twins","11","46","44","13","2","0","2","5","6","1","2","1","0","0",".288",".314",".449",".763",".320","0.1","-0.1","0.2","15608"
"Brian Anderson","Marlins","52","219","194","50","11","1","6","25","24","19","46","4","1","1",".256",".334",".413",".747",".320","1.5","0.0","0.9","18289"
"Josh Reddick","Astros","36","152","138","37","6","1","5","19","18","12","21","0","2","1",".272",".330",".426",".756",".320","0.3","0.2","0.5","3892"
"Kurt Suzuki","Nationals","27","115","104","27","5","0","4","12","17","7","15","3","0","0",".263",".322",".434",".756",".320","-0.7","-0.3","0.2","8259"
"Garrett Cooper","Marlins","52","219","198","53","10","1","7","26","25","17","52","2","0","0",".265",".328",".423",".751",".320","0.7","-0.2","0.5","15279"
"Renato Nunez","Orioles","39","165","150","37","7","0","8","20","23","12","42","2","0","0",".244",".306",".457",".763",".320","-0.1","-0.1","0.1","14503"
"Ian Happ","Cubs","31","132","113","26","5","0","5","16","16","16","43","1","2","1",".231",".331",".422",".753",".319","-0.7","-0.1","0.2","17919"
"Kevin Cron","Diamondbacks","2","8","7","2","0","0","0","1","1","1","2","0","0","0",".243",".300",".466",".767",".319","0.0","0.0","0.0","16211"
"Randal Grichuk","Blue Jays","43","181","165","40","10","1","9","23","26","12","52","2","1","1",".239",".295",".473",".768",".319","0.1","0.1","0.5","10243"
"Robbie Grossman","Athletics","21","89","76","19","4","0","2","10","8","11","16","0","1","1",".252",".350",".379",".729",".319","-0.4","-0.1","0.2","5254"
"Jose Bautista","","33","140","117","25","5","0","5","17","16","20","38","2","1","1",".217",".336",".403",".739",".319","0.0","-0.5","0.0","1887"
"Lourdes Gurriel Jr.","Blue Jays","47","197","184","49","10","1","8","25","27","9","43","2","3","2",".264",".305",".458",".763",".319","-1.0","-0.2","0.3","19238"
"Melky Cabrera","Pirates","18","76","71","20","4","0","2","8","9","4","9","0","0","0",".288",".330",".422",".751",".318","-0.4","-0.3","0.1","4022"
"Brock Holt","Red Sox","31","131","115","31","6","1","2","15","14","12","27","2","2","1",".270",".348",".386",".735",".318","-0.4","-0.2","0.3","9345"
"Logan Forsythe","Rangers","33","140","120","30","7","0","3","16","14","17","32","2","1","0",".249",".347",".382",".729",".318","0.4","0.0","0.3","7185"
"Danny Santana","Rangers","36","150","140","38","8","2","5","20","19","7","39","1","6","3",".269",".305",".460",".764",".318","-0.3","0.1","0.3","10322"
"Wil Myers","Padres","32","133","117","27","6","0","5","17","16","14","40","1","4","1",".234",".319",".432",".751",".318","-0.4","0.4","0.3","10047"
"Maikel Franco","Phillies","47","196","178","46","9","0","9","23","29","15","28","1","0","0",".258",".317",".463",".780",".318","-0.6","-0.3","0.4","12179"
"A.J. Pollock","Dodgers","44","185","168","43","9","1","7","24","24","13","37","2","5","1",".255",".315",".441",".756",".318","-0.3","0.5","0.6","9256"
