"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","54","226","178","53","11","1","15","41","37","42","45","4","6","2",".300",".441",".624","1.065",".431","0.2","1.1","3.1","10155"
"Christian Yelich","Brewers","51","216","186","57","11","1","12","36","33","26","44","2","8","2",".309",".398",".575",".974",".399","0.7","1.2","2.0","11477"
"Cody Bellinger","Dodgers","51","216","186","53","10","1","14","34","37","28","44","1","4","1",".286",".379",".573",".952",".386","2.3","0.4","1.9","15998"
"Juan Soto","Nationals","53","224","189","55","10","2","11","33","36","33","45","1","3","1",".290",".395",".530",".925",".385","-2.0","0.1","1.3","20123"
"Freddie Freeman","Braves","55","232","200","59","14","1","11","35","36","28","46","3","3","1",".297",".389",".539",".928",".384","0.8","0.1","1.5","5361"
"J.D. Martinez","Red Sox","52","219","194","58","12","1","13","33","38","22","51","1","1","0",".297",".369",".567",".936",".383","0.0","-0.6","1.2","6184"
"Giancarlo Stanton","Yankees","22","91","79","21","4","0","7","14","17","10","28","1","0","0",".265",".353",".579",".932",".380","0.4","0.0","0.7","4949"
"Mookie Betts","Red Sox","53","223","191","57","13","1","9","39","29","28","31","1","7","2",".296",".387",".526",".913",".380","4.5","1.5","2.1","13611"
"Anthony Rizzo","Cubs","56","236","200","56","12","1","11","34","37","28","34","8","3","1",".282",".387",".518",".905",".377","1.7","-0.6","1.5","3473"
"Kris Bryant","Cubs","52","219","186","52","12","1","10","34","28","26","48","5","2","1",".280",".382",".518",".901",".377","0.0","0.6","1.7","15429"
"Nolan Arenado","Rockies","55","232","207","61","13","1","13","35","41","22","37","1","1","1",".294",".363",".557",".920",".376","2.7","-0.1","1.6","9777"
"Aaron Judge","Yankees","48","202","168","44","7","0","12","32","31","31","63","2","2","1",".261",".378",".522",".901",".375","2.4","0.1","1.6","15640"
"Bryce Harper","Phillies","56","234","191","49","11","0","13","35","36","40","60","2","4","2",".257",".387",".519",".907",".375","0.2","0.1","1.5","11579"
"Anthony Rendon","Nationals","53","222","193","57","14","1","9","33","34","24","33","3","1","1",".294",".379",".523",".901",".375","1.8","0.3","1.8","12861"
"Nelson Cruz","Twins","51","214","188","52","9","0","14","30","39","21","50","4","0","0",".276",".359",".544",".903",".373","0.0","-0.8","1.0","2434"
"Alex Bregman","Astros","53","221","186","51","12","1","10","34","32","30","30","3","3","1",".274",".379",".509",".888",".373","-0.4","0.2","1.9","17678"
"Charlie Blackmon","Rockies","50","211","190","57","10","3","10","35","26","16","39","3","3","2",".300",".360",".532",".892",".371","-1.2","0.1","0.7","7859"
"Josh Donaldson","Braves","47","196","165","43","10","0","10","28","29","27","46","2","2","1",".261",".370",".505",".875",".367","0.7","0.0","1.4","5038"
"Rhys Hoskins","Phillies","55","232","194","49","10","1","12","32","37","33","55","3","1","1",".252",".367",".510",".877",".367","0.0","0.1","1.1","16472"
"Joey Gallo","Rangers","26","111","92","21","4","0","8","17","18","17","41","1","1","1",".225",".349",".541",".890",".366","0.1","0.3","0.7","14128"
"Ronald Acuna Jr.","Braves","52","220","195","56","9","1","11","34","29","21","55","2","9","3",".285",".358",".509",".867",".363","0.8","0.7","1.3","18401"
"Shohei Ohtani","Angels","48","200","177","49","9","1","11","29","33","20","53","1","5","2",".278",".351",".523",".874",".362","0.0","0.3","1.0","19755"
"Francisco Lindor","Indians","56","234","209","61","13","1","11","36","30","20","34","2","8","2",".292",".357",".518",".875",".362","3.3","0.5","2.1","12916"
"Justin Turner","Dodgers","50","209","182","53","12","0","8","29","27","20","31","5","1","0",".289",".374",".480",".854",".362","-0.2","-0.1","1.4","5235"
"Xander Bogaerts","Red Sox","53","223","198","58","14","1","8","33","33","22","41","2","3","1",".293",".366",".496",".862",".361","-0.7","0.6","1.6","12161"
