"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Aroldis Chapman","Yankees","2","1","5","10","2.55","0","33","33.0","22","9","3","51","14","1.08","13.83","3.83","2.61","1.1","10233"
"Will Smith","Giants","2","1","17","3","2.79","0","32","32.0","25","10","3","45","10","1.08","12.45","2.90","2.69","0.9","8048"
"Edwin Diaz","Mets","2","1","17","2","2.73","0","32","32.0","22","10","4","49","10","1.01","13.84","2.87","2.71","1.0","14710"
"Josh Hader","Brewers","2","1","14","3","2.71","0","32","32.0","19","10","4","56","14","1.03","15.70","3.82","2.72","1.1","14212"
"Ken Giles","Blue Jays","1","1","16","1","3.12","0","30","30.0","24","10","3","39","9","1.12","11.90","2.64","2.77","1.0","12910"
"Felipe Vazquez","Pirates","2","1","17","2","2.81","0","33","33.0","26","10","3","44","11","1.12","11.90","3.04","2.77","1.0","12076"
"Chris Sale","Red Sox","8","3","0","0","2.90","16","16","99.0","78","32","11","131","21","0.99","11.92","1.91","2.80","3.1","10603"
"Max Scherzer","Nationals","8","4","0","0","2.91","16","16","106.0","81","34","12","141","25","1.00","11.94","2.16","2.86","3.2","3137"
"Jacob deGrom","Mets","7","4","0","0","2.95","15","15","96.0","79","31","10","117","23","1.06","10.94","2.11","2.90","3.0","10954"
"Kirby Yates","Padres","2","1","17","2","2.94","0","32","32.0","24","11","4","47","11","1.08","12.97","2.98","2.90","0.9","9073"
"Craig Kimbrel","Cubs","2","1","3","10","2.92","0","30","30.0","19","10","3","46","14","1.12","13.86","4.16","2.92","0.7","6655"
"Dellin Betances","Yankees","1","1","0","2","3.00","0","18","18.0","12","6","2","27","8","1.13","13.47","4.11","3.01","0.2","6216"
"Ryan Pressly","Astros","2","1","2","7","3.10","0","34","34.0","28","12","4","42","10","1.11","10.95","2.55","3.05","0.8","7005"
"Liam Hendriks","Athletics","2","1","2","7","3.23","0","34","34.0","28","12","3","40","12","1.17","10.78","3.12","3.11","0.9","3548"
"Giovanny Gallegos","Cardinals","1","1","0","7","3.16","0","28","28.0","23","10","3","36","8","1.11","11.48","2.54","3.11","0.5","14986"
"Matt Barnes","Red Sox","2","1","15","2","3.26","0","32","32.0","25","12","3","46","15","1.24","12.79","4.13","3.12","0.8","12863"
"Brad Hand","Indians","3","1","17","2","3.07","0","35","35.0","27","12","4","47","12","1.11","11.96","2.99","3.15","1.0","9111"
"Gerrit Cole","Astros","7","4","0","0","3.28","16","16","96.0","78","35","12","123","27","1.10","11.50","2.56","3.15","2.6","13125"
"Chad Green","Yankees","2","1","0","6","3.15","0","28","28.0","22","10","4","36","7","1.07","11.64","2.34","3.18","0.5","15552"
"Ricardo Sanchez","Mariners","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.18","0.0","sa830302"
"Kyle Dohy","Phillies","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.18","0.0","sa3004861"
"Mike Dunn","","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.18","0.0","9948"
"Paul Sewald","Mets","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.18","0.0","13892"
"Roberto Osuna","Astros","2","1","16","2","3.22","0","32","32.0","28","11","4","35","6","1.07","9.86","1.76","3.19","0.9","13764"
"Jose Alvarado","Rays","2","1","16","0","3.08","0","32","32.0","24","11","2","41","17","1.28","11.56","4.69","3.21","0.7","17780"
"David Robertson","Phillies","1","1","1","0","3.31","0","12","12.0","9","5","1","17","5","1.18","12.05","3.69","3.28","0.1","8241"
"Ray Black","Giants","1","1","0","0","3.20","0","12","12.0","9","4","1","17","6","1.21","12.59","4.44","3.29","0.0","14244"
"Walker Buehler","Dodgers","6","3","0","0","3.28","14","14","83.0","71","30","10","95","22","1.12","10.31","2.40","3.29","1.9","19374"
"Keone Kela","Pirates","2","1","0","5","3.42","0","23","23.0","19","9","2","28","9","1.19","11.20","3.37","3.30","0.3","14696"
"Noah Syndergaard","Mets","6","4","0","0","3.53","14","14","87.0","82","34","9","89","22","1.20","9.29","2.30","3.31","2.1","11762"
"Blake Snell","Rays","7","4","0","0","3.22","15","15","87.0","70","31","9","106","33","1.19","11.01","3.46","3.33","2.1","13543"
"Kenley Jansen","Dodgers","2","1","16","3","3.22","0","31","31.0","25","11","4","39","7","1.04","11.35","2.11","3.34","0.7","3096"
"Taylor Rogers","Twins","2","1","13","2","3.34","0","32","32.0","29","12","3","35","9","1.17","9.81","2.54","3.34","0.8","13449"
"Will Harris","Astros","2","1","0","6","3.48","0","29","29.0","27","11","3","29","8","1.18","9.04","2.44","3.35","0.3","3192"
"Andrew Miller","Cardinals","2","2","2","8","3.29","0","33","33.0","26","12","4","44","12","1.17","12.04","3.39","3.35","0.6","6785"
"Nick Anderson","Marlins","2","2","2","7","3.33","0","33","33.0","26","12","4","44","12","1.16","11.97","3.37","3.36","0.7","18337"
"Blake Treinen","Athletics","2","1","12","2","3.26","0","24","24.0","20","9","2","26","10","1.25","9.65","3.65","3.36","0.6","12572"
"Sean Doolittle","Nationals","2","1","17","3","3.25","0","32","32.0","26","12","4","39","8","1.06","10.91","2.23","3.37","0.8","1581"
"Corey Kluber","Indians","2","1","0","0","3.47","5","5","30.0","27","12","4","32","7","1.12","9.46","2.00","3.39","0.7","2429"
"Austin Adams","Mariners","1","1","2","6","3.25","0","28","28.0","20","10","2","41","17","1.30","13.03","5.41","3.39","0.6","13801"
"Clayton Kershaw","Dodgers","7","4","0","0","3.31","15","15","94.0","86","35","12","93","17","1.10","8.87","1.65","3.40","2.3","2036"
"Colin Poche","Rays","1","1","0","2","3.20","0","22","22.0","17","8","3","31","9","1.16","12.64","3.61","3.40","0.2","19403"
"Justin Verlander","Astros","8","4","0","0","3.35","16","16","100.0","81","37","15","124","23","1.04","11.16","2.11","3.41","2.5","8700"
"Stephen Strasburg","Nationals","7","4","0","0","3.55","15","15","93.0","84","37","11","106","25","1.16","10.18","2.41","3.42","2.2","10131"
"Joakim Soria","Athletics","2","1","0","6","3.48","0","29","29.0","26","11","3","31","9","1.22","9.64","2.92","3.42","0.4","6941"
"Jose Leclerc","Rangers","2","1","16","0","3.39","0","32","32.0","23","12","3","46","18","1.29","12.84","5.14","3.44","0.9","14524"
"Danny Salazar","Indians","1","1","0","0","3.41","1","11","15.0","12","6","2","19","5","1.15","11.50","3.09","3.44","0.2","5867"
"Charlie Morton","Rays","6","4","0","0","3.36","14","14","82.0","70","31","8","94","30","1.22","10.29","3.26","3.45","1.9","4676"
"Luke Jackson","Braves","2","1","15","2","3.51","0","29","29.0","25","11","3","34","13","1.31","10.58","3.98","3.45","0.5","11752"
"Reyes Moronta","Giants","2","2","1","9","3.40","0","32","32.0","25","12","3","42","18","1.31","11.71","5.01","3.45","0.3","14966"
"Carlos Carrasco","Indians","5","3","0","0","3.59","10","10","58.0","53","23","8","65","13","1.13","10.16","1.95","3.46","1.4","6632"
"Andrew Chafin","Diamondbacks","1","1","0","6","3.43","0","26","26.0","23","10","2","29","12","1.30","9.82","3.97","3.48","0.3","12988"
"Mark Melancon","Giants","1","1","0","6","3.45","0","26","26.0","25","10","2","23","8","1.28","7.84","2.84","3.49","0.2","4264"
"Aaron Loup","Padres","0","0","0","0","3.43","0","2","2.0","1","1","0","2","1","1.30","9.81","3.52","3.50","0.0","10343"
"Oliver Drake","Rays","1","1","0","4","3.57","0","27","27.0","23","11","3","32","10","1.25","10.50","3.46","3.50","0.1","8823"
"Seranthony Dominguez","Phillies","0","0","0","0","3.48","0","2","2.0","2","1","0","3","1","1.26","11.29","4.07","3.51","0.0","19249"
"Justin Wilson","Mets","1","1","0","0","3.49","0","10","10.0","8","4","1","12","5","1.30","11.45","4.43","3.54","0.0","4301"
"Patrick Corbin","Nationals","6","4","0","0","3.69","15","15","91.0","85","37","11","101","28","1.24","9.95","2.77","3.54","2.0","9323"
"Diego Castillo","Rays","2","1","0","6","3.47","0","27","27.0","23","10","3","32","10","1.22","10.45","3.32","3.56","0.2","17496"
"Shane Bieber","Indians","5","4","0","0","3.76","14","14","81.0","79","34","11","81","16","1.18","9.08","1.78","3.56","2.0","19427"
"Hyun-Jin Ryu","Dodgers","6","4","0","0","3.45","14","14","81.0","79","31","11","78","14","1.15","8.67","1.60","3.56","1.6","14444"
"Joe Kelly","Dodgers","2","1","0","6","3.58","0","26","26.0","23","11","2","29","11","1.29","9.84","3.79","3.57","0.2","9761"
"Jake Diekman","Royals","1","1","1","7","3.50","0","27","27.0","21","11","2","34","14","1.31","11.22","4.68","3.58","0.4","5003"
"Tommy Kahnle","Yankees","2","1","0","7","3.68","0","30","30.0","25","12","4","40","14","1.26","11.90","4.01","3.58","0.4","11384"
"Aaron Nola","Phillies","6","5","0","0","3.61","15","15","91.0","82","37","11","99","28","1.21","9.80","2.75","3.59","2.0","16149"
"Archie Bradley","Diamondbacks","2","1","2","6","3.71","0","29","29.0","26","12","3","33","12","1.29","10.15","3.60","3.59","0.3","12918"
"Trevor Gott","Giants","1","1","0","5","3.64","0","26","26.0","24","11","2","26","10","1.30","8.91","3.43","3.60","0.2","15046"
"James Paxton","Yankees","6","4","0","0","3.68","14","14","80.0","70","33","11","92","25","1.19","10.42","2.78","3.60","2.1","11828"
"A.J. Minter","Braves","2","1","2","7","3.59","0","27","27.0","23","11","3","32","12","1.30","10.77","3.97","3.60","0.2","18655"
"Hector Neris","Phillies","2","1","16","2","3.58","0","32","32.0","26","13","5","43","12","1.18","11.98","3.28","3.63","0.6","11804"
