"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","17","70","55","16","3","0","5","13","11","13","14","1","2","0",".297",".440",".622","1.062",".429","0.0","0.4","0.9","10155"
"Christian Yelich","Brewers","18","76","65","20","4","0","4","13","12","9","16","1","3","1",".309",".400",".575",".975",".400","0.3","0.5","0.7","11477"
"Juan Soto","Nationals","19","79","66","19","4","1","4","12","13","12","16","0","1","0",".294",".399",".557",".956",".395","-0.4","0.1","0.6","20123"
"J.D. Martinez","Red Sox","17","72","63","19","4","0","4","11","13","7","16","0","0","0",".301",".376",".580",".957",".391","0.0","-0.2","0.4","6184"
"Freddie Freeman","Braves","17","71","61","18","4","0","4","11","11","9","14","1","1","0",".298",".390",".547",".937",".386","0.2","0.0","0.5","5361"
"Alex Bregman","Astros","17","70","59","17","4","0","3","11","11","9","9","1","1","0",".286",".389",".531",".920",".384","-0.2","0.0","0.7","17678"
"Cody Bellinger","Dodgers","15","62","53","15","3","0","4","10","11","8","12","0","1","0",".282",".377",".570",".947",".384","0.4","0.1","0.5","15998"
"Anthony Rendon","Nationals","19","81","71","21","5","0","4","12","13","9","12","1","1","0",".303",".385",".539",".924",".383","0.7","0.1","0.7","12861"
"Giancarlo Stanton","Yankees","6","26","22","6","1","0","2","4","5","3","8","0","0","0",".265",".354",".582",".936",".381","0.1","0.0","0.2","4949"
"Mookie Betts","Red Sox","17","73","63","19","4","0","3","13","10","9","10","0","2","1",".297",".385",".532",".917",".381","1.6","0.5","0.7","13611"
"Nolan Arenado","Rockies","18","75","67","20","4","0","4","11","13","7","12","0","0","0",".297",".364",".570",".935",".380","0.8","0.0","0.5","9777"
"Nelson Cruz","Twins","17","71","62","18","3","0","5","10","13","7","16","1","0","0",".283",".364",".557",".920",".379","0.0","-0.3","0.4","2434"
"Anthony Rizzo","Cubs","19","79","66","19","4","0","4","11","12","9","11","3","1","0",".283",".390",".514",".905",".378","0.6","-0.2","0.5","3473"
"Bryce Harper","Phillies","19","78","64","16","4","0","4","12","12","13","20","1","1","1",".258",".387",".526",".914",".377","0.1","0.1","0.5","11579"
"Josh Donaldson","Braves","15","62","52","14","3","0","3","9","9","9","14","1","0","0",".263",".377",".521",".897",".375","0.2","0.0","0.5","5038"
"Aaron Judge","Yankees","15","64","53","14","2","0","4","10","9","9","20","1","1","0",".260",".373",".521",".894",".372","0.9","0.0","0.5","15640"
"Charlie Blackmon","Rockies","16","68","61","18","4","1","3","11","8","5","12","1","1","0",".302",".361",".535",".896",".371","-0.5","0.0","0.2","7859"
"Kris Bryant","Cubs","17","71","61","17","4","0","3","11","9","8","16","2","1","0",".276",".376",".508",".884",".371","0.0","0.2","0.5","15429"
"Joey Gallo","Rangers","3","13","11","2","1","0","1","2","2","2","5","0","0","0",".226",".349",".543",".892",".366","0.0","0.0","0.1","14128"
"Justin Turner","Dodgers","15","65","56","16","3","0","3","9","9","6","10","2","0","0",".290",".373",".495",".868",".365","-0.2","0.0","0.4","5235"
"Francisco Lindor","Indians","16","68","61","18","4","0","3","11","9","6","10","0","2","1",".291",".354",".523",".877",".362","1.0","0.1","0.6","12916"
"George Springer","Astros","15","63","55","15","3","0","3","10","9","7","13","1","1","0",".273",".362",".500",".862",".362","0.1","0.0","0.5","12856"
"Trevor Story","Rockies","17","73","66","18","4","1","4","11","11","6","20","1","2","1",".278",".340",".535",".875",".361","0.3","0.2","0.4","12564"
"Jose Altuve","Astros","16","68","61","19","4","0","2","10","9","6","9","1","2","1",".304",".367",".493",".859",".361","-0.5","0.0","0.5","5417"
"Jose Ramirez","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0",".278",".360",".510",".870",".361","0.0","0.0","0.0","13510"
"Xander Bogaerts","Red Sox","17","73","65","19","5","0","3","11","11","7","13","1","1","0",".291",".363",".499",".861",".360","-0.1","0.2","0.5","12161"
"Yordan Alvarez","Astros","16","66","58","16","3","0","4","9","11","7","17","0","1","0",".273",".352",".525",".876",".360","0.0","0.0","0.3","19556"
"Ronald Acuna Jr.","Braves","15","65","57","16","3","0","3","10","9","6","17","1","3","1",".278",".354",".510",".864",".360","0.1","0.2","0.4","18401"
"Carlos Santana","Indians","16","68","56","15","3","0","3","9","9","11","10","0","0","0",".260",".378",".480",".858",".360","0.1","0.0","0.3","2396"
"Joey Votto","Reds","16","68","56","15","3","0","2","9","7","10","12","1","0","0",".276",".393",".451",".844",".360","0.2","-0.3","0.2","4314"
"Edwin Encarnacion","Yankees","13","53","45","11","2","0","3","8","9","7","12","1","0","0",".248",".348",".516",".864",".359","0.0","-0.2","0.2","2151"
"Paul Goldschmidt","Cardinals","19","78","67","18","3","0","4","11","11","10","19","1","1","0",".271",".369",".488",".857",".359","0.4","0.1","0.4","9218"
"Rhys Hoskins","Phillies","18","77","64","16","3","0","4","11","12","11","18","1","0","0",".244",".362",".493",".854",".358","0.2","0.0","0.3","16472"
"Peter Alonso","Mets","18","77","67","17","3","0","5","11","12","8","19","2","0","0",".253",".343",".520",".863",".357","0.1","0.0","0.4","19251"
"Joc Pederson","Dodgers","14","57","49","12","2","0","3","9","8","6","13","1","0","0",".248",".344",".518",".862",".357","0.1","0.0","0.3","11899"
"Ketel Marte","Diamondbacks","17","73","66","19","4","1","2","10","9","6","10","0","1","0",".296",".357",".496",".853",".356","0.3","0.1","0.5","13613"
"Rafael Devers","Red Sox","16","68","63","18","4","0","3","10","11","5","13","0","1","1",".290",".343",".522",".865",".356","-0.2","0.0","0.4","17350"
"Shohei Ohtani","Angels","15","62","55","15","3","0","3","9","10","6","17","0","2","1",".278",".345",".511",".856",".355","0.0","0.1","0.3","19755"
"Josh Bell","Pirates","17","73","63","17","4","0","3","10","11","9","14","0","0","0",".272",".363",".493",".856",".355","-0.8","-0.2","0.2","13145"
"Vladimir Guerrero Jr.","Blue Jays","16","67","60","17","4","0","3","9","9","6","10","1","0","0",".289",".358",".485",".843",".354","-0.6","-0.1","0.3","19611"
"Carlos Correa","Astros","10","42","36","10","2","0","2","6","7","5","9","0","0","0",".268",".354",".493",".847",".354","-0.1","0.1","0.3","14162"
"Eugenio Suarez","Reds","17","71","62","16","3","0","4","10","11","7","18","1","0","0",".261",".344",".508",".853",".354","-0.1","-0.1","0.4","12552"
"Yasmani Grandal","Brewers","15","63","53","13","3","0","3","8","9","9","15","0","0","0",".246",".362",".476",".838",".354","0.0","-0.3","0.4","11368"
"Daniel Murphy","Rockies","15","63","58","17","4","0","2","8","10","4","9","0","0","0",".300",".352",".497",".850",".354","-0.1","-0.1","0.1","4316"
"Max Muncy","Dodgers","6","27","23","6","1","0","1","4","4","4","7","0","0","0",".245",".358",".483",".842",".354","0.0","0.0","0.1","13301"
"Jorge Soler","Royals","17","71","61","16","3","0","4","9","10","8","19","1","0","0",".253",".345",".494",".839",".350","0.0","0.0","0.2","14221"
"Michael Brantley","Astros","15","62","56","17","4","0","2","8","8","5","7","1","1","0",".297",".359",".473",".831",".350","0.0","0.1","0.3","4106"
"Michael Conforto","Mets","17","70","60","15","3","0","3","9","10","9","17","1","1","0",".253",".354",".481",".835",".349","0.0","0.1","0.4","16376"
"Manny Machado","Padres","19","79","71","19","4","0","4","10","11","7","14","0","1","0",".274",".343",".500",".843",".349","0.5","-0.1","0.5","11493"
"Gleyber Torres","Yankees","15","65","58","16","3","0","3","9","10","6","14","0","1","0",".272",".339",".500",".839",".349","-0.6","0.0","0.3","16997"
"Kyle Schwarber","Cubs","14","59","51","12","2","0","4","8","9","8","16","0","0","0",".241",".342",".504",".846",".348","0.0","0.0","0.2","16478"
"Matt Olson","Athletics","15","62","54","14","3","0","3","8","9","7","16","1","0","0",".250",".340",".498",".837",".348","0.6","-0.1","0.3","14344"
"Tommy Pham","Rays","15","62","53","14","3","0","2","9","7","8","14","1","2","1",".267",".364",".453",".818",".348","0.3","0.2","0.4","2967"
"Matt Chapman","Athletics","17","73","64","16","4","0","4","11","10","7","18","1","0","0",".251",".334",".498",".832",".347","1.3","0.1","0.6","16505"
"Mike Moustakas","Brewers","16","69","62","16","3","0","4","9","11","5","11","1","0","0",".264",".328",".515",".843",".347","-0.1","-0.2","0.3","4892"
"Adam Eaton","Nationals","17","71","61","18","3","1","1","10","7","7","12","1","1","0",".289",".371",".435",".806",".347","0.3","0.2","0.3","11205"
"Marcell Ozuna","Cardinals","17","70","63","18","3","0","3","9","11","6","14","0","1","0",".278",".339",".491",".831",".347","0.3","0.1","0.3","10324"
"Luke Voit","Yankees","15","61","53","14","2","0","3","8","8","7","16","1","0","0",".263",".353",".466",".819",".346","-0.3","-0.1","0.2","14811"
"Jesse Winker","Reds","10","44","38","11","2","0","1","6","5","5","7","1","0","0",".277",".366",".449",".814",".346","-0.3","-0.1","0.1","13590"
"Nicholas Castellanos","Cubs","16","67","61","17","4","0","3","9","9","5","16","1","0","0",".277",".332",".501",".833",".346","-0.8","-0.1","0.2","11737"
"Wilmer Flores","Diamondbacks","11","45","41","12","3","0","2","5","7","3","5","0","0","0",".292",".339",".487",".826",".345","-0.3","-0.1","0.2","5827"
"Jose Abreu","White Sox","18","76","70","19","4","0","4","9","12","5","16","1","0","0",".280",".335",".499",".834",".345","-0.3","-0.2","0.2","15676"
