"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Andrew Benintendi","Red Sox","16","67","59","16","4","1","2","9","8","7","13","1","2","0",".277",".356",".457",".813",".344","0.2","0.1","0.3","17901"
"Gary Sanchez","Yankees","12","52","46","11","2","0","3","7","9","5","14","1","0","0",".241",".320",".511",".832",".343","-0.3","0.0","0.3","11442"
"Miguel Sano","Twins","16","69","60","14","3","0","4","10","11","8","25","0","0","0",".236",".329",".493",".823",".343","-0.4","-0.1","0.3","12164"
"Eric Thames","Brewers","13","54","46","11","2","0","3","7","7","6","17","1","1","0",".240",".340",".485",".825",".343","-0.3","0.0","0.1","3711"
"Max Kepler","Twins","18","75","66","17","4","0","3","11","10","8","13","1","1","0",".254",".336",".479",".816",".342","0.8","0.0","0.4","12144"
"Jeff McNeil","Mets","17","72","65","19","4","1","2","10","8","5","10","2","1","0",".291",".351",".458",".809",".342","-0.1","0.1","0.3","15362"
"Matt Carpenter","Cardinals","14","60","50","12","3","0","2","8","7","9","14","1","0","0",".243",".359",".447",".807",".342","-0.3","0.0","0.3","8090"
"David Dahl","Rockies","5","19","17","5","1","0","1","3","3","1","5","0","0","0",".278",".328",".496",".824",".342","-0.1","0.0","0.0","13744"
"J.T. Realmuto","Phillies","15","63","57","16","4","0","3","9","9","4","13","1","1","0",".275",".331",".490",".821",".341","0.6","0.2","0.5","11739"
"Howie Kendrick","Nationals","7","30","28","8","2","0","1","4","4","2","5","0","0","0",".298",".350",".460",".810",".341","-0.1","0.0","0.1","4229"
"Shin-Soo Choo","Rangers","13","56","47","12","2","0","2","8","6","7","13","1","1","0",".258",".360",".434",".795",".341","-0.3","0.0","0.1","3174"
"Willson Contreras","Cubs","11","47","41","11","2","0","2","6","6","5","11","1","0","0",".262",".347",".458",".805",".340","-0.1","-0.1","0.2","11609"
"Franmil Reyes","Indians","15","62","56","14","2","0","4","8","9","6","17","0","0","0",".257",".322",".498",".821",".340","0.0","-0.1","0.1","14566"
"Ryan Braun","Brewers","16","66","59","16","3","0","3","9","10","5","13","1","1","0",".272",".333",".483",".816",".340","-0.2","-0.1","0.2","3410"
"Trea Turner","Nationals","19","80","72","21","4","1","2","12","8","6","15","0","5","1",".287",".347",".457",".804",".339","-0.2","0.7","0.4","16252"
"Mark Canha","Athletics","16","67","58","14","3","0","3","9","9","7","16","2","0","0",".249",".342",".461",".803",".339","-0.1","-0.1","0.3","11445"
"Yuli Gurriel","Astros","16","67","62","18","4","0","2","9","10","4","8","1","1","0",".288",".331",".481",".812",".339","-0.3","-0.1","0.2","19198"
"C.J. Cron","Twins","10","44","40","11","2","0","2","6","7","3","10","1","0","0",".263",".323",".492",".815",".338","0.0","-0.1","0.1","12546"
"Javier Baez","Cubs","2","7","6","2","0","0","0","1","1","0","2","0","0","0",".274",".314",".512",".826",".338","0.0","0.0","0.0","12979"
"Corey Seager","Dodgers","15","65","58","16","4","0","2","9","9","6","12","1","0","0",".274",".343",".460",".803",".338","0.1","0.1","0.4","13624"
"Starling Marte","Pirates","17","70","64","18","4","1","2","10","9","3","12","2","3","1",".287",".336",".468",".804",".338","-0.2","0.2","0.3","9241"
"Miguel Cabrera","Tigers","16","68","60","17","3","0","2","7","8","7","14","0","0","0",".282",".357",".442",".799",".337","0.0","-0.4","0.1","1744"
"Yasiel Puig","Indians","16","67","60","16","3","0","3","9","10","6","14","1","2","1",".266",".331",".476",".807",".337","0.2","-0.1","0.2","14225"
"Austin Meadows","Rays","14","60","55","15","3","1","3","8","8","4","13","1","1","1",".268",".328",".487",".814",".337","-0.2","0.1","0.2","15672"
"Eloy Jimenez","White Sox","17","73","67","18","3","0","4","9","10","4","17","1","0","0",".272",".320",".493",".813",".337","-0.4","0.0","0.2","17484"
"Trey Mancini","Orioles","17","71","64","17","3","0","3","9","9","6","16","1","0","0",".267",".330",".476",".806",".337","-0.6","0.0","0.2","15149"
"Justin Smoak","Blue Jays","15","65","55","13","3","0","3","8","9","9","16","0","0","0",".233",".343",".450",".793",".336","0.0","-0.2","0.2","9054"
"Daniel Vogelbach","Mariners","16","69","58","14","2","0","3","9","9","10","16","0","0","0",".234",".350",".438",".788",".336","0.0","-0.1","0.2","14130"
"Ozzie Albies","Braves","16","68","62","17","4","1","2","10","8","5","11","0","2","0",".279",".333",".470",".804",".336","0.6","0.3","0.4","16556"
"Yonder Alonso","Rockies","5","22","19","5","1","0","1","3","3","2","5","0","0","0",".259",".342",".452",".794",".335","0.0","-0.1","0.0","2530"
"Aaron Hicks","Yankees","4","18","16","4","1","0","1","3","2","2","4","0","0","0",".244",".343",".445",".788",".335","0.0","0.0","0.1","5297"
"Brandon Belt","Giants","15","64","54","13","3","0","2","8","7","9","14","1","1","0",".248",".353",".431",".784",".334","0.4","0.0","0.2","10264"
"DJ LeMahieu","Yankees","15","65","58","17","3","0","2","9","7","5","9","0","1","0",".289",".346",".437",".783",".334","0.5","-0.1","0.3","9874"
"Bryan Reynolds","Pirates","16","68","62","17","4","0","2","9","8","5","16","1","1","0",".281",".344",".443",".787",".334","-0.2","0.0","0.2","19326"
"Eduardo Escobar","Diamondbacks","16","68","61","16","4","1","3","9","10","5","13","0","0","0",".264",".321",".485",".806",".333","0.1","0.0","0.3","6153"
"Corey Dickerson","Phillies","10","42","39","11","3","0","2","5","6","2","9","0","0","0",".277",".318",".493",".811",".333","0.0","-0.1","0.1","10762"
"Matt Joyce","Braves","10","41","35","9","2","0","1","5","5","6","9","0","0","0",".245",".349",".428",".777",".333","-0.2","0.0","0.1","3353"
"Marcus Semien","Athletics","17","71","63","17","4","0","2","10","8","7","12","0","1","1",".263",".336",".450",".786",".332","-0.1","0.1","0.4","12533"
"Khris Davis","Athletics","16","69","62","15","3","0","4","9","11","6","19","1","0","0",".240",".317",".484",".801",".332","0.0","-0.2","0.1","9112"
"Mitch Garver","Twins","7","30","27","7","1","0","1","4","4","3","7","0","0","0",".250",".328",".463",".790",".332","-0.2","0.0","0.1","15161"
"Jorge Polanco","Twins","18","74","67","19","4","1","2","10","9","6","12","0","1","1",".280",".341",".444",".784",".332","-0.7","0.0","0.3","13152"
"Jose Martinez","Cardinals","9","36","33","9","2","0","1","4","5","3","7","0","0","0",".281",".346",".431",".777",".332","-0.2","0.0","0.1","7996"
"Mitch Haniger","Mariners","1","3","3","1","0","0","0","0","0","0","1","0","0","0",".250",".333",".452",".785",".331","0.0","0.0","0.0","14274"
"Willie Calhoun","Rangers","11","46","42","11","2","0","2","6","6","3","7","0","0","0",".270",".322",".472",".795",".331","-0.3","0.0","0.1","17838"
"Keston Hiura","Brewers","11","48","43","12","3","0","2","6","6","3","13","1","1","1",".268",".326",".464",".790",".331","-0.4","-0.1","0.1","20003"
"Ryan Zimmerman","Nationals","13","54","49","13","3","0","2","7","8","4","11","0","0","0",".260",".324",".466",".790",".331","-0.2","0.0","0.1","4220"
"Ryan McMahon","Rockies","15","61","55","15","3","0","2","7","8","6","17","0","1","0",".265",".333",".452",".785",".331","-0.1","0.0","0.1","15112"
"Brian Dozier","Nationals","10","41","36","9","2","0","2","5","5","5","9","0","1","0",".244",".333",".449",".782",".330","-0.1","0.1","0.1","9810"
"Eddie Rosario","Twins","17","73","69","19","4","0","3","10","11","3","13","0","1","0",".280",".312",".487",".798",".330","0.2","0.2","0.3","12155"
"David Freese","Dodgers","3","14","12","3","1","0","1","2","2","1","4","0","0","0",".257",".340",".436",".776",".330","0.0","0.0","0.0","9549"
"Yoan Moncada","White Sox","17","71","63","16","3","0","3","9","8","7","21","0","2","1",".256",".332",".449",".782",".330","0.0","0.2","0.4","17232"
"Derek Dietrich","Reds","4","16","14","3","1","0","1","2","2","1","4","1","0","0",".239",".332",".447",".780",".330","-0.1","0.0","0.0","10542"
"Evan Gattis","","17","70","63","16","3","0","4","9","11","5","16","1","0","0",".249",".309",".486",".795",".329","0.0","-0.3","0.1","11003"
"Stephen Piscotty","Athletics","9","36","32","8","2","0","1","4","5","3","8","0","0","0",".259",".330",".448",".777",".329","0.0","-0.1","0.1","13367"
"Nomar Mazara","Rangers","11","46","42","11","2","0","2","6","7","3","10","0","0","0",".266",".325",".459",".785",".328","-0.1","0.0","0.1","14553"
"Asdrubal Cabrera","Nationals","10","41","37","10","2","0","1","5","5","3","8","0","0","0",".267",".333",".444",".776",".328","-0.2","-0.1","0.1","4962"
"Nathaniel Lowe","Rays","3","11","10","3","0","0","0","1","1","1","3","0","0","0",".260",".336",".437",".774",".327","0.0","0.0","0.0","19566"
"Mitch Moreland","Red Sox","13","56","50","12","3","0","2","7","8","5","13","0","0","0",".247",".325",".455",".780",".327","0.2","-0.1","0.1","3086"
"Whit Merrifield","Royals","17","72","65","19","4","1","2","9","7","5","12","1","3","1",".287",".338",".436",".774",".327","0.0","0.3","0.2","11281"
"Mike Ford","Yankees","1","4","3","1","0","0","0","0","0","0","1","0","0","0",".244",".326",".452",".779",".327","0.0","0.0","0.0","15585"
"Justin Upton","Angels","15","64","56","13","3","0","3","8","9","7","19","1","1","0",".237",".324",".452",".776",".327","-0.3","0.1","0.2","5222"
"Alex Dickerson","Giants","10","42","38","10","2","0","1","5","5","3","8","1","0","0",".269",".332",".447",".779",".326","-0.2","0.0","0.1","12649"
"Logan Morrison","Phillies","3","14","12","3","1","0","1","2","2","1","3","0","0","0",".230",".316",".463",".779",".326","0.0","0.0","0.0","9205"
"Ji-Man Choi","Rays","12","50","43","11","2","0","2","6","6","6","12","1","0","0",".246",".343",".421",".764",".326","-0.1","0.0","0.1","5452"
"Nick Markakis","Braves","5","23","20","6","1","0","0","3","3","2","3","0","0","0",".279",".352",".413",".765",".326","-0.2","0.0","0.0","5930"
"Christian Walker","Diamondbacks","15","61","55","14","3","0","3","8","8","5","17","1","1","0",".250",".322",".456",".778",".326","0.1","0.1","0.1","13419"
"Kyle Tucker","Astros","7","30","27","7","1","0","1","4","4","2","7","0","1","0",".254",".317",".463",".780",".326","0.1","0.0","0.1","18345"
"Jay Bruce","Phillies","10","43","39","9","2","0","2","5","7","4","10","0","0","0",".236",".302",".486",".789",".325","-0.2","-0.1","0.1","9892"
"Hunter Pence","Rangers","8","33","30","8","1","0","1","4","5","2","7","0","0","0",".269",".323",".449",".773",".325","0.0","0.0","0.0","8252"
"Brandon Nimmo","Mets","14","58","48","11","2","0","1","7","5","8","15","1","1","0",".232",".357",".389",".746",".325","-0.4","0.1","0.2","12927"
"Marwin Gonzalez","Twins","12","49","44","12","2","0","2","6","6","4","10","1","0","0",".267",".330",".440",".770",".325","0.2","0.0","0.2","5497"
"Jake Lamb","Diamondbacks","12","50","42","10","2","0","2","6","7","6","13","1","0","0",".233",".336",".431",".766",".325","0.0","0.1","0.1","13329"
"Kolten Wong","Cardinals","17","71","62","17","3","1","2","8","8","6","11","2","2","1",".268",".349",".411",".761",".325","0.4","0.3","0.3","12532"
"Eric Hosmer","Padres","19","78","71","19","3","0","3","9","10","7","16","0","0","0",".270",".333",".439",".772",".324","0.0","-0.2","0.1","3516"
"Ian Desmond","Rockies","9","36","32","8","2","0","1","5","5","3","9","0","1","0",".262",".323",".448",".771",".324","-0.2","0.1","0.0","6885"
"Hunter Dozier","Royals","16","67","60","15","3","1","2","8","8","6","18","0","0","0",".254",".321",".451",".772",".324","-0.5","-0.1","0.2","15117"
"Paul DeJong","Cardinals","18","76","69","17","4","0","3","10","10","6","18","1","1","0",".250",".318",".454",".772",".324","0.5","0.0","0.4","18015"
"Alex Verdugo","Dodgers","8","35","32","9","2","0","1","4","4","3","5","0","0","0",".280",".334",".431",".766",".324","0.1","0.0","0.1","17027"
"Jonathan Schoop","Twins","9","36","34","9","2","0","2","5","5","2","9","1","0","0",".262",".305",".474",".779",".324","-0.1","0.0","0.1","11265"
"Wilson Ramos","Mets","12","49","45","12","2","0","2","5","7","4","8","0","0","0",".276",".331",".440",".770",".324","-0.1","-0.3","0.2","1433"
"Ramon Laureano","Athletics","14","59","53","14","3","0","2","8","7","4","16","1","2","1",".258",".321",".446",".767",".324","0.2","0.2","0.3","17128"
"A.J. Pollock","Dodgers","14","60","54","14","3","0","2","8","8","4","12","1","1","0",".257",".319",".453",".772",".324","0.0","0.2","0.2","9256"
"Buster Posey","Giants","12","52","46","13","3","0","1","6","5","5","7","0","0","0",".278",".350",".406",".756",".324","0.5","-0.2","0.3","9166"
"Domingo Santana","Mariners","9","37","32","8","1","0","1","4","4","4","12","0","0","0",".242",".329",".432",".761",".323","-0.2","0.0","0.1","10348"
"J.D. Davis","Mets","15","62","56","14","3","0","2","7","8","5","15","0","0","0",".261",".324",".443",".767",".323","-0.3","0.0","0.1","16219"
"Kurt Suzuki","Nationals","10","40","37","10","2","0","2","5","6","2","5","1","0","0",".264",".323",".442",".764",".323","-0.3","-0.1","0.1","8259"
"Didi Gregorius","Yankees","15","65","60","16","3","0","3","8","10","4","9","1","1","0",".266",".312",".459",".772",".322","0.1","0.1","0.3","6012"
"Lorenzo Cain","Brewers","17","71","64","18","3","0","1","9","6","6","12","1","2","1",".276",".347",".401",".748",".322","0.8","0.2","0.3","9077"
"Randal Grichuk","Blue Jays","15","62","57","14","3","0","3","8","9","4","17","1","0","0",".241",".295",".485",".780",".322","0.2","0.0","0.2","10243"
"Dexter Fowler","Cardinals","17","70","60","14","3","0","2","9","8","8","16","1","1","0",".242",".342",".405",".747",".322","-0.5","0.1","0.2","4062"
"Justin Bour","Angels","4","16","14","3","1","0","1","2","2","2","4","0","0","0",".234",".323",".445",".768",".322","0.0","-0.1","0.0","9744"
"Brock Holt","Red Sox","10","44","39","11","2","0","1","5","5","4","9","1","1","0",".272",".352",".392",".744",".322","-0.1","-0.1","0.1","9345"
"Willians Astudillo","Twins","3","14","13","4","1","0","0","2","2","0","1","0","0","0",".289",".317",".450",".767",".322","0.0","0.0","0.0","15608"
"Robinson Cano","Mets","10","41","38","10","2","0","1","5","5","3","6","0","0","0",".270",".324",".444",".769",".322","-0.1","-0.1","0.1","3269"
"Jean Segura","Phillies","17","70","65","19","4","0","2","9","7","4","9","1","2","1",".288",".331",".428",".759",".322","-0.4","0.1","0.2","5933"
"Kyle Seager","Mariners","15","65","58","14","3","0","3","7","9","5","13","1","0","0",".246",".315",".451",".767",".321","0.3","-0.1","0.3","9785"
"Tommy La Stella","Angels","6","24","21","6","1","0","1","3","3","2","3","0","0","0",".271",".333",".417",".750",".320","-0.1","0.0","0.1","12371"
"Jason Heyward","Cubs","17","70","62","16","3","0","2","9","8","7","11","1","1","0",".260",".338",".413",".751",".320","0.5","0.2","0.2","4940"
"Matt Adams","Nationals","11","47","43","10","2","0","3","6","8","3","13","0","0","0",".243",".300",".476",".775",".320","0.2","0.0","0.1","9393"
"Enrique Hernandez","Dodgers","9","36","32","8","2","0","1","5","5","3","7","0","0","0",".246",".322",".442",".764",".320","0.0","0.1","0.1","10472"
"Tyler O'Neill","Cardinals","8","33","30","7","1","0","2","4","5","2","11","0","0","0",".246",".305",".462",".766",".320","0.0","0.1","0.1","15711"
"Wil Myers","Padres","9","37","33","8","2","0","2","5","5","4","11","0","1","0",".240",".320",".436",".756",".320","0.0","0.1","0.1","10047"
"Luis Arraez","Twins","16","67","60","18","3","0","1","8","6","5","7","0","1","0",".298",".352",".390",".741",".320","-0.1","0.0","0.2","18568"
"Ian Happ","Cubs","9","37","32","7","1","0","1","5","4","5","12","0","1","0",".232",".329",".427",".756",".320","-0.1","0.0","0.1","17919"
"Travis Shaw","Brewers","7","29","25","6","1","0","1","3","4","3","7","0","0","0",".232",".326",".432",".758",".320","0.1","0.0","0.1","11982"
"Jose Bautista","","17","70","58","13","3","0","3","9","8","10","19","1","1","0",".218",".336",".405",".742",".320","0.0","-0.3","0.0","1887"
"Victor Caratini","Cubs","4","17","15","4","1","0","0","2","2","2","4","0","0","0",".263",".335",".412",".747",".320","-0.1","0.0","0.1","14968"
"Jesus Aguilar","Rays","9","39","34","8","2","0","2","5","6","4","10","0","0","0",".243",".323",".432",".755",".320","0.0","-0.1","0.1","11342"
"Carson Kelly","Diamondbacks","10","43","38","9","2","0","1","5","5","5","8","0","0","0",".248",".338",".423",".761",".320","0.1","0.0","0.2","13620"
"Brett Gardner","Yankees","14","57","50","12","2","1","2","8","6","6","11","1","1","0",".246",".330",".418",".748",".319","0.3","0.3","0.2","9927"
"Clint Frazier","Yankees","6","25","22","6","1","0","1","3","3","2","7","0","0","0",".247",".313",".448",".761",".319","-0.2","0.0","0.0","15983"
"Nick Solak","Rangers","13","54","48","12","2","0","2","7","6","5","12","1","1","0",".259",".335",".409",".744",".319","-0.2","0.0","0.1","19294"
"Bo Bichette","Blue Jays","16","66","61","16","4","0","2","9","7","4","14","0","2","1",".266",".314",".445",".760",".319","-0.1","0.0","0.3","19612"
"Omar Narvaez","Mariners","11","47","41","11","2","0","1","5","5","5","9","0","0","0",".260",".340",".401",".741",".319","-0.5","-0.1","0.1","13338"
"Adam Frazier","Pirates","14","60","54","15","3","1","1","7","6","4","8","1","1","1",".276",".338",".411",".749",".319","0.0","0.0","0.2","15223"
"Nick Senzel","Reds","15","64","58","15","3","1","2","8","7","5","16","0","2","1",".260",".322",".431",".754",".319","0.1","0.0","0.2","19293"
"Jonathan Villar","Orioles","18","77","69","18","3","0","2","10","8","7","20","0","4","1",".261",".328",".419",".747",".319","-0.7","0.4","0.2","10071"
"Jackie Bradley Jr.","Red Sox","16","68","60","14","3","0","2","9","8","7","17","1","1","0",".239",".326",".425",".751",".318","0.4","0.2","0.3","12984"
"Hunter Renfroe","Padres","15","65","59","14","3","0","4","8","10","4","18","0","0","0",".238",".294",".477",".771",".318","0.5","0.0","0.1","15464"
"Jordan Luplow","Indians","8","32","28","7","2","0","1","4","4","3","7","0","0","0",".247",".324",".425",".749",".318","0.2","0.0","0.1","16424"
"Rangel Ravelo","Cardinals","0","2","2","1","0","0","0","0","0","0","0","0","0","0",".266",".329",".417",".746",".318","0.0","0.0","0.0","10839"
"Avisail Garcia","Rays","10","43","40","11","2","0","2","5","6","3","11","1","1","0",".264",".317",".440",".756",".318","0.0","0.0","0.1","5760"
"Kevin Cron","Diamondbacks","1","6","5","1","0","0","0","1","1","0","2","0","0","0",".241",".301",".463",".764",".317","0.0","0.0","0.0","16211"
"Raimel Tapia","Rockies","13","56","53","15","3","1","1","7","6","3","11","0","1","1",".285",".323",".429",".752",".317","-0.3","0.1","0.0","14350"
