"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Aroldis Chapman","Yankees","2","1","4","9","2.57","0","30","30.0","20","8","2","45","13","1.09","13.75","3.90","2.66","1.0","10233"
"Will Smith","Giants","2","1","15","2","2.78","0","29","29.0","22","9","3","40","9","1.08","12.32","2.84","2.70","0.8","8048"
"Edwin Diaz","Mets","2","1","15","2","2.72","0","29","29.0","20","9","3","44","9","1.01","13.82","2.84","2.70","0.9","14710"
"Felipe Vazquez","Pirates","2","1","15","1","2.81","0","29","29.0","23","9","2","39","10","1.12","11.84","3.01","2.79","0.9","12076"
"Max Scherzer","Nationals","8","3","0","0","2.85","15","15","96.0","73","30","11","129","22","0.99","12.08","2.10","2.81","3.0","3137"
"Josh Hader","Brewers","2","1","13","2","2.77","0","28","28.0","18","9","4","49","12","1.04","15.57","3.79","2.83","0.9","14212"
"Ken Giles","Blue Jays","1","1","14","1","3.18","0","26","26.0","22","9","3","35","8","1.12","11.93","2.65","2.85","0.8","12910"
"Kirby Yates","Padres","2","1","15","2","2.91","0","29","29.0","22","9","3","41","9","1.08","12.86","2.88","2.91","0.8","9073"
"Chris Sale","Red Sox","7","3","0","0","2.98","14","14","89.0","71","30","10","117","19","1.01","11.84","1.92","2.91","2.7","10603"
"Jacob deGrom","Mets","6","3","0","0","2.96","14","14","87.0","72","29","9","107","21","1.06","10.98","2.14","2.93","2.7","10954"
"Liam Hendriks","Athletics","2","1","2","7","3.13","0","30","30.0","25","11","3","37","10","1.15","10.91","2.99","3.03","0.9","3548"
"Dellin Betances","Yankees","1","1","0","2","3.00","0","16","16.0","11","5","2","24","7","1.13","13.46","4.08","3.03","0.2","6216"
"Ryan Pressly","Astros","2","1","2","6","3.11","0","31","31.0","26","11","3","38","9","1.11","11.08","2.58","3.08","0.8","7005"
"Matt Barnes","Red Sox","2","1","14","0","3.24","0","29","29.0","22","10","3","41","13","1.23","12.92","4.16","3.11","0.7","12863"
"Gerrit Cole","Astros","7","3","0","0","3.23","14","14","88.0","71","31","10","113","25","1.09","11.59","2.54","3.12","2.5","13125"
"Giovanny Gallegos","Cardinals","1","1","0","7","3.17","0","27","27.0","23","10","3","35","7","1.10","11.62","2.46","3.12","0.4","14986"
"Brad Hand","Indians","2","1","15","2","3.06","0","32","32.0","25","11","4","43","11","1.11","12.02","3.03","3.15","0.9","9111"
"Chad Green","Yankees","2","1","0","6","3.14","0","25","25.0","20","9","3","32","6","1.06","11.61","2.24","3.19","0.4","15552"
"Roberto Osuna","Astros","2","1","15","1","3.21","0","29","29.0","25","10","3","32","6","1.07","9.92","1.85","3.20","0.8","13764"
