"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Kyle Dohy","Phillies","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.20","0.0","sa3004861"
"Eric Hanhold","Mets","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.20","0.0","18332"
"Mike Dunn","","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.20","0.0","9948"
"Ricardo Sanchez","Mariners","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.20","0.0","sa830302"
"Josh Taylor","Red Sox","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.20","0.0","17359"
"Paul Sewald","Mets","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.20","0.0","13892"
"Craig Kimbrel","Cubs","2","1","3","9","3.17","0","27","27.0","18","9","3","40","12","1.15","13.65","4.21","3.21","0.5","6655"
"Taylor Rogers","Twins","2","1","12","2","3.24","0","29","29.0","26","11","3","33","8","1.15","10.06","2.48","3.26","0.7","13449"
"Andrew Miller","Cardinals","2","1","2","7","3.21","0","30","30.0","23","11","3","40","11","1.15","12.20","3.31","3.28","0.6","6785"
"Colin Poche","Rays","1","1","0","2","3.09","0","22","22.0","16","8","3","32","8","1.12","12.99","3.41","3.28","0.2","19403"
"David Robertson","Phillies","1","1","1","0","3.31","0","11","11.0","9","4","1","15","5","1.18","12.07","3.68","3.30","0.1","8241"
"Walker Buehler","Dodgers","5","3","0","0","3.27","13","13","74.0","64","27","9","85","19","1.12","10.32","2.33","3.30","1.8","19374"
"Keone Kela","Pirates","1","1","0","4","3.43","0","20","20.0","17","8","2","25","8","1.19","11.19","3.37","3.34","0.2","14696"
"Austin Adams","Mariners","1","1","0","5","3.17","0","19","19.0","13","7","2","28","11","1.28","13.18","5.36","3.34","0.2","13801"
"Blake Snell","Rays","6","4","0","0","3.21","13","13","77.0","62","28","8","95","29","1.18","11.10","3.39","3.34","1.9","13543"
"Stephen Strasburg","Nationals","6","4","0","0","3.48","14","14","84.0","75","33","10","97","23","1.15","10.37","2.40","3.37","2.0","10131"
"Clayton Kershaw","Dodgers","6","3","0","0","3.26","13","13","85.0","77","31","10","84","15","1.09","8.95","1.61","3.37","2.1","2036"
"Jose Alvarado","Rays","1","1","8","1","3.22","0","15","15.0","12","5","1","19","8","1.31","11.24","4.73","3.38","0.3","17780"
"Nick Anderson","Marlins","2","1","2","6","3.33","0","30","30.0","24","11","4","39","11","1.16","11.78","3.33","3.38","0.6","18337"
"Charlie Morton","Rays","5","3","0","0","3.31","13","13","73.0","62","27","7","86","26","1.20","10.52","3.18","3.40","1.7","4676"
"Kenley Jansen","Dodgers","2","1","14","3","3.28","0","28","28.0","23","10","4","35","7","1.04","11.35","2.08","3.41","0.6","3096"
"Corey Kluber","Indians","3","1","0","0","3.47","5","5","32.0","29","12","4","34","7","1.12","9.46","2.00","3.42","0.8","2429"
"Sean Doolittle","Nationals","2","1","15","2","3.26","0","29","29.0","24","11","4","35","7","1.07","10.79","2.29","3.42","0.7","1581"
"Blake Treinen","Athletics","2","1","14","0","3.30","0","28","28.0","24","10","2","30","12","1.26","9.56","3.71","3.43","0.7","12572"
"Andrew Chafin","Diamondbacks","1","1","0","5","3.37","0","24","24.0","21","9","2","27","10","1.28","10.07","3.80","3.44","0.3","12988"
"Jose Leclerc","Rangers","2","1","15","0","3.38","0","29","29.0","21","11","3","41","16","1.29","12.76","5.12","3.45","0.8","14524"
"Noah Syndergaard","Mets","5","4","0","0","3.66","14","14","83.0","79","34","9","84","22","1.22","9.16","2.39","3.46","1.9","11762"
"Reyes Moronta","Giants","2","2","1","8","3.38","0","29","29.0","22","11","3","38","16","1.29","11.71","4.80","3.46","0.4","14966"
"Danny Salazar","Indians","1","1","0","0","3.42","1","10","13.0","11","5","2","17","5","1.15","11.49","3.04","3.47","0.1","5867"
"Ray Black","Giants","1","1","0","3","3.64","0","18","18.0","13","7","2","27","11","1.30","13.69","5.33","3.47","0.0","14244"
"Patrick Corbin","Nationals","6","4","0","0","3.60","14","14","83.0","77","33","10","92","24","1.22","10.02","2.66","3.48","1.9","9323"
"Will Harris","Astros","2","1","0","6","3.59","0","27","27.0","25","11","3","26","7","1.20","8.85","2.46","3.48","0.3","3192"
"Luke Jackson","Braves","1","1","14","2","3.52","0","26","26.0","23","10","2","31","12","1.32","10.54","4.04","3.48","0.4","11752"
"Joakim Soria","Athletics","2","1","0","6","3.53","0","26","26.0","23","10","3","28","8","1.21","9.86","2.89","3.48","0.4","6941"
"Carlos Carrasco","Indians","1","0","0","0","3.60","1","1","9.0","8","4","1","10","2","1.13","10.16","1.95","3.48","0.2","6632"
"Shane Bieber","Indians","5","3","0","0","3.67","13","13","75.0","72","30","10","76","14","1.16","9.24","1.69","3.49","1.9","19427"
"Mark Melancon","Giants","1","1","0","6","3.45","0","24","24.0","23","9","2","20","7","1.28","7.71","2.82","3.52","0.2","4264"
"Aaron Loup","Padres","0","0","0","0","3.43","0","2","2.0","2","1","0","2","1","1.30","9.82","3.50","3.52","0.0","10343"
"Oliver Drake","Rays","1","1","0","4","3.57","0","24","24.0","21","10","3","28","10","1.26","10.50","3.56","3.53","0.1","8823"
"Seranthony Dominguez","Phillies","0","0","0","0","3.48","0","2","2.0","2","1","0","3","1","1.26","11.30","4.06","3.54","0.0","19249"
"Joe Kelly","Dodgers","1","1","0","5","3.53","0","24","24.0","20","9","2","26","10","1.28","10.00","3.76","3.55","0.2","9761"
"Justin Verlander","Astros","7","4","0","0","3.46","14","14","91.0","74","35","14","112","22","1.06","11.06","2.15","3.55","2.2","8700"
"Archie Bradley","Diamondbacks","2","1","1","5","3.65","0","26","26.0","23","11","3","30","11","1.28","10.30","3.60","3.55","0.3","12918"
"Justin Wilson","Mets","2","1","0","5","3.51","0","24","24.0","20","10","2","31","12","1.30","11.32","4.39","3.58","0.2","4301"
"Diego Castillo","Rays","2","1","1","9","3.47","0","28","28.0","24","11","3","33","10","1.22","10.45","3.31","3.58","0.4","17496"
"Hyun-Jin Ryu","Dodgers","5","3","0","0","3.45","13","13","73.0","71","28","9","70","14","1.16","8.68","1.67","3.58","1.4","14444"
"James Paxton","Yankees","5","3","0","0","3.64","13","13","77.0","68","31","10","88","23","1.18","10.39","2.71","3.58","2.0","11828"
"Sam Dyson","Giants","2","2","2","7","3.53","0","29","29.0","28","11","2","25","9","1.27","7.73","2.67","3.59","0.3","11710"
"Tommy Kahnle","Yankees","2","1","0","6","3.67","0","27","27.0","22","11","3","36","12","1.26","11.85","4.03","3.60","0.4","11384"
"A.J. Minter","Braves","2","1","2","8","3.58","0","26","26.0","22","10","3","32","12","1.29","10.80","3.96","3.61","0.3","18655"
"Jake Diekman","Royals","1","1","2","5","3.49","0","24","24.0","19","9","2","30","13","1.31","11.19","4.70","3.61","0.4","5003"
"Aaron Nola","Phillies","5","4","0","0","3.62","14","14","83.0","74","33","10","90","26","1.21","9.79","2.79","3.62","1.8","16149"
"Trevor Gott","Giants","1","1","0","5","3.65","0","23","23.0","22","10","2","23","9","1.31","8.88","3.48","3.63","0.2","15046"
"Ty Buttrey","Angels","2","1","2","6","3.59","0","28","28.0","25","11","3","32","12","1.28","10.05","3.69","3.64","0.5","14719"
"Jace Fry","White Sox","1","1","0","5","3.67","0","26","26.0","21","11","2","31","14","1.36","10.87","4.81","3.66","0.2","16159"
"Tyler Glasnow","Rays","2","1","0","0","3.70","4","4","24.0","20","10","3","29","11","1.28","10.93","3.92","3.67","0.5","14374"
"JT Chargois","Dodgers","1","0","0","0","3.57","0","9","9.0","7","3","1","10","4","1.32","10.31","4.18","3.67","0.0","13767"
"Jeremy Jeffress","Brewers","2","1","2","5","3.55","0","28","28.0","26","11","3","29","11","1.30","9.02","3.37","3.68","0.4","9490"
"Hector Noesi","Marlins","0","0","0","0","3.60","0","5","5.0","4","2","1","5","1","1.15","9.70","2.33","3.68","0.0","3292"
"Jeurys Familia","Mets","1","1","0","5","3.67","0","22","22.0","19","9","2","24","10","1.34","9.75","4.21","3.68","0.2","5114"
"Mike Soroka","Braves","4","3","0","0","3.71","11","11","62.0","62","25","6","53","16","1.27","7.68","2.39","3.69","1.2","18383"
"Luis Severino","Yankees","3","2","0","0","3.62","6","6","35.0","30","14","5","40","10","1.15","10.33","2.55","3.70","0.9","15890"
"Scott Oberg","Rockies","2","2","2","7","3.82","0","32","32.0","30","13","3","32","12","1.31","9.18","3.33","3.70","0.6","13911"
"Trevor Bauer","Indians","6","4","0","0","3.75","15","15","93.0","82","39","11","107","34","1.25","10.36","3.28","3.71","2.1","12703"
"Andrew Kittredge","Rays","1","1","0","0","3.74","0","22","22.0","20","9","3","22","7","1.25","9.21","2.80","3.71","0.1","12828"
"Chris Martin","Rangers","2","1","2","6","3.85","0","29","29.0","29","12","4","28","6","1.23","8.86","1.98","3.72","0.5","11847"
"Oliver Perez","Indians","1","1","0","4","3.51","0","21","21.0","18","8","3","24","6","1.17","10.37","2.66","3.73","0.2","1514"
"Hector Neris","Phillies","2","1","14","2","3.65","0","29","29.0","24","12","4","38","11","1.19","11.91","3.34","3.73","0.5","11804"
"Brandon Morrow","Cubs","0","0","0","0","3.71","0","4","4.0","4","2","1","5","2","1.25","9.53","3.06","3.75","0.0","9346"
"Zack Britton","Yankees","1","1","1","8","3.47","0","27","27.0","25","11","2","24","13","1.38","7.99","4.13","3.76","0.4","3240"
"Zack Wheeler","Mets","5","4","0","0","3.75","14","14","84.0","77","35","10","86","26","1.23","9.22","2.82","3.76","1.7","10310"
"Brandon Woodruff","Brewers","5","4","0","0","3.84","13","13","75.0","70","32","9","81","25","1.25","9.65","2.96","3.76","1.4","16162"
"Steven Okert","Giants","0","0","0","0","3.60","0","2","2.0","2","1","0","3","1","1.18","10.19","3.00","3.77","0.0","13580"
"David Hernandez","Reds","2","1","0","6","3.69","0","25","25.0","23","10","3","28","8","1.22","9.85","2.89","3.77","0.3","4259"
"David Price","Red Sox","5","3","0","0","3.82","13","13","74.0","70","31","10","75","20","1.22","9.17","2.41","3.77","1.5","3184"
"Ryne Stanek","Rays","2","2","0","6","3.73","2","28","39.0","32","16","5","47","17","1.26","10.96","3.86","3.78","0.4","15947"
"Joe Jimenez","Tigers","2","2","2","6","3.87","0","30","30.0","26","13","4","38","12","1.26","11.23","3.68","3.79","0.6","15761"
"Mike Clevinger","Indians","5","4","0","0","3.76","13","13","73.0","63","31","9","84","28","1.25","10.35","3.47","3.79","1.5","12808"
"Jose Castillo","Padres","0","0","0","0","3.61","0","7","7.0","6","3","1","9","3","1.26","11.17","4.01","3.79","0.0","17169"
"Jameson Taillon","Pirates","2","1","0","0","3.85","4","4","25.0","25","11","3","22","6","1.23","8.13","2.07","3.79","0.5","11674"
"Zack Greinke","Diamondbacks","6","5","0","0","3.74","14","14","89.0","85","37","12","84","19","1.17","8.47","1.90","3.79","1.6","1943"
"Richard Lovelady","Royals","1","1","0","0","3.74","0","13","13.0","13","5","1","12","5","1.32","8.04","3.31","3.80","0.0","19337"
"Carlos Martinez","Cardinals","3","2","1","11","3.66","4","31","49.0","45","20","5","49","19","1.31","8.95","3.48","3.80","0.6","11682"
"German Marquez","Rockies","5","4","0","0","3.98","14","14","84.0","82","37","11","88","22","1.25","9.49","2.41","3.80","1.8","15038"
"Tony Barnette","Cubs","0","0","0","0","3.87","0","4","4.0","4","2","0","4","1","1.28","8.72","2.93","3.80","0.0","3555"
"Chris Paddack","Padres","4","4","0","0","3.88","11","11","62.0","58","27","9","67","15","1.18","9.71","2.19","3.80","1.2","20099"
"Anthony Banda","Rays","0","0","0","0","3.61","0","2","2.0","2","1","0","2","1","1.23","10.24","3.30","3.81","0.0","14706"
"Ryan Madson","","1","1","0","0","3.84","0","20","20.0","19","9","2","21","6","1.23","9.25","2.75","3.81","0.2","1852"
"Tony Watson","Giants","2","1","0","6","3.61","0","27","27.0","26","11","3","25","7","1.20","8.25","2.22","3.81","0.2","3132"
"Scott Alexander","Dodgers","1","0","0","0","3.64","0","11","11.0","10","4","1","9","4","1.36","7.54","3.52","3.81","0.0","10591"
"Mychal Givens","Orioles","2","1","15","0","3.78","0","29","29.0","25","12","4","35","12","1.25","10.69","3.69","3.82","0.5","10430"
"Steve Cishek","Cubs","2","1","2","6","3.57","0","29","29.0","25","11","3","31","12","1.26","9.79","3.60","3.82","0.4","6483"
"Lou Trivino","Athletics","2","2","1","8","3.72","0","30","30.0","27","13","3","31","13","1.32","9.13","3.94","3.82","0.4","15043"
"Brad Brach","Cubs","2","1","0","6","3.77","0","24","24.0","21","10","2","26","12","1.35","9.55","4.37","3.84","0.2","6627"
"Dallas Keuchel","Braves","5","4","0","0","3.90","13","13","78.0","82","34","8","59","22","1.33","6.82","2.49","3.84","1.3","9434"
"Darren O'Day","Braves","0","0","0","0","3.86","0","2","2.0","2","1","0","3","1","1.24","10.43","3.17","3.84","0.0","3321"
"Caleb Ferguson","Dodgers","1","1","0","2","3.65","0","15","15.0","13","6","2","17","6","1.29","10.31","3.72","3.85","0.0","19349"
"Aaron Bummer","White Sox","1","1","0","6","3.69","0","28","28.0","26","12","3","28","12","1.35","8.97","3.91","3.85","0.3","16258"
"Raisel Iglesias","Reds","2","2","16","1","3.63","0","30","30.0","26","12","4","36","11","1.22","10.62","3.36","3.85","0.6","17130"
"Collin McHugh","Astros","1","1","0","3","3.79","0","22","22.0","20","9","3","24","6","1.20","9.54","2.57","3.85","0.1","7531"
"John Brebbia","Cardinals","1","1","0","5","3.76","0","23","23.0","20","10","3","26","7","1.20","10.43","2.94","3.85","0.2","12777"
"Sonny Gray","Reds","5","5","0","0","3.90","14","14","82.0","75","35","9","84","31","1.29","9.30","3.38","3.85","1.6","12768"
"Emilio Pagan","Rays","1","1","2","7","3.75","0","28","28.0","24","12","4","34","9","1.18","10.66","2.87","3.86","0.4","14771"
"Julio Urias","Dodgers","3","2","0","4","3.72","6","25","52.0","45","21","6","58","20","1.26","10.08","3.47","3.86","0.7","14765"
"Robbie Erlin","Padres","1","1","0","3","3.92","1","21","24.0","24","11","3","22","5","1.22","8.01","1.95","3.86","0.1","10354"
"Craig Stammen","Padres","2","2","2","6","3.97","0","29","29.0","29","13","4","27","8","1.25","8.49","2.35","3.87","0.3","7274"
"Zac Rosscup","Dodgers","1","1","0","3","3.86","0","19","19.0","16","8","3","25","9","1.32","11.52","4.35","3.87","0.0","9419"
"Nick Burdi","Pirates","0","0","0","0","3.59","0","2","2.0","2","1","0","3","1","1.34","10.98","4.25","3.88","0.0","16074"
"Adam Ottavino","Yankees","2","1","13","1","3.81","0","30","30.0","23","13","4","40","16","1.31","12.20","4.93","3.89","0.6","1247"
"Juan Nicasio","Phillies","1","1","0","3","3.94","0","18","18.0","17","8","2","19","6","1.30","9.52","3.10","3.89","0.0","7731"
"Grant Dayton","Braves","0","0","0","0","3.86","0","2","2.0","2","1","0","3","1","1.23","10.71","3.17","3.90","0.0","11203"
"Seth Lugo","Mets","1","1","2","6","3.88","0","29","29.0","27","12","4","30","8","1.22","9.48","2.50","3.90","0.3","12447"
"Rich Hill","Dodgers","1","1","0","0","3.74","4","4","20.0","17","8","3","23","6","1.16","10.33","2.78","3.91","0.3","4806"
"Tommy Hunter","Phillies","1","1","1","8","3.90","0","27","27.0","26","12","3","23","7","1.25","7.89","2.34","3.91","0.3","1157"
"Chris Devenski","Astros","2","1","0","7","3.87","0","29","29.0","25","12","4","32","9","1.18","10.04","2.65","3.91","0.3","12763"
"Amir Garrett","Reds","1","1","2","6","3.73","0","28","28.0","23","12","4","34","12","1.28","11.18","4.02","3.91","0.3","14375"
"Chaz Roe","Rays","1","1","0","7","3.91","0","28","28.0","25","12","3","32","13","1.32","10.02","4.04","3.92","0.2","9866"
"Joshua James","Astros","2","1","0","5","3.88","1","26","33.0","27","14","4","41","16","1.32","11.34","4.48","3.93","0.3","16794"
"Marcus Walden","Red Sox","2","1","0","6","4.05","0","27","27.0","26","12","3","24","10","1.35","8.11","3.31","3.94","0.2","8004"
"Adam Kolarek","Rays","1","1","0","5","3.72","0","24","24.0","24","10","2","20","9","1.36","7.38","3.31","3.94","0.1","10843"
"Jon Gray","Rockies","5","4","0","0","4.30","13","13","75.0","74","36","10","79","25","1.32","9.52","3.04","3.94","1.5","14916"
"Pedro Strop","Cubs","2","2","13","1","3.79","0","29","29.0","25","12","3","31","12","1.28","9.53","3.66","3.95","0.3","4070"
"Josh Sborz","Dodgers","0","0","0","0","3.89","0","4","4.0","4","2","0","5","2","1.32","9.43","3.72","3.95","0.0","18323"
"Nathan Eovaldi","Red Sox","2","2","0","8","4.08","2","24","35.0","36","16","5","33","9","1.28","8.44","2.29","3.95","0.3","9132"
"Robert Gsellman","Mets","1","1","0","8","3.86","0","29","29.0","28","12","3","27","10","1.32","8.30","3.13","3.95","0.3","13696"
"Luis Castillo","Reds","5","4","0","0","3.85","14","14","76.0","68","33","10","83","28","1.26","9.81","3.32","3.95","1.4","15689"
"Kevin Quackenbush","Dodgers","0","0","0","0","3.92","0","4","4.0","4","2","1","5","1","1.22","9.96","2.84","3.96","0.0","12360"
"Luis Avilan","Mets","1","1","0","3","3.87","0","18","18.0","16","8","2","18","8","1.35","9.28","3.82","3.96","0.1","2882"
"Xavier Cedeno","Cubs","0","0","0","0","3.84","0","2","2.0","2","1","0","2","1","1.40","8.30","4.09","3.97","0.0","36"
"Kyle Hendricks","Cubs","6","4","0","0","3.86","14","14","81.0","80","35","10","71","20","1.22","7.86","2.16","3.97","1.5","12049"
"Trevor May","Twins","2","1","1","6","3.94","0","27","27.0","24","12","3","30","12","1.33","10.10","3.85","3.97","0.3","6398"
"Brandon Workman","Red Sox","2","2","1","7","4.01","0","27","27.0","24","12","3","30","13","1.37","10.07","4.27","3.97","0.2","11428"
"J.B. Wendelken","Athletics","1","1","0","2","3.94","0","17","17.0","16","8","2","18","7","1.32","9.41","3.51","3.97","0.0","14506"
"Joey Lucchesi","Padres","5","5","0","0","4.01","13","13","75.0","73","33","10","75","24","1.30","9.07","2.91","3.98","1.2","19320"
"Jimmie Sherfy","Diamondbacks","1","1","0","0","3.89","0","15","15.0","13","7","2","18","7","1.35","10.39","4.36","3.98","0.0","15118"
"Trey Wingenter","Padres","1","1","0","6","3.95","0","27","27.0","22","12","3","34","15","1.37","11.63","4.95","3.98","0.1","17793"
"Ross Stripling","Dodgers","4","3","0","0","3.95","8","15","55.0","54","24","8","54","15","1.25","8.80","2.39","3.98","0.8","13273"
"Alex Claudio","Brewers","1","1","0","5","3.88","0","24","24.0","26","10","2","17","6","1.32","6.33","2.34","3.98","0.1","12890"
"Robbie Ray","Diamondbacks","4","4","0","0","4.00","13","13","73.0","62","33","10","94","36","1.34","11.55","4.37","3.98","1.2","11486"
"Madison Bumgarner","Giants","5","5","0","0","3.89","15","15","89.0","85","39","13","88","22","1.20","8.83","2.25","3.99","1.3","5524"
"Alex Colome","White Sox","2","2","16","1","3.94","0","30","30.0","29","13","4","30","10","1.30","8.78","3.07","3.99","0.4","6661"
"Hector Rondon","Astros","1","1","0","7","4.05","0","24","24.0","23","11","3","25","8","1.30","9.12","3.10","3.99","0.2","2391"
"Dillon Maples","Cubs","0","0","0","0","3.81","0","7","7.0","5","3","0","10","6","1.59","13.50","8.03","4.00","0.0","14672"
"Kenta Maeda","Dodgers","5","4","0","0","3.99","12","12","67.0","63","30","10","71","21","1.24","9.50","2.81","4.00","1.1","18498"
"Kevin Gausman","Braves","3","3","0","0","4.04","6","22","52.0","51","23","7","49","15","1.28","8.56","2.62","4.00","0.6","14107"
"Joel Payamps","Diamondbacks","0","0","0","0","4.03","0","2","2.0","2","1","0","2","1","1.21","8.69","2.16","4.00","0.0","sa597219"
"Brad Wieck","Padres","1","1","0","2","3.95","0","19","19.0","16","8","3","24","9","1.31","11.68","4.26","4.01","0.1","16390"
"Pablo Lopez","Marlins","3","3","0","0","3.90","10","10","59.0","59","26","7","51","16","1.26","7.68","2.41","4.01","0.9","17085"
"Tanner Scott","Orioles","1","1","0","0","4.01","0","16","16.0","13","7","2","20","10","1.47","11.35","5.75","4.01","0.0","17586"
"Brian Moran","Marlins","0","0","0","0","3.77","0","2","2.0","2","1","0","2","1","1.29","9.64","3.67","4.01","0.0","sa501495"
"Sean Newcomb","Braves","2","2","1","6","4.01","1","28","35.0","31","15","4","36","15","1.32","9.36","3.79","4.02","0.4","16943"
"Wander Suero","Nationals","2","1","1","8","4.03","0","27","27.0","26","12","3","28","10","1.31","9.21","3.25","4.02","0.2","15855"
"Miles Mikolas","Cardinals","5","5","0","0","4.00","14","14","84.0","88","37","11","66","16","1.25","7.05","1.77","4.02","1.3","9803"
"Michael Feliz","Pirates","1","1","0","5","4.17","0","23","23.0","20","10","3","26","10","1.37","10.57","4.14","4.02","0.1","11903"
"Tyler Duffey","Twins","1","1","0","5","4.16","0","23","23.0","22","10","3","23","6","1.26","8.99","2.50","4.02","0.2","13758"
"Frankie Montas","Athletics","0","0","0","0","4.00","1","1","4.0","4","2","0","4","1","1.32","8.18","2.98","4.03","0.1","14309"
"Pedro Baez","Dodgers","2","1","2","6","3.88","0","28","28.0","25","12","4","29","10","1.27","9.20","3.29","4.03","0.3","5420"
"Jose Quintana","Cubs","5","4","0","0","3.97","14","14","80.0","78","35","10","73","25","1.29","8.22","2.87","4.03","1.4","11423"
"Marcus Stroman","Blue Jays","5","5","0","0","4.20","13","13","79.0","83","37","8","62","25","1.37","7.05","2.87","4.03","1.4","13431"
"Ryne Harper","Twins","1","1","0","6","4.05","0","27","27.0","26","12","4","27","8","1.28","8.90","2.72","4.03","0.3","12680"
"Jack Flaherty","Cardinals","5","4","0","0","3.94","13","13","76.0","68","33","11","86","27","1.24","10.22","3.17","4.03","1.3","17479"
"Andrew Vasquez","Twins","0","0","0","0","3.90","0","2","2.0","2","1","0","3","1","1.40","10.11","4.63","4.03","0.0","19482"
"James Karinchak","Indians","0","0","0","0","3.91","0","9","9.0","7","4","1","12","5","1.35","11.59","4.91","4.04","0.0","sa915662"
"Joe Musgrove","Pirates","5","5","0","0","4.14","14","14","80.0","83","37","11","68","18","1.27","7.65","2.07","4.04","1.3","12970"
"Dylan Floro","Dodgers","2","1","1","7","3.95","0","26","26.0","27","11","3","21","7","1.29","7.28","2.42","4.04","0.2","13394"
"Max Fried","Braves","4","4","0","0","3.96","11","11","60.0","57","27","7","61","26","1.38","9.06","3.90","4.04","0.9","13743"
"Colten Brewer","Red Sox","1","1","0","2","4.19","0","18","18.0","17","8","2","18","8","1.42","8.92","4.12","4.04","0.1","12997"
"Heath Hembree","Red Sox","1","1","0","4","4.08","0","22","22.0","20","10","3","26","8","1.29","10.45","3.40","4.04","0.1","11632"
"Chris Archer","Pirates","4","5","0","0","4.25","14","14","80.0","78","38","11","87","30","1.34","9.79","3.31","4.04","1.3","6345"
"Anthony Swarzak","Braves","1","1","1","3","4.05","0","20","20.0","18","9","3","22","7","1.30","10.17","3.30","4.06","0.0","7466"
"Cam Bedrosian","Angels","2","2","1","7","3.94","0","26","26.0","25","12","3","27","11","1.34","9.18","3.62","4.06","0.3","13360"
"Donnie Hart","Brewers","0","0","0","0","4.10","0","2","2.0","2","1","0","2","1","1.40","7.19","3.20","4.06","0.0","15306"
"Cole Hamels","Cubs","4","3","0","0","3.86","11","11","64.0","58","27","8","61","22","1.27","8.66","3.17","4.06","1.1","4972"
"Eduardo Rodriguez","Red Sox","5","4","0","0","4.19","13","13","73.0","70","34","10","77","25","1.29","9.43","3.01","4.07","1.2","13164"
"Dan Winkler","Braves","0","0","0","0","4.06","0","9","9.0","8","4","1","10","4","1.34","9.81","3.71","4.07","0.0","12237"
"Austin Pruitt","Rays","0","0","0","0","4.15","0","9","9.0","9","4","1","7","2","1.28","7.55","2.19","4.07","0.0","15290"
"Carl Edwards Jr.","Cubs","1","1","0","4","4.05","0","20","20.0","16","9","2","26","12","1.38","11.63","5.47","4.09","0.1","13607"
"Robert Stock","Padres","1","1","0","4","4.10","0","22","22.0","21","10","2","24","11","1.42","9.63","4.43","4.09","0.1","6576"
"Brandon Kintzler","Cubs","1","1","0","3","4.00","0","18","18.0","18","8","2","14","5","1.33","7.26","2.77","4.09","0.0","9939"
"Nick Vincent","Giants","1","1","0","0","4.12","0","11","11.0","11","5","2","10","3","1.26","8.30","2.49","4.09","0.0","7555"
"Lance Lynn","Rangers","5","5","0","0","4.05","14","14","80.0","78","36","10","77","29","1.35","8.77","3.31","4.10","1.6","2520"
"Brendan McKay","Rays","3","2","0","0","3.95","8","8","44.0","41","19","7","46","14","1.23","9.25","2.78","4.10","0.8","20186"
"Luis Perdomo","Padres","1","2","1","7","4.23","0","27","27.0","29","13","3","23","9","1.40","7.64","2.93","4.10","0.1","14682"
"Brad Peacock","Astros","4","3","0","0","4.11","11","13","65.0","59","30","10","73","23","1.27","10.15","3.26","4.10","1.1","5401"
