"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","46","193","152","46","9","1","13","35","32","36","39","3","5","1",".301",".441",".629","1.070",".432","0.3","1.0","2.7","10155"
"Christian Yelich","Brewers","44","185","159","49","10","1","10","31","29","22","38","2","6","1",".309",".397",".578",".975",".399","0.7","1.0","1.7","11477"
"J.D. Martinez","Red Sox","43","179","158","47","10","1","11","27","32","18","42","1","1","0",".299",".373",".572",".945",".387","0.0","-0.5","1.0","6184"
"Juan Soto","Nationals","45","189","158","46","8","1","9","28","30","28","37","1","3","1",".290",".396",".533",".929",".386","-1.5","0.1","1.2","20123"
"Cody Bellinger","Dodgers","43","179","154","44","8","1","11","28","31","23","37","1","3","1",".285",".378",".573",".951",".386","1.5","0.4","1.5","15998"
"Freddie Freeman","Braves","45","191","164","49","11","1","9","29","30","23","37","2","2","1",".299",".391",".543",".934",".386","0.7","0.1","1.3","5361"
"Giancarlo Stanton","Yankees","15","62","54","14","3","0","5","10","12","7","19","1","0","0",".265",".353",".580",".933",".380","0.3","0.0","0.4","4949"
"Nelson Cruz","Twins","43","180","158","44","8","0","12","26","34","18","42","4","0","0",".279",".363",".559",".922",".380","0.0","-0.7","0.9","2434"
"Mookie Betts","Red Sox","44","183","157","46","11","1","7","32","24","23","26","1","6","1",".295",".386",".522",".908",".378","3.8","1.3","1.7","13611"
"Nolan Arenado","Rockies","47","199","177","52","11","1","11","30","35","19","32","1","1","1",".295",".364",".561",".924",".377","2.3","-0.1","1.4","9777"
"Anthony Rizzo","Cubs","47","199","168","48","10","1","9","28","31","23","29","6","2","1",".283",".387",".515",".901",".376","1.5","-0.5","1.2","3473"
"Alex Bregman","Astros","45","189","159","44","10","1","9","29","27","26","26","2","2","1",".277",".382",".514",".895",".375","-0.4","0.1","1.6","17678"
"Bryce Harper","Phillies","47","197","160","41","9","0","11","30","30","34","50","1","3","1",".257",".389",".518",".907",".375","0.1","0.1","1.2","11579"
"Anthony Rendon","Nationals","45","191","166","49","12","1","8","28","30","21","28","3","1","1",".294",".378",".522",".901",".374","1.6","0.3","1.6","12861"
"Kris Bryant","Cubs","43","180","154","43","10","1","8","28","24","21","40","4","1","1",".279",".379",".514",".893",".374","0.4","0.5","1.4","15429"
"Aaron Judge","Yankees","29","122","101","26","4","0","7","19","18","19","38","1","1","1",".260",".380",".518",".897",".374","1.4","0.0","0.9","15640"
"Charlie Blackmon","Rockies","43","180","163","49","9","2","8","30","23","13","33","3","3","1",".301",".361",".536",".897",".372","-1.1","0.1","0.6","7859"
"Josh Donaldson","Braves","40","167","141","37","8","0","9","24","24","23","38","2","1","0",".263",".373",".509",".882",".370","0.5","0.0","1.2","5038"
"Joey Gallo","Rangers","21","89","74","17","3","0","6","14","14","13","33","1","1","0",".226",".349",".542",".891",".366","0.1","0.3","0.5","14128"
"Rhys Hoskins","Phillies","46","195","163","41","9","1","10","27","31","28","46","2","1","1",".250",".364",".506",".871",".364","0.4","0.1","1.0","16472"
"Ronald Acuna Jr.","Braves","43","181","161","46","8","1","9","28","24","17","46","2","8","3",".284",".356",".511",".867",".362","0.6","0.5","1.1","18401"
"Francisco Lindor","Indians","46","193","172","50","11","1","9","30","25","16","28","2","6","2",".292",".356",".519",".875",".362","2.9","0.4","1.7","12916"
"Justin Turner","Dodgers","41","171","149","43","9","0","6","24","22","16","26","4","1","0",".289",".373",".482",".854",".361","-0.6","0.0","1.1","5235"
"Shohei Ohtani","Angels","41","171","151","42","8","1","9","24","27","17","45","1","4","1",".278",".351",".518",".869",".361","0.0","0.2","0.8","19755"
"George Springer","Astros","43","181","156","42","7","1","9","30","24","20","38","2","2","1",".271",".360",".498",".859",".360","-0.4","0.1","1.2","12856"
