"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Felipe Vazquez","Pirates","0","0","3","0","2.70","0","5","5.0","4","1","0","7","1","1.08","12.22","2.80","2.67","0.2","12076"
"Kirby Yates","Padres","0","0","3","0","2.68","0","5","5.0","4","2","1","8","2","1.03","13.32","2.65","2.70","0.2","9073"
"Liam Hendriks","Athletics","0","0","3","0","2.84","0","5","5.0","4","2","0","7","2","1.07","11.99","2.69","2.71","0.2","3548"
"Aroldis Chapman","Yankees","0","0","0","1","2.73","0","4","4.0","3","1","0","7","2","1.13","13.75","4.17","2.83","0.1","10233"
"Jacob deGrom","Mets","1","1","0","0","2.89","2","2","16.0","13","5","2","20","4","1.05","11.13","2.13","2.88","0.5","10954"
"Josh Hader","Brewers","0","0","3","0","2.85","0","5","5.0","3","2","1","9","2","1.01","15.69","3.53","2.89","0.2","14212"
"Max Scherzer","Nationals","1","1","0","0","2.94","3","3","17.0","13","6","2","23","4","1.00","12.01","2.13","2.92","0.5","3137"
"Edwin Diaz","Mets","0","0","3","0","2.92","0","5","5.0","3","2","1","8","2","1.02","14.18","2.99","2.94","0.1","14710"
"Gerrit Cole","Astros","1","0","0","0","3.07","2","2","14.0","11","5","2","19","4","1.05","12.24","2.42","2.96","0.4","13125"
"Ken Giles","Blue Jays","0","0","3","0","3.32","0","4","4.0","4","2","0","6","1","1.15","11.88","2.86","3.01","0.1","12910"
"Dellin Betances","Yankees","0","0","0","1","2.97","0","4","4.0","3","1","0","6","2","1.16","13.65","4.24","3.05","0.1","6216"
"Will Smith","Giants","0","0","3","0","3.17","0","4","4.0","3","2","1","6","2","1.13","12.31","3.11","3.08","0.1","8048"
"Ryan Pressly","Astros","0","0","0","0","3.13","0","0","0.0","0","0","0","0","0","1.11","11.30","2.68","3.12","0.0","7005"
"Carlos Carrasco","Indians","0","0","0","1","3.27","0","3","3.0","3","1","0","4","1","1.06","11.04","1.65","3.13","0.0","6632"
"Keone Kela","Pirates","0","0","0","1","3.23","0","4","4.0","3","1","0","5","1","1.15","11.65","3.29","3.15","0.1","14696"
"Nick Anderson","Rays","0","0","0","1","3.17","0","4","4.0","3","2","1","6","1","1.08","12.98","2.92","3.15","0.1","18337"
"Giovanny Gallegos","Cardinals","0","0","0","1","3.20","0","5","5.0","4","2","1","7","1","1.10","11.50","2.48","3.18","0.1","14986"
"Taylor Rogers","Twins","0","0","3","0","3.18","0","5","5.0","5","2","1","6","1","1.12","10.41","2.29","3.18","0.1","13449"
"Chris Martin","Braves","0","0","0","1","3.26","0","4","4.0","4","1","0","4","1","1.12","9.62","1.63","3.20","0.1","11847"
"Joey Krehbiel","Diamondbacks","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","13707"
"Matthew Festa","Mariners","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","19330"
"Jimmy Yacabonis","Orioles","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","15157"
"Austin Brice","Marlins","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.22","0.0","17237"
"Chad Green","Yankees","0","0","0","1","3.17","0","4","4.0","3","1","0","5","1","1.07","11.73","2.38","3.25","0.1","15552"
"Matt Barnes","Red Sox","0","0","0","1","3.41","0","5","5.0","4","2","1","8","2","1.26","12.97","4.31","3.27","0.1","12863"
"Walker Buehler","Dodgers","1","0","0","0","3.25","2","2","11.0","10","4","1","14","3","1.11","10.58","2.32","3.28","0.3","19374"
"Justin Verlander","Astros","1","0","0","0","3.23","2","2","14.0","11","5","2","18","3","1.01","11.61","2.02","3.32","0.4","8700"
"Stephen Strasburg","Nationals","1","1","0","0","3.46","3","3","16.0","14","6","2","19","4","1.14","10.56","2.41","3.36","0.4","10131"
"Brad Hand","Indians","0","0","3","0","3.27","0","4","4.0","4","2","1","6","2","1.14","11.82","3.07","3.37","0.1","9111"
"Blake Snell","Rays","1","1","0","0","3.24","2","2","11.0","9","4","1","14","4","1.18","11.14","3.40","3.37","0.3","13543"
"Charlie Morton","Rays","1","1","0","0","3.30","2","2","12.0","10","4","1","14","4","1.18","10.44","2.98","3.39","0.3","4676"
"Mark Melancon","Braves","0","0","2","0","3.40","0","4","4.0","4","2","0","4","1","1.23","8.33","2.49","3.41","0.1","4264"
"Noah Syndergaard","Mets","1","1","0","0","3.61","2","2","15.0","14","6","2","16","4","1.21","9.26","2.32","3.42","0.4","11762"
"Roberto Osuna","Astros","0","0","2","0","3.42","0","4","4.0","4","2","1","5","1","1.09","9.98","1.91","3.43","0.1","13764"
"Austin Adams","Mariners","0","0","0","0","3.26","0","3","3.0","2","1","0","4","2","1.28","13.27","5.30","3.44","0.0","13801"
"Diego Castillo","Rays","0","0","0","1","3.34","0","3","3.0","3","1","0","4","1","1.20","10.56","3.18","3.45","0.0","17496"
"Clayton Kershaw","Dodgers","1","1","0","0","3.36","2","2","14.0","12","5","2","15","3","1.10","9.47","1.89","3.47","0.3","2036"
"Tommy Kahnle","Yankees","0","0","0","1","3.53","0","4","4.0","3","2","0","5","2","1.23","11.99","3.79","3.48","0.1","11384"
"Will Harris","Astros","0","0","0","1","3.58","0","4","4.0","4","2","0","5","1","1.18","9.49","2.53","3.48","0.1","3192"
"Corey Kluber","Indians","0","0","0","0","3.53","0","0","2.0","2","1","0","2","1","1.13","9.45","2.03","3.48","0.0","2429"
"Patrick Corbin","Nationals","1","1","0","0","3.61","3","3","16.0","15","6","2","18","5","1.23","10.16","2.78","3.50","0.4","9323"
"Shane Bieber","Indians","1","1","0","0","3.68","2","2","14.0","13","6","2","15","3","1.15","9.55","1.69","3.50","0.4","19427"
"Craig Kimbrel","Cubs","0","0","2","0","3.49","0","4","4.0","3","1","0","5","2","1.19","13.34","4.26","3.54","0.1","6655"
"Andrew Chafin","Diamondbacks","0","0","0","1","3.47","0","4","4.0","4","2","0","5","2","1.27","10.13","3.72","3.54","0.1","12988"
"Aaron Loup","Padres","0","0","0","0","3.45","0","0","0.0","0","0","0","0","0","1.30","9.83","3.49","3.55","0.0","10343"
"Kenley Jansen","Dodgers","0","0","2","0","3.40","0","4","4.0","4","2","1","5","1","1.07","11.21","2.25","3.55","0.1","3096"
"Jose Leclerc","Rangers","0","0","2","0","3.49","0","4","4.0","3","2","0","6","3","1.30","12.72","5.17","3.56","0.1","14524"
"Joe Kelly","Dodgers","0","0","0","1","3.52","0","4","4.0","3","2","0","5","2","1.27","10.18","3.80","3.56","0.1","9761"
"Justin Wilson","Mets","0","0","0","1","3.51","0","5","5.0","4","2","0","6","2","1.30","11.24","4.35","3.57","0.1","4301"
"Luke Jackson","Braves","0","0","0","1","3.59","0","4","4.0","4","2","0","5","2","1.30","10.88","3.97","3.57","0.0","11752"
"Oliver Drake","Rays","0","0","0","1","3.63","0","4","4.0","3","2","0","4","1","1.24","10.68","3.38","3.58","0.0","8823"
"Mike Clevinger","Indians","1","1","0","0","3.57","2","2","14.0","12","6","2","17","5","1.21","10.73","3.25","3.59","0.3","12808"
"Joakim Soria","Athletics","0","0","0","1","3.66","0","5","5.0","4","2","1","5","2","1.22","10.03","2.90","3.60","0.1","6941"
"Jose Alvarado","Rays","0","0","0","0","3.42","0","0","0.0","0","0","0","0","0","1.37","11.08","5.16","3.60","0.0","17780"
"Seth Lugo","Mets","0","0","0","1","3.57","0","5","5.0","5","2","1","6","1","1.16","10.03","2.32","3.61","0.1","12447"
"Carlos Martinez","Cardinals","0","0","3","0","3.47","0","5","5.0","5","2","0","5","2","1.27","9.40","3.34","3.61","0.1","11682"
