"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Tyler Glasnow","Rays","1","1","0","0","3.66","2","3","11.0","9","5","1","14","5","1.27","11.26","3.94","3.63","0.2","14374"
"Aaron Nola","Phillies","1","1","0","0","3.62","3","3","17.0","15","7","2","19","5","1.22","9.96","2.91","3.66","0.4","16149"
"Jesus Luzardo","Athletics","0","0","0","0","3.58","0","2","2.0","2","1","0","2","1","1.23","9.26","2.75","3.67","0.0","19959"
"James Hoyt","Indians","0","0","0","0","3.63","0","1","1.0","1","1","0","2","1","1.27","10.43","3.41","3.68","0.0","14605"
"Peter Fairbanks","Rays","0","0","0","0","3.57","0","3","3.0","2","1","0","3","1","1.23","11.01","3.67","3.68","0.0","17998"
"Colin Poche","Rays","0","0","0","1","3.48","0","4","4.0","3","2","1","6","2","1.18","13.03","3.75","3.69","0.1","19403"
"Hyun-Jin Ryu","Dodgers","1","1","0","0","3.52","2","2","12.0","11","5","1","11","2","1.18","8.33","1.80","3.69","0.2","14444"
"Archie Bradley","Diamondbacks","0","0","3","0","3.76","0","5","5.0","4","2","1","5","2","1.30","10.17","3.71","3.69","0.1","12918"
"Brandon Workman","Red Sox","0","0","3","0","3.71","0","5","5.0","4","2","1","6","3","1.34","10.82","4.34","3.69","0.1","11428"
"Darren O'Day","Braves","0","0","0","0","3.57","0","2","2.0","1","1","0","2","1","1.20","10.74","3.24","3.69","0.0","3321"
"Jake Diekman","Athletics","0","0","0","1","3.47","0","4","4.0","3","2","0","5","2","1.33","11.01","4.91","3.72","0.0","5003"
"John Brebbia","Cardinals","0","0","0","1","3.62","0","4","4.0","3","2","1","5","1","1.18","10.45","2.88","3.72","0.0","12777"
"Andrew Miller","Cardinals","0","0","0","2","3.62","0","5","5.0","4","2","1","6","2","1.24","11.75","3.78","3.74","0.1","6785"
"Zack Britton","Yankees","0","0","0","1","3.45","0","4","4.0","4","2","0","4","2","1.39","8.34","4.32","3.74","0.1","3240"
"James Paxton","Yankees","1","1","0","0","3.79","2","2","12.0","11","5","2","14","4","1.20","10.54","2.86","3.75","0.3","11828"
"Garrett Richards","Padres","1","1","0","0","3.68","2","2","11.0","10","5","1","12","4","1.30","9.65","3.58","3.75","0.2","9784"
"Kenta Maeda","Dodgers","1","0","0","1","3.75","1","5","8.0","7","3","1","9","2","1.20","10.21","2.75","3.75","0.1","18498"
"Luis Severino","Yankees","1","0","0","0","3.67","2","2","9.0","8","4","1","10","3","1.15","10.36","2.55","3.76","0.2","15890"
"Kevin Ginkel","Diamondbacks","0","0","0","1","3.88","0","4","4.0","4","2","1","5","2","1.31","10.91","4.05","3.76","0.0","19876"
"Brad Brach","Mets","0","0","0","0","3.54","0","3","3.0","3","1","0","3","1","1.29","9.62","4.07","3.76","0.0","6627"
"Jack Flaherty","Cardinals","1","1","0","0","3.66","2","2","14.0","12","6","2","17","5","1.19","10.65","3.02","3.77","0.3","17479"
"Mychal Givens","Orioles","0","0","3","0","3.72","0","5","5.0","4","2","1","6","2","1.23","10.98","3.62","3.77","0.1","10430"
"Chaz Roe","Rays","0","0","0","1","3.76","0","4","4.0","3","2","0","5","2","1.30","10.18","4.01","3.77","0.0","9866"
"Emilio Pagan","Rays","0","0","2","0","3.67","0","4","4.0","4","2","1","6","1","1.14","11.26","2.65","3.77","0.1","14771"
"Jeurys Familia","Mets","0","0","0","1","3.74","0","5","5.0","5","2","0","6","3","1.38","9.83","4.61","3.78","0.1","5114"
"Andrew Kittredge","Rays","0","0","0","0","3.80","0","3","3.0","3","1","0","3","1","1.24","9.27","2.71","3.78","0.0","12828"
"Joshua James","Astros","0","0","0","1","3.73","0","4","4.0","3","2","0","5","2","1.28","11.88","4.31","3.79","0.0","16794"
"Hector Neris","Phillies","0","0","3","0","3.67","0","6","6.0","5","2","1","7","2","1.19","11.92","3.31","3.79","0.1","11804"
"Cole Sulser","Rays","0","0","0","0","3.76","0","2","2.0","2","1","0","3","1","1.25","10.52","3.49","3.79","0.0","15256"
"Tyler Duffey","Twins","0","0","0","1","3.92","0","5","5.0","5","2","1","6","2","1.23","9.76","2.59","3.79","0.1","13758"
"Ty Buttrey","Angels","0","0","0","1","3.75","0","5","5.0","4","2","1","5","2","1.28","10.02","3.60","3.79","0.1","14719"
"Shane Greene","Braves","0","0","0","1","3.93","0","4","4.0","4","2","1","5","1","1.28","9.59","3.00","3.80","0.1","10756"
"Raisel Iglesias","Reds","0","0","3","0","3.58","0","5","5.0","4","2","1","6","2","1.19","10.97","3.10","3.80","0.1","17130"
"Marcus Stroman","Mets","1","1","0","0","3.76","2","2","14.0","14","6","1","12","5","1.31","7.47","2.90","3.81","0.3","13431"
"Zack Wheeler","Mets","1","1","0","0","3.79","2","2","14.0","13","6","2","14","4","1.24","8.82","2.71","3.81","0.3","10310"
"Trevor Bauer","Reds","1","1","0","0","3.77","2","2","15.0","13","6","2","18","6","1.24","10.92","3.45","3.82","0.3","12703"
"Sonny Gray","Reds","1","1","0","0","3.84","2","2","13.0","11","5","1","14","5","1.28","9.75","3.48","3.83","0.3","12768"
"Blake Treinen","Athletics","0","0","0","1","3.71","0","5","5.0","4","2","0","5","2","1.32","9.33","3.96","3.83","0.1","12572"
"Brandon Woodruff","Brewers","0","0","0","0","3.91","1","1","5.0","5","2","1","6","2","1.26","9.64","2.99","3.84","0.1","16162"
"Oliver Perez","Indians","0","0","0","1","3.63","0","4","4.0","4","2","1","5","1","1.22","10.29","3.04","3.85","0.0","1514"
"Trevor May","Twins","0","0","0","1","3.83","0","5","5.0","4","2","1","6","2","1.28","10.75","3.64","3.85","0.1","6398"
"Ryne Stanek","Marlins","0","0","3","0","3.74","0","5","5.0","4","2","1","6","2","1.28","10.90","4.12","3.85","0.1","15947"
"Craig Stammen","Padres","0","0","0","1","3.94","0","5","5.0","5","2","1","5","1","1.24","8.71","2.36","3.86","0.1","7274"
"Ross Stripling","Dodgers","0","0","0","0","3.83","0","2","3.0","3","1","0","3","1","1.22","8.90","2.14","3.87","0.0","13273"
"Mike Soroka","Braves","1","1","0","0","3.88","2","2","11.0","12","5","1","10","3","1.29","7.52","2.41","3.87","0.2","18383"
"JT Chargois","Dodgers","0","0","0","0","3.75","0","1","1.0","1","0","0","1","0","1.32","9.97","3.88","3.88","0.0","13767"
"Luis Castillo","Reds","1","1","0","0","3.78","2","2","12.0","11","5","2","14","4","1.23","9.97","3.14","3.88","0.2","15689"
"Joe Smith","Astros","0","0","0","1","3.71","0","4","4.0","4","2","0","4","1","1.23","8.49","2.58","3.88","0.0","3281"
"German Marquez","Rockies","0","0","0","0","4.07","0","0","2.0","2","1","0","2","1","1.24","9.56","2.29","3.89","0.0","15038"
"Caleb Ferguson","Dodgers","0","0","0","0","3.68","0","3","3.0","3","1","0","4","1","1.30","10.50","3.91","3.89","0.0","19349"
"Zac Grotz","Mariners","0","0","0","0","3.77","0","1","1.0","1","0","0","1","0","1.25","8.61","2.64","3.89","0.0","18256"
"Sean Doolittle","Nationals","0","0","3","0","3.73","0","5","5.0","5","2","1","6","1","1.12","10.27","2.20","3.90","0.1","1581"
"Dallas Keuchel","Braves","1","1","0","0","3.91","2","2","13.0","13","6","1","10","4","1.33","7.23","2.70","3.90","0.2","9434"
"David Bednar","Padres","0","0","0","1","3.77","0","4","4.0","3","2","0","5","2","1.28","10.57","3.87","3.90","0.0","19569"
"Robbie Erlin","Padres","0","0","0","0","3.96","0","3","3.0","3","1","0","3","1","1.23","7.71","1.85","3.91","0.0","10354"
"Adam Ottavino","Yankees","0","0","2","0","3.83","0","4","4.0","3","2","1","6","2","1.31","12.04","4.92","3.91","0.1","1247"
"Wander Suero","Nationals","0","0","0","1","3.91","0","4","4.0","4","2","1","4","2","1.30","9.20","3.26","3.92","0.0","15855"
"Aaron Bummer","White Sox","0","0","0","1","3.75","0","5","5.0","5","2","0","5","2","1.38","8.64","3.99","3.93","0.1","16258"
"David Price","Red Sox","1","1","0","0","3.98","2","2","12.0","11","5","2","12","3","1.23","9.31","2.52","3.93","0.2","3184"
"Brad Peacock","Astros","0","0","0","0","3.92","0","2","2.0","2","1","0","3","1","1.24","10.65","3.25","3.94","0.0","5401"
"Trey Wingenter","Padres","0","0","0","1","3.90","0","4","4.0","3","2","0","5","2","1.35","11.92","4.91","3.94","0.0","17793"
"Matt Strahm","Padres","0","0","0","1","3.85","0","5","5.0","4","2","1","5","1","1.19","10.02","2.45","3.94","0.1","13799"
"Collin McHugh","Astros","0","0","0","0","3.85","0","2","2.0","2","1","0","2","1","1.23","9.59","2.81","3.94","0.0","7531"
"Jeremy Jeffress","","2","1","0","0","3.74","0","25","25.0","24","10","3","23","9","1.32","8.38","3.37","3.94","0.3","9490"
"Yu Darvish","Cubs","1","1","0","0","3.96","2","2","14.0","12","6","2","17","5","1.22","10.96","3.14","3.94","0.3","13074"
"Fernando Abad","Giants","0","0","0","1","3.80","0","4","4.0","3","2","0","4","1","1.25","8.85","2.86","3.95","0.0","4994"
"Michael Feliz","Pirates","0","0","0","1","4.08","0","4","4.0","3","2","1","5","2","1.32","11.18","3.92","3.95","0.0","11903"
"Adam Kolarek","Dodgers","0","0","0","1","3.71","0","3","3.0","3","1","0","3","1","1.33","7.38","3.03","3.95","0.0","10843"
"Josh Taylor","Red Sox","0","0","0","1","3.93","0","4","4.0","4","2","0","4","2","1.36","9.49","3.83","3.95","0.0","17359"
"Chris Paddack","Padres","0","0","0","0","4.02","1","1","4.0","4","2","1","5","1","1.18","9.68","2.15","3.95","0.1","20099"
"Kevin Gausman","Reds","0","0","0","1","3.91","0","5","6.0","5","3","1","6","2","1.21","9.43","2.50","3.96","0.0","14107"
"Zack Greinke","Astros","1","1","0","0","3.70","2","2","13.0","12","5","2","12","3","1.15","8.27","1.88","3.96","0.2","1943"
"Lance Lynn","Rangers","1","1","0","0","3.91","2","2","12.0","12","5","2","13","5","1.32","9.33","3.32","3.96","0.3","2520"
"Juan Nicasio","Phillies","0","0","0","0","4.01","0","1","1.0","1","1","0","1","0","1.31","9.44","3.15","3.97","0.0","7731"
"Max Fried","Braves","1","1","0","0","3.89","2","2","11.0","11","5","1","12","5","1.35","9.29","3.67","3.97","0.2","13743"
"Richard Lovelady","Royals","0","0","0","0","3.93","0","0","0.0","0","0","0","0","0","1.36","7.76","3.42","3.98","0.0","19337"
"Pedro Baez","Dodgers","0","0","0","1","3.85","0","4","4.0","4","2","1","5","2","1.26","9.68","3.39","3.99","0.0","5420"
"Grant Dayton","Braves","0","0","0","0","3.96","0","1","1.0","1","1","0","2","0","1.23","10.84","3.14","4.00","0.0","11203"
"Dinelson Lamet","Padres","1","1","0","0","4.00","2","2","13.0","12","6","2","16","6","1.31","10.89","3.89","4.00","0.2","17186"
"Joe Jimenez","Tigers","0","0","3","0","4.11","0","6","6.0","5","3","1","7","2","1.27","11.03","3.59","4.00","0.1","15761"
"Rich Hill","Dodgers","0","0","0","0","3.80","0","0","1.0","1","1","0","1","0","1.18","10.31","2.88","4.01","0.0","4806"
"Tanner Scott","Orioles","0","0","0","0","3.97","0","0","0.0","0","0","0","1","0","1.45","11.26","5.57","4.01","0.0","17586"
"A.J. Puk","Athletics","0","0","0","0","4.00","0","3","3.0","2","1","0","3","1","1.36","9.96","4.27","4.02","0.0","19343"
"Julio Urias","Dodgers","1","1","0","0","3.86","2","4","12.0","11","5","1","13","5","1.29","9.61","3.50","4.03","0.2","14765"
"Miles Mikolas","Cardinals","1","1","0","0","4.00","2","2","15.0","15","7","2","12","3","1.24","7.20","1.76","4.03","0.2","9803"
"Brad Wieck","Cubs","0","0","0","0","4.03","0","2","2.0","1","1","0","2","1","1.30","12.15","4.20","4.04","0.0","16390"
"Jose Quintana","Cubs","1","1","0","0","4.00","2","2","14.0","14","6","2","13","4","1.29","8.23","2.74","4.04","0.3","11423"
"J.B. Wendelken","Athletics","0","0","0","0","3.98","0","1","1.0","1","0","0","1","0","1.32","9.20","3.42","4.04","0.0","14506"
"Jay Jackson","Brewers","0","0","0","1","4.03","0","4","4.0","3","2","1","4","1","1.28","10.90","3.64","4.04","0.0","7432"
"Brendan McKay","Rays","0","0","0","0","3.92","1","1","7.0","6","3","1","8","2","1.22","9.93","2.93","4.04","0.1","20186"
"Freddy Peralta","Brewers","0","0","0","0","4.01","0","3","4.0","3","2","1","6","2","1.29","12.02","4.39","4.05","0.0","18679"
"Ryne Harper","Twins","0","0","0","0","4.09","0","2","2.0","2","1","0","2","1","1.27","8.59","2.52","4.05","0.0","12680"
"Matt Andriese","Diamondbacks","0","0","0","0","4.18","0","3","3.0","3","2","0","3","1","1.29","8.96","2.74","4.05","0.0","12022"
"Luis Perdomo","Padres","0","0","0","1","4.18","0","4","4.0","4","2","0","3","1","1.39","7.58","2.83","4.05","0.0","14682"
"Brandon Kintzler","Cubs","0","0","0","1","3.97","0","4","4.0","4","2","0","3","1","1.32","7.21","2.66","4.05","0.0","9939"
"Frankie Montas","Athletics","0","0","0","0","4.03","0","0","1.0","1","1","0","1","0","1.32","8.24","2.98","4.06","0.0","14309"
"Madison Bumgarner","Giants","1","1","0","0","3.95","2","2","15.0","14","6","2","14","4","1.20","8.61","2.16","4.06","0.2","5524"
"Robbie Ray","Diamondbacks","1","1","0","0","4.07","2","2","13.0","11","6","2","17","6","1.33","11.60","4.21","4.06","0.2","11486"
"Jace Fry","White Sox","0","0","0","1","4.03","0","5","5.0","4","2","0","6","3","1.44","10.74","5.34","4.06","0.0","16159"
"Alex Claudio","Brewers","0","0","0","1","3.95","0","5","5.0","5","2","0","3","1","1.34","6.48","2.55","4.07","0.0","12890"
"Josh Sborz","Dodgers","0","0","0","0","4.01","0","1","1.0","1","0","0","1","0","1.34","9.45","3.87","4.07","0.0","18323"
"Xavier Cedeno","Cubs","0","0","0","0","3.94","0","0","0.0","0","0","0","0","0","1.42","8.23","4.20","4.07","0.0","36"
"Kyle Hendricks","Cubs","1","1","0","0","3.97","2","2","15.0","15","6","2","12","3","1.23","7.68","2.07","4.07","0.3","12049"
"Joe Musgrove","Pirates","1","1","0","0","4.16","2","2","13.0","14","6","2","12","3","1.25","7.96","2.02","4.07","0.2","12970"
"Tyler Rogers","Giants","0","0","0","1","4.02","0","5","5.0","5","2","0","4","2","1.43","6.89","3.82","4.08","0.0","15541"
"JT Brubaker","Pirates","0","0","0","0","4.06","0","0","0.0","0","0","0","0","0","1.30","8.41","2.88","4.08","0.0","sa875176"
"Sam Tuivailala","Mariners","0","0","0","1","4.01","0","4","4.0","4","2","1","4","2","1.36","8.81","3.65","4.08","0.0","13485"
"Brian Moran","Marlins","0","0","0","0","3.88","0","2","2.0","2","1","0","2","1","1.34","9.11","3.85","4.09","0.0","9646"
"Eduardo Rodriguez","Red Sox","1","1","0","0","4.21","3","3","15.0","14","7","2","16","5","1.31","9.41","3.23","4.09","0.2","13164"
"Jose Alvarez","Phillies","0","0","0","1","4.04","0","6","6.0","6","3","1","5","2","1.34","8.22","3.19","4.09","0.1","5358"
"Hansel Robles","Angels","0","0","3","0","3.95","0","5","5.0","4","2","1","5","2","1.29","9.40","3.36","4.09","0.1","11801"
"Marcus Walden","Red Sox","0","0","0","1","4.16","0","4","4.0","4","2","0","4","2","1.39","7.95","3.62","4.10","0.0","8004"
"Jimmie Sherfy","Diamondbacks","0","0","0","0","4.02","0","3","3.0","2","1","0","3","1","1.34","10.60","4.16","4.10","0.0","15118"
"Parker Markel","Pirates","0","0","0","0","4.01","0","2","2.0","2","1","0","3","1","1.39","10.85","4.82","4.10","0.0","12106"
"Eric Yardley","Padres","0","0","0","0","3.98","0","2","2.0","3","1","0","2","1","1.36","6.75","2.80","4.10","0.0","15538"
"Alex Colome","White Sox","0","0","3","0","4.03","0","5","5.0","5","2","1","5","2","1.33","8.79","3.37","4.11","0.1","6661"
"Luis Avilan","Mets","0","0","0","1","3.99","0","4","4.0","4","2","0","4","2","1.37","9.05","3.87","4.11","0.0","2882"
"Ray Black","Brewers","0","0","0","0","4.27","0","3","3.0","2","2","0","5","2","1.35","13.47","5.27","4.11","0.0","14244"
"Anthony Banda","Rays","0","0","0","0","4.03","0","1","1.0","1","1","0","1","1","1.32","8.83","3.40","4.11","0.0","14706"
"Carl Edwards Jr.","Padres","0","0","0","0","4.02","0","1","1.0","1","1","0","2","1","1.39","11.46","5.52","4.12","0.0","13607"
"Austin Pruitt","Rays","0","0","0","0","4.22","0","2","3.0","3","1","0","2","1","1.28","7.55","2.06","4.12","0.0","15290"
"Sean Newcomb","Braves","0","0","0","1","4.08","0","4","4.0","3","2","0","4","2","1.34","9.50","3.98","4.12","0.0","16943"
"Lou Trivino","Athletics","0","0","0","1","4.01","0","4","4.0","4","2","0","4","2","1.37","8.82","4.07","4.13","0.0","15043"
"Dylan Floro","Dodgers","0","0","0","0","4.01","0","1","1.0","1","0","0","1","0","1.33","7.35","2.78","4.13","0.0","13394"
"Kyle Ryan","Cubs","0","0","0","1","3.97","0","4","4.0","4","2","0","4","2","1.40","8.23","3.99","4.13","0.0","11753"
"Daniel Zamora","Mets","0","0","0","0","4.00","0","3","3.0","3","1","0","3","1","1.35","9.71","3.98","4.13","0.0","17811"
"Hector Rondon","Astros","0","0","0","1","4.18","0","4","4.0","4","2","1","4","1","1.30","8.79","2.94","4.14","0.0","2391"
"Chris Devenski","Astros","0","0","0","1","4.08","0","4","4.0","4","2","1","4","1","1.20","9.87","2.72","4.14","0.0","12763"
"Corbin Burnes","Brewers","0","0","0","0","4.06","0","0","0.0","0","0","0","0","0","1.28","9.96","3.23","4.15","0.0","19361"
"Matt Bowman","Reds","0","0","0","1","4.06","0","3","3.0","3","2","0","3","1","1.37","8.48","3.65","4.15","0.0","13528"
"Luke Weaver","Diamondbacks","0","0","0","0","4.28","1","1","5.0","5","2","1","5","1","1.31","8.95","2.81","4.17","0.1","16918"
"Amir Garrett","Reds","0","0","0","1","3.96","0","4","4.0","4","2","1","5","2","1.33","11.11","4.32","4.17","0.0","14375"
"Taylor Cole","Angels","0","0","0","0","3.93","0","1","1.0","1","1","0","1","1","1.36","8.91","3.84","4.18","0.0","11964"
"Andrew Heaney","Angels","1","1","0","0","4.09","2","2","13.0","13","6","2","14","3","1.22","9.43","2.39","4.18","0.2","15423"
"Pedro Strop","Cubs","0","0","0","0","3.98","0","3","3.0","3","1","0","3","1","1.32","9.37","3.87","4.18","0.0","4070"
"Andres Munoz","Padres","0","0","0","1","4.00","0","4","4.0","4","2","0","6","3","1.49","11.55","5.97","4.19","0.0","20373"
"Michael Lorenzen","Reds","0","0","0","1","4.04","0","5","5.0","5","2","1","5","2","1.34","8.44","3.45","4.19","0.0","14843"
"Dan Otero","Indians","0","0","0","0","4.32","0","2","2.0","2","1","0","1","0","1.29","5.75","1.43","4.20","0.0","7385"
"Johnny Cueto","Giants","1","1","0","0","4.08","2","2","14.0","14","6","2","11","4","1.28","7.49","2.43","4.20","0.2","6893"
"Brett Martin","Rangers","0","0","0","1","4.30","0","3","3.0","3","1","0","3","1","1.39","7.93","3.31","4.21","0.0","17369"
"Dillon Maples","Cubs","0","0","0","0","3.99","0","1","1.0","1","0","0","1","1","1.61","13.51","8.01","4.21","0.0","14672"
"Carlos Estevez","Rockies","0","0","0","1","4.39","0","5","5.0","5","2","1","5","2","1.32","9.79","3.35","4.21","0.1","14542"
"Jose Berrios","Twins","1","1","0","0","4.26","3","3","16.0","15","7","2","15","5","1.26","8.76","2.70","4.21","0.3","14168"
"Dustin May","Dodgers","0","0","0","0","4.10","0","1","2.0","2","1","0","1","0","1.29","7.43","2.32","4.21","0.0","19716"
"D.J. Johnson","Rockies","0","0","0","0","4.26","0","2","2.0","2","1","0","2","1","1.45","9.33","4.56","4.22","0.0","12578"
"Richard Rodriguez","Pirates","0","0","0","1","4.27","0","5","5.0","5","2","1","5","2","1.28","9.49","2.97","4.22","0.0","13549"
"Steve Cishek","Cubs","0","0","0","2","3.94","0","5","5.0","5","2","1","5","2","1.32","9.32","3.78","4.22","0.0","6483"
