"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","58","242","190","57","11","1","16","44","40","45","48","4","7","2",".300",".442",".625","1.067",".431","0.3","1.2","3.4","10155"
"Christian Yelich","Brewers","54","228","196","60","12","2","12","38","35","28","46","2","8","2",".308",".399",".574",".973",".399","0.8","1.2","2.0","11477"
"Cody Bellinger","Dodgers","53","223","192","55","10","2","14","35","38","29","46","1","5","2",".286",".379",".575",".954",".387","2.3","0.4","2.0","15998"
"Juan Soto","Nationals","57","240","202","59","11","2","11","36","38","35","49","1","3","1",".290",".393",".529",".922",".384","-2.1","0.1","1.4","20123"
"J.D. Martinez","Red Sox","56","235","208","62","13","1","14","36","41","24","54","1","1","0",".297",".369",".563",".932",".382","0.0","-0.7","1.3","6184"
"Freddie Freeman","Braves","58","245","211","63","14","1","12","36","38","29","49","3","3","1",".297",".386",".538",".925",".382","0.8","0.1","1.5","5361"
"Giancarlo Stanton","Yankees","26","108","94","25","4","0","8","17","21","12","33","1","1","0",".265",".353",".578",".931",".380","0.5","0.0","0.8","4949"
"Kris Bryant","Cubs","55","233","198","56","13","1","11","37","31","28","51","6","2","1",".282",".384",".523",".907",".380","0.0","0.7","1.8","15429"
"Aaron Judge","Yankees","50","211","174","46","7","0","13","34","32","33","66","2","2","1",".264",".383",".529",".912",".379","2.6","0.1","1.8","15640"
"Anthony Rizzo","Cubs","59","249","210","60","13","1","12","35","39","29","36","8","3","1",".284",".389",".519",".907",".378","1.8","-0.6","1.6","3473"
"Mookie Betts","Red Sox","57","240","205","61","14","2","10","42","31","30","33","1","8","2",".295",".386",".520",".906",".378","4.9","1.6","2.2","13611"
"Nolan Arenado","Rockies","59","249","222","65","14","1","14","38","44","24","40","1","1","1",".294",".363",".559",".923",".377","2.9","-0.1","1.7","9777"
"Bryce Harper","Phillies","59","246","201","52","12","0","13","37","38","42","62","2","4","2",".258",".388",".521",".908",".376","0.2","0.1","1.6","11579"
"Anthony Rendon","Nationals","56","237","207","61","15","1","10","35","37","25","35","3","1","1",".293",".377",".522",".898",".373","1.9","0.4","1.9","12861"
