name,pos_primary,adp_round,rank,dollars
Yoan Moncada,3B,8,181,8
Sean Manaea,SP,21,182,8
Blake Treinen,RP,40,183,7
Jordan Romano,RP,30,184,7
Frankie Montas,SP,14,185,7
Marcus Stroman,SP,17,186,7
Max Fried,SP,6,187,7
Garrett Crochet,RP,84,188,7
Kohei Arihara,SP,47,189,6
Kwang-hyun Kim,SP,29,190,5
Mike Yastrzemski,OF,12,191,4
Anthony Bass,RP,21,192,3
Joey Lucchesi,SP,48,193,3
Mark Canha,OF,23,194,2
Drew Rasmussen,SP,51,195,2
Devin Williams,RP,16,196,2
Jake Diekman,RP,38,197,1
Luke Voit,1B,6,198,1
Didi Gregorius,SS,14,199,1
Alec Bohm,3B,84,200,1
Justin Upton,OF,31,201,1
Jean Segura,2B,17,202,1
Carson Kelly,C,22,203,1
Alex Colome,RP,14,204,1
Mike Soroka,SP,16,205,1
Danny Jansen,C,28,206,1
Alex Reyes,RP,33,207,1
Whit Merrifield,OF,4,208,0
Emmanuel Clase,RP,42,209,0
Patrick Sandoval,SP,50,210,0
Miguel Cabrera,DH,46,211,-1
Andrew McCutchen,OF,18,212,-2
A.J. Puk,SP,35,213,-2
Ty France,1B,23,214,-2
Reyes Moronta,RP,46,215,-2
Aaron Bummer,RP,46,216,-3
MacKenzie Gore,SP,84,217,-3
Clint Frazier,OF,15,218,-4
Austin Adams,RP,50,219,-4
Drew Smyly,SP,21,220,-4
Tanner Scott,RP,37,221,-4
Brusdar Graterol,RP,45,222,-4
Tony Gonsolin,SP,22,223,-5
Paul DeJong,SS,21,224,-5
Mitch Haniger,OF,20,225,-5
Starling Marte,OF,5,226,-5
Robbie Ray,SP,25,227,-6
Josh Lindblom,SP,30,228,-6
Trevor Rogers,SP,35,229,-6
Trey Mancini,1B,14,230,-6
Rafael Dolis,RP,46,231,-6
Jordan Montgomery,SP,20,232,-6
Chris Flexen,SP,50,233,-7
Ross Stripling,SP,44,234,-7
Jordan Hicks,RP,17,235,-7
Vince Velasquez,SP,49,236,-7
Corey Knebel,RP,48,237,-7
Chris Archer,SP,40,238,-8
James McCann,C,15,239,-8
Wilson Ramos,C,22,240,-8
Ryan Mountcastle,OF,13,241,-8
Archie Bradley,RP,21,242,-9
Domingo German,SP,22,243,-9
A.J. Minter,RP,48,244,-9
Logan Gilbert,SP,41,245,-10
Elieser Hernandez,SP,19,246,-10
Brent Suter,RP,48,247,-10
David Robertson,RP,51,248,-10
Jake Odorizzi,SP,23,249,-11
Nate Pearson,SP,26,250,-11
Yimi Garcia,RP,36,251,-11
Jose Alvarado,RP,42,252,-11
Justin Turner,3B,17,253,-11
Nathan Eovaldi,SP,22,254,-11
Ryan Yarbrough,SP,22,255,-12
Adrian Morejon,RP,47,256,-12
Andrew Kittredge,RP,84,257,-13
Dellin Betances,RP,51,258,-13
David Peterson,SP,84,259,-13
Mark Melancon,RP,21,260,-13
Spencer Howard,SP,84,261,-14
Matthew Manning,SP,84,262,-14
Rougned Odor,2B,45,263,-14
Tyler O'Neill,OF,35,264,-14
Tim Hill,RP,84,265,-14
Shohei Ohtani,SP,14,266,-14
Phil Maton,RP,51,267,-14
Matthew Boyd,SP,27,268,-14
Max Stassi,C,36,269,-14
Daulton Varsho,C,20,270,-14
Tyler Beede,SP,51,271,-14
Dylan Bundy,SP,10,272,-15
Tom Murphy,C,30,273,-15
Tyler Duffey,RP,49,274,-15
Aaron Loup,RP,51,275,-15
Starlin Castro,2B,37,276,-15
Adam Ottavino,RP,32,277,-15
Kyle Seager,3B,25,278,-15
Carlos Santana,1B,25,279,-15
Brian Anderson,3B,23,280,-15
Rich Hill,SP,42,281,-15
Craig Stammen,RP,51,282,-15
Ian Anderson,SP,9,283,-15
Austin Nola,C,16,284,-16
Joely Rodriguez,RP,49,285,-16
Matt Wisler,RP,50,286,-16
Pierce Johnson,RP,50,287,-16
Josh Fleming,SP,47,288,-16
Logan Webb,SP,47,289,-16
Anthony DeSclafani,SP,40,290,-17
Daniel Norris,SP,50,291,-17
Jonathan Loaisiga,RP,50,292,-17
Chris Bassitt,SP,16,293,-17
Kolten Wong,2B,21,294,-17
Genesis Cabrera,RP,50,295,-18
Ryan Jeffers,C,37,296,-18
Cody Reed,RP,84,297,-18
David Phelps,RP,51,298,-18
Willie Calhoun,DH,39,299,-18
Matt Strahm,RP,51,300,-18
Mike Minor,SP,26,301,-19
Alex Young,SP,51,302,-19
Yan Gomes,C,26,303,-19
Ty Buttrey,RP,50,304,-19
Adrian Houser,SP,46,305,-19
Victor Gonzalez,RP,50,306,-19
Giovanny Urshela,3B,15,307,-19
Dansby Swanson,SS,10,308,-19
Tyler Rogers,RP,49,309,-19
Austin Voth,SP,50,310,-20
Stefan Crichton,RP,28,311,-20
Victor Robles,OF,11,312,-20
Dominic Smith,1B,11,313,-20
Richard Bleier,RP,84,314,-21
